         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2:24         900         900         900         900               900         900           1
10/ 7/2018  0: 2:45         910         910         910         910               910         905           1
10/ 7/2018  0: 2:46         900         900         900         900               900     903.333           1
10/ 7/2018  0: 2:48         910         910         910         910               910         905           1
10/ 7/2018  1: 2:19         920         920         920         920               920         908           1
10/ 7/2018  1: 2:30         910         910         910         910               910     908.333           1
10/ 7/2018  1: 2:33         900         900         900         900               900     907.143           1
10/ 7/2018  1: 2:46         920         920         920         920               920      908.75           1
10/ 7/2018  1: 2:51         910         910         910         910               910     908.889           1
10/ 7/2018  1: 2:55         920         920         920         920               920         910           1
10/ 7/2018  2: 2:15         910         910         910         910               910         910           1
10/ 7/2018  2: 2:16         900         900         900         900               900     909.167           1
10/ 7/2018  2: 2:19         910         910         910         910               910     909.231           1
10/ 7/2018  2: 2:30         920         920         920         920               920         910           1
10/ 7/2018  6: 2:33         930         930         930         930               930     911.333           1
10/ 7/2018  6: 2:39         920         920         920         920               920     911.875           1
10/ 7/2018  6: 2:50         930         930         930         930               930     912.941           1
10/ 7/2018  6: 2:51         920         920         920         920               920     913.333           1
10/ 7/2018  6: 2:53         930         930         930         930               930     914.211           1
10/ 7/2018  6: 2:54         920         920         920         920               920       914.5           1
10/ 7/2018  7: 2:13         930         930         930         930               930     915.238           1
10/ 7/2018  7: 2:16         920         920         920         920               920     915.455           1
10/ 7/2018  8: 2:20         930         930         930         930               930     916.087           1
10/ 7/2018  8: 2:22         920         920         920         920               920      916.25           1
10/ 7/2018  8: 2:28         930         930         930         930               930       916.8           1
10/ 7/2018  8: 2:29         920         920         920         920               920     916.923           1
10/ 7/2018  8: 2:44         930         930         920         920               925     917.222           2
10/ 7/2018  9: 2:20         930         930         930         930               930     917.679           1
10/ 7/2018 16: 2:38         920         920         920         920               920     917.759           1
10/ 7/2018 17: 2:10         930         930         930         930               930     918.167           1
10/ 7/2018 17: 2:13         920         920         920         920               920     918.226           1
10/ 7/2018 17: 2:19         930         930         930         930               930     918.594           1
10/ 7/2018 17: 2:32         920         920         920         920               920     918.636           1
10/ 7/2018 17: 2:50         930         930         930         930               930     918.971           1
10/ 7/2018 17: 2:51         920         920         920         920               920         919           1
10/ 7/2018 17: 2:52         930         930         930         930               930     919.306           1
10/ 7/2018 18: 2: 0         920         920         920         920               920     919.324           1
10/ 7/2018 18: 2: 3         930         930         930         930               930     919.605           1
10/ 7/2018 24: 2:37         940         940         940         940               940     920.128           1
10/ 7/2018 24: 2:38         930         930         930         930               930     920.375           1
10/ 7/2018 24: 2:45         940         940         940         940               940     920.854           1
10/ 7/2018 24: 2:49         930         930         930         930               930     921.071           1
10/ 7/2018 26: 2:12         920         920         920         920               920     921.047           1
10/ 7/2018 26: 2:46         930         930         930         930               930      921.25           1
10/ 7/2018 26: 2:55         920         920         920         920               920     921.222           1
10/ 7/2018 29: 2:35         930         930         930         930               930     921.413           1
10/ 7/2018 29: 2:37         920         920         920         920               920     921.383           1
10/ 7/2018 29: 2:51         930         930         930         930               930     921.562           1
10/ 7/2018 31: 2: 9         920         920         920         920               920     921.531           1
10/ 7/2018 31: 2:25         930         930         930         930               930       921.7           1
10/ 7/2018 31: 2:26         920         920         920         920               920     921.667           1
10/ 7/2018 31: 2:46         930         930         930         930               930     921.827           1
10/ 7/2018 31: 2:47         920         920         920         920               920     921.792           1
