         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0:24         530         530         530         530              530              530
 2/ 7/2018 10: 0:46         520         520         520         520              520              525
 2/ 7/2018 10: 0:47         530         530         530         530              530          526.667
 2/ 7/2018 10: 0:58         520         520         520         520              520              525
 2/ 7/2018 10: 2:15         530         530         530         530              530              526
 2/ 7/2018 10: 2:18         520         520         520         520              520              525
 2/ 7/2018 10: 2:19         530         530         530         530              530          525.714
 2/ 7/2018 10: 2:29         520         520         520         520              520              525
 2/ 7/2018 10: 6:33         510         510         510         510              510          523.333
 2/ 7/2018 10: 7: 1         520         520         520         520              520              523
 2/ 7/2018 10: 7: 2         510         510         510         510              510          521.818
 2/ 7/2018 10: 7: 5         520         520         520         520              520          521.667
 2/ 7/2018 10: 8:19         510         510         510         510              510          520.769
 2/ 7/2018 10: 8:32         520         520         520         520              520          520.714
 2/ 7/2018 10: 8:33         510         510         510         510              510              520
 2/ 7/2018 10: 8:36         520         520         520         520              520              520
 2/ 7/2018 10: 8:37         510         510         510         510              510          519.412
 2/ 7/2018 10: 8:45         520         520         520         520              520          519.444
 2/ 7/2018 10: 8:46         510         510         510         510              510          518.947
 2/ 7/2018 10:19: 2         500         500         500         500              500              518
 2/ 7/2018 10:19: 3         510         510         510         510              510          517.619
 2/ 7/2018 10:19:23         500         500         500         500              500          516.818
 2/ 7/2018 10:19:48         510         510         510         510              510          516.522
 2/ 7/2018 10:20: 6         500         500         500         500              500          515.833
 2/ 7/2018 10:20:21         510         510         510         510              510            515.6
 2/ 7/2018 10:20:22         500         500         500         500              500              515
 2/ 7/2018 10:20:41         510         510         510         510              510          514.815
 2/ 7/2018 10:20:42         500         500         500         500              500          514.286
 2/ 7/2018 10:25:45         510         510         510         510              510          514.138
 2/ 7/2018 10:25:46         500         500         500         500              500          513.667
 2/ 7/2018 10:25:49         510         510         510         510              510          513.548
 2/ 7/2018 10:25:50         500         500         500         500              500          513.125
 2/ 7/2018 10:25:53         510         510         510         510              510           513.03
 2/ 7/2018 10:28:51         520         520         520         520              520          513.235
 2/ 7/2018 10:28:52         510         510         510         510              510          513.143
 2/ 7/2018 10:32:27         500         500         500         500              500          512.778
 2/ 7/2018 10:32:29         510         510         510         510              510          512.703
 2/ 7/2018 10:32:36         500         500         500         500              500          512.368
 2/ 7/2018 10:32:40         510         510         510         510              510          512.308
 2/ 7/2018 10:33:11         500         500         500         500              500              512
 2/ 7/2018 10:33:21         510         510         510         510              510          511.951
 2/ 7/2018 10:37:12         500         500         500         500              500          511.667
 2/ 7/2018 10:37:22         510         510         510         510              510          511.628
 2/ 7/2018 10:38:11         500         500         500         500              500          511.364
 2/ 7/2018 10:38:19         510         510         510         510              510          511.333
 2/ 7/2018 10:38:25         500         500         500         500              500          511.087
 2/ 7/2018 10:38:54         510         510         510         510              510          511.064
 2/ 7/2018 10:38:56         500         500         500         500              500          510.833
 2/ 7/2018 10:39: 0         510         510         510         510              510          510.816
 2/ 7/2018 10:39: 3         500         500         500         500              500            510.6
 2/ 7/2018 10:39: 4         510         510         510         510              510          510.588
