         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 3          90          90          90          90               90               90
 2/ 7/2018 10:18:37         100         100         100         100              100               95
 2/ 7/2018 10:18:44          90          90          90          90               90          93.3333
 2/ 7/2018 10:18:51         100         100         100         100              100               95
 2/ 7/2018 10:18:54          90          90          90          90               90               94
 2/ 7/2018 10:18:55         100         100         100         100              100               95
 2/ 7/2018 10:18:58          90          90          90          90               90          94.2857
 2/ 7/2018 10:19: 0         100         100         100         100              100               95
 2/ 7/2018 10:20:15          90          90          90          90               90          94.4444
 2/ 7/2018 10:27:51          90          90          90          90               90               94
 2/ 7/2018 11:12:17          80          80          80          80               80          92.7273
 2/ 7/2018 11:12:57          90          90          90          90               90             92.5
 2/ 7/2018 11:12:59          80          80          80          80               80          91.5385
 2/ 7/2018 11:13: 1          90          90          90          90               90          91.4286
 2/ 7/2018 11:13: 2          80          80          80          80               80          90.6667
 2/ 7/2018 11:25:24          90          90          90          90               90           90.625
 2/ 7/2018 11:41:17          80          80          80          80               80               90
 2/ 7/2018 11:47:19          90          90          90          90               90               90
 2/ 7/2018 11:56: 1          80          80          80          80               80          89.4737
 2/ 7/2018 11:56: 3          90          90          90          90               90             89.5
 2/ 7/2018 11:57:10          80          80          80          80               80          89.0476
 2/ 7/2018 11:58:16          90          90          90          90               90          89.0909
 2/ 7/2018 11:58:19          80          80          80          80               80          88.6957
 2/ 7/2018 11:58:21          90          90          90          90               90            88.75
 2/ 7/2018 11:58:22          80          80          80          80               80             88.4
 2/ 7/2018 11:58:23          90          90          90          90               90          88.4615
 2/ 7/2018 12:13:36          80          80          80          80               80          88.1481
 2/ 7/2018 14: 0: 0          80          80          80          80               80          87.8571
 2/ 7/2018 16: 5:14          90          90          90          90               90           87.931
 2/ 7/2018 16:52:51          80          80          80          80               80          87.6667
 2/ 7/2018 16:53:35          90          90          90          90               90          87.7419
 2/ 7/2018 16:55:49          80          80          80          80               80             87.5
