         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0:34          40          40          40          40               40               40
 2/ 7/2018 10: 0:41          50          50          50          50               50               45
 2/ 7/2018 10: 3:22          40          40          40          40               40          43.3333
 2/ 7/2018 10: 3:23          50          50          50          50               50               45
 2/ 7/2018 10:15: 2          40          40          40          40               40               44
 2/ 7/2018 10:15: 8          50          50          50          50               50               45
 2/ 7/2018 10:15:29          40          40          40          40               40          44.2857
 2/ 7/2018 10:33:56          50          50          50          50               50               45
 2/ 7/2018 10:43:10          40          40          40          40               40          44.4444
 2/ 7/2018 10:49:14          50          50          50          50               50               45
 2/ 7/2018 10:54:28          40          40          40          40               40          44.5455
 2/ 7/2018 10:54:47          50          50          50          50               50               45
 2/ 7/2018 11:17:22          40          40          40          40               40          44.6154
 2/ 7/2018 11:17:54          50          50          50          50               50               45
 2/ 7/2018 11:18:43          40          40          40          40               40          44.6667
 2/ 7/2018 11:18:44          50          50          50          50               50               45
 2/ 7/2018 11:21:23          40          40          40          40               40          44.7059
 2/ 7/2018 11:21:24          50          50          40          40               45          44.7222
 2/ 7/2018 11:24:40          50          50          50          50               50               45
 2/ 7/2018 11:24:51          40          40          40          40               40            44.75
 2/ 7/2018 11:24:55          50          50          50          50               50               45
 2/ 7/2018 11:41:20          40          50          40          50               45               45
 2/ 7/2018 11:41:22          40          40          40          40               40          44.7826
 2/ 7/2018 11:47:20          50          50          50          50               50               45
 2/ 7/2018 11:53:53          40          40          40          40               40             44.8
 2/ 7/2018 11:55: 4          50          50          50          50               50               45
 2/ 7/2018 11:55:10          40          40          40          40               40          44.8148
 2/ 7/2018 11:55:15          50          50          50          50               50               45
 2/ 7/2018 11:55:16          40          50          40          50               45               45
 2/ 7/2018 11:55:17          40          40          40          40               40          44.8333
 2/ 7/2018 11:55:20          50          50          50          50               50               45
 2/ 7/2018 11:55:22          40          40          40          40               40          44.8438
 2/ 7/2018 11:55:23          50          50          50          50               50               45
 2/ 7/2018 11:55:30          40          40          40          40               40          44.8529
 2/ 7/2018 11:55:42          50          50          50          50               50               45
 2/ 7/2018 11:55:45          40          40          40          40               40          44.8611
 2/ 7/2018 11:58:35          50          50          50          50               50               45
 2/ 7/2018 11:58:53          40          40          40          40               40          44.8684
 2/ 7/2018 11:58:57          50          50          50          50               50               45
 2/ 7/2018 11:59:18          40          40          40          40               40           44.875
 2/ 7/2018 11:59:21          50          50          50          50               50               45
 2/ 7/2018 11:59:24          40          40          40          40               40           44.881
 2/ 7/2018 11:59:28          50          50          50          50               50               45
 2/ 7/2018 11:59:29          40          40          40          40               40          44.8864
 2/ 7/2018 11:59:30          50          50          50          50               50               45
 2/ 7/2018 12: 1: 7          40          40          40          40               40          44.8913
 2/ 7/2018 12: 1: 8          50          50          50          50               50               45
 2/ 7/2018 12: 2:51          40          40          40          40               40          44.8958
 2/ 7/2018 12: 2:52          50          50          50          50               50               45
 2/ 7/2018 12: 2:57          40          40          40          40               40             44.9
 2/ 7/2018 12: 3: 4          50          50          50          50               50               45
 2/ 7/2018 12:14: 6          40          40          40          40               40          44.9038
 2/ 7/2018 12:17:53          50          50          50          50               50               45
 2/ 7/2018 12:18: 9          40          40          40          40               40          44.9074
 2/ 7/2018 12:18:34          50          50          40          40               45          44.9091
 2/ 7/2018 14: 0:37          40          40          40          40               40          44.8214
 2/ 7/2018 14: 7:25          50          50          50          50               50          44.9123
 2/ 7/2018 14: 8:14          40          40          40          40               40          44.8276
 2/ 7/2018 16:11:56          50          50          50          50               50          44.9153
 2/ 7/2018 16:30:24          40          40          40          40               40          44.8333
 2/ 7/2018 16:33:29          50          50          50          50               50           44.918
 2/ 7/2018 16:33:36          40          40          40          40               40          44.8387
 2/ 7/2018 17:36: 9          40          40          40          40               40          44.7619
