         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 3         420         420         420         420              420              420
 2/ 7/2018 10: 1:11         410         410         410         410              410              415
 2/ 7/2018 10: 2:46         400         400         400         400              400              410
 2/ 7/2018 10: 2:47         410         410         410         410              410              410
 2/ 7/2018 10: 3:19         400         400         400         400              400              408
 2/ 7/2018 10: 3:20         410         410         410         410              410          408.333
 2/ 7/2018 10: 3:41         400         400         400         400              400          407.143
 2/ 7/2018 10: 3:42         410         410         410         410              410            407.5
 2/ 7/2018 10: 3:50         400         400         400         400              400          406.667
 2/ 7/2018 10: 3:51         410         410         410         410              410              407
 2/ 7/2018 10: 3:52         400         400         400         400              400          406.364
 2/ 7/2018 10: 3:53         410         410         410         410              410          406.667
 2/ 7/2018 10: 3:54         400         400         400         400              400          406.154
 2/ 7/2018 10: 3:55         410         410         410         410              410          406.429
 2/ 7/2018 10: 3:56         400         400         400         400              400              406
 2/ 7/2018 10: 3:57         410         410         410         410              410           406.25
 2/ 7/2018 10: 4: 1         400         400         400         400              400          405.882
 2/ 7/2018 10: 4: 2         410         410         410         410              410          406.111
 2/ 7/2018 10: 4: 3         400         400         400         400              400          405.789
 2/ 7/2018 10: 4: 4         410         410         410         410              410              406
 2/ 7/2018 10: 4:41         400         400         400         400              400          405.714
 2/ 7/2018 10: 4:42         410         410         410         410              410          405.909
 2/ 7/2018 10: 4:46         400         400         400         400              400          405.652
 2/ 7/2018 10: 4:47         410         410         410         410              410          405.833
 2/ 7/2018 10: 4:50         400         400         400         400              400            405.6
 2/ 7/2018 10: 4:51         410         410         410         410              410          405.769
 2/ 7/2018 10: 5: 1         400         400         400         400              400          405.556
 2/ 7/2018 10: 5: 2         400         400         400         400              400          405.357
 2/ 7/2018 10: 5: 3         410         410         410         410              410          405.517
 2/ 7/2018 10: 5:22         400         400         400         400              400          405.333
 2/ 7/2018 10: 5:43         390         390         390         390              390          404.839
 2/ 7/2018 10: 6: 0         400         400         400         400              400          404.688
 2/ 7/2018 10: 6:18         390         390         390         390              390          404.242
 2/ 7/2018 10: 6:24         400         400         400         400              400          404.118
 2/ 7/2018 10: 6:29         390         390         390         390              390          403.714
 2/ 7/2018 10: 6:31         400         400         400         400              400          403.611
 2/ 7/2018 10:10:56         410         410         410         410              410          403.784
 2/ 7/2018 10:12:35         400         400         400         400              400          403.684
 2/ 7/2018 10:16: 0         390         390         390         390              390          403.333
 2/ 7/2018 10:16:35         380         380         380         380              380           402.75
 2/ 7/2018 10:17:16         390         390         390         390              390          402.439
 2/ 7/2018 10:17:45         380         380         380         380              380          401.905
 2/ 7/2018 10:20:27         390         390         390         390              390          401.628
 2/ 7/2018 10:28:14         380         380         380         380              380          401.136
 2/ 7/2018 10:28:43         390         390         390         390              390          400.889
 2/ 7/2018 10:30: 7         380         380         380         380              380          400.435
 2/ 7/2018 10:30:59         390         390         390         390              390          400.213
 2/ 7/2018 10:32:43         400         400         400         400              400          400.208
 2/ 7/2018 10:35: 6         390         390         390         390              390              400
 2/ 7/2018 10:39:19         400         400         400         400              400              400
 2/ 7/2018 10:39:43         390         390         390         390              390          399.804
 2/ 7/2018 10:48:49         400         400         400         400              400          399.808
 2/ 7/2018 10:49:25         410         410         410         410              410              400
 2/ 7/2018 10:49:48         420         420         420         420              420           400.37
