         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018  9:55: 1       67000       80500       67000       66650          70287.5          70287.5
 2/ 7/2018 10: 0: 0       67000       67000       66950       66950            66975          68631.2
 2/ 7/2018 10: 0: 1       67000       68000       67000       68000            67500          68254.2
 2/ 7/2018 10: 0: 2       67150       71000       66900       67050            68025          68196.9
 2/ 7/2018 10: 0: 3       66850       67550       66850       67400          67162.5            67990
 2/ 7/2018 10: 0: 4       67600       70000       67000       67400            68000          67991.7
 2/ 7/2018 10: 0: 5       67300       67500       66950       67500          67312.5          67894.6
 2/ 7/2018 10: 0: 6       66550       67500       66550       67400            67000          67782.8
 2/ 7/2018 10: 0: 7       67300       70600       67300       70600            68950          67912.5
 2/ 7/2018 10: 0: 8       67750       67750       67750       67750            67750          67896.2
 2/ 7/2018 10: 0: 9       67150       67300       67150       67250          67212.5          67834.1
 2/ 7/2018 10: 0:10       66800       67200       66800       67200            67000          67764.6
 2/ 7/2018 10: 0:11       66750       67350       66750       67350            67050          67709.6
 2/ 7/2018 10: 0:12       66700       66700       66700       66700            66700          67637.5
 2/ 7/2018 10: 0:15       67050       67050       67050       67050            67050          67598.3
 2/ 7/2018 10: 0:16       67000       67000       67000       67000            67000          67560.9
 2/ 7/2018 10: 0:21       67150       67150       67150       67150            67150          67536.8
 2/ 7/2018 10: 0:22       67250       67250       67250       67250            67250          67520.8
 2/ 7/2018 10: 0:25       67100       67100       67100       67100            67100          67498.7
 2/ 7/2018 10: 0:26       67050       67050       67050       67050            67050          67476.2
 2/ 7/2018 10: 0:28       67150       67150       67150       67150            67150          67460.7
 2/ 7/2018 10: 0:33       67100       67100       67100       67100            67100          67444.3
 2/ 7/2018 10: 0:38       67050       67300       66650       67050          67012.5          67425.5
 2/ 7/2018 10: 0:42       67100       67100       67100       67100            67100            67412
 2/ 7/2018 10: 0:44       67050       67050       67050       67050            67050          67397.5
 2/ 7/2018 10: 0:48       67050       67050       67050       67050            67050          67384.1
 2/ 7/2018 10: 0:49       65150       65150       65150       65150            65150          67301.4
 2/ 7/2018 10: 0:50       64250       64250       64250       64250            64250          67192.4
 2/ 7/2018 10: 0:54       67000       67000       67000       67000            67000          67185.8
 2/ 7/2018 10: 0:56       67000       67000       66950       66950            66975          67178.8
 2/ 7/2018 10: 0:58       67000       67000       67000       67000            67000            67173
 2/ 7/2018 10: 0:59       67000       67000       66950       66950            66975          67166.8
 2/ 7/2018 10: 1: 0       66900       66900       66900       66900            66900          67158.7
 2/ 7/2018 10: 1: 1       67100       67100       67100       67100            67100            67157
