         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2:24         160         160         160         160               160         160           1
10/ 7/2018 12: 2:58         170         170         170         170               170         165           1
10/ 7/2018 13: 2: 2         160         160         160         160               160     163.333           1
10/ 7/2018 14: 2: 0         170         170         170         170               170         165           1
10/ 7/2018 38: 2:20         160         160         160         160               160         164           1
10/ 7/2018 38: 2:29         170         170         170         170               170         165           1
10/ 7/2018 38: 2:53         160         160         160         160               160     164.286           1
10/ 7/2018 39: 2:21         170         170         170         170               170         165           1
10/ 7/2018 42: 2:37         160         160         160         160               160     164.444           1
10/ 7/2018 42: 2:42         170         170         170         170               170         165           1
10/ 7/2018 42: 2:43         160         160         160         160               160     164.545           1
10/ 7/2018 43: 2:12         170         170         170         170               170         165           1
10/ 7/2018 43: 2:16         160         160         160         160               160     164.615           1
10/ 7/2018 43: 2:21         170         170         170         170               170         165           1
10/ 7/2018 49: 2:43         160         160         160         160               160     164.667           1
10/ 7/2018 49: 2:44         170         170         170         170               170         165           1
11/ 7/2018 11: 2: 2         160         160         160         160               160     164.706           1
11/ 7/2018 11: 2: 3         170         170         170         170               170         165           1
11/ 7/2018 11: 2:32         160         160         160         160               160     164.737           1
11/ 7/2018 11: 2:35         170         170         170         170               170         165           1
11/ 7/2018 11: 2:39         160         160         160         160               160     164.762           1
11/ 7/2018 13: 2: 7         170         170         170         170               170         165           1
11/ 7/2018 13: 2:24         160         160         160         160               160     164.783           1
11/ 7/2018 20: 2: 9         170         170         160         160               165     164.792           2
11/ 7/2018 33: 2:37         170         170         170         170               170         165           1
11/ 7/2018 41: 2:45         160         160         160         160               160     164.808           1
11/ 7/2018 41: 2:52         170         170         170         170               170         165           1
11/ 7/2018 44: 2:41         160         160         160         160               160     164.821           1
11/ 7/2018 44: 2:42         170         170         170         170               170         165           1
11/ 7/2018 45: 2: 2         160         160         160         160               160     164.833           1
11/ 7/2018 45: 2:10         170         170         170         170               170         165           1
11/ 7/2018 45: 2:12         160         160         160         160               160     164.844           1
11/ 7/2018 45: 2:19         170         170         170         170               170         165           1
11/ 7/2018 45: 2:43         160         160         160         160               160     164.853           1
11/ 7/2018 45: 2:50         170         170         170         170               170         165           1
