         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 3        1060        1060        1060        1060             1060             1060
 2/ 7/2018 10: 0:17        1070        1070        1070        1070             1070             1065
 2/ 7/2018 10: 1:11        1080        1080        1080        1080             1080             1070
 2/ 7/2018 10: 1:57        1090        1090        1090        1090             1090             1075
 2/ 7/2018 10: 2:23        1100        1100        1100        1100             1100             1080
 2/ 7/2018 10: 5:22        1110        1110        1110        1110             1110             1085
 2/ 7/2018 10: 5:38        1120        1120        1120        1120             1120             1090
 2/ 7/2018 10: 5:43        1130        1130        1130        1130             1130             1095
 2/ 7/2018 10: 6: 0        1120        1120        1120        1120             1120          1097.78
 2/ 7/2018 10: 6:18        1130        1130        1130        1130             1130             1101
 2/ 7/2018 10: 6:24        1120        1120        1120        1120             1120          1102.73
 2/ 7/2018 10: 6:29        1130        1130        1130        1130             1130             1105
 2/ 7/2018 10: 6:31        1120        1120        1120        1120             1120          1106.15
 2/ 7/2018 10: 6:51        1110        1110        1110        1110             1110          1106.43
 2/ 7/2018 10: 7:36        1120        1120        1120        1120             1120          1107.33
 2/ 7/2018 10: 7:41        1110        1110        1110        1110             1110           1107.5
 2/ 7/2018 10: 9: 2        1120        1120        1120        1120             1120          1108.24
 2/ 7/2018 10: 9:54        1110        1110        1110        1110             1110          1108.33
 2/ 7/2018 10:10:48        1100        1100        1100        1100             1100          1107.89
 2/ 7/2018 10:10:56        1090        1090        1090        1090             1090             1107
 2/ 7/2018 10:12:35        1100        1100        1100        1100             1100          1106.67
 2/ 7/2018 10:12:42        1110        1110        1110        1110             1110          1106.82
 2/ 7/2018 10:13:17        1120        1120        1120        1120             1120          1107.39
 2/ 7/2018 10:14:20        1110        1110        1110        1110             1110           1107.5
 2/ 7/2018 10:14:50        1100        1100        1100        1100             1100           1107.2
 2/ 7/2018 10:15:10        1110        1110        1110        1110             1110          1107.31
 2/ 7/2018 10:15:55        1120        1120        1120        1120             1120          1107.78
 2/ 7/2018 10:16: 0        1130        1130        1130        1130             1130          1108.57
 2/ 7/2018 10:16: 8        1140        1140        1140        1140             1140          1109.66
 2/ 7/2018 10:16:35        1150        1150        1150        1150             1150             1111
 2/ 7/2018 10:17:16        1140        1140        1140        1140             1140          1111.94
 2/ 7/2018 10:17:45        1150        1150        1150        1150             1150          1113.12
 2/ 7/2018 10:19:16        1160        1160        1160        1160             1160          1114.55
 2/ 7/2018 10:20: 8        1150        1150        1150        1150             1150          1115.59
 2/ 7/2018 10:20:27        1140        1140        1140        1140             1140          1116.29
 2/ 7/2018 10:28:14        1160        1160        1160        1160             1160           1117.5
 2/ 7/2018 10:28:15        1170        1170        1170        1170             1170          1118.92
 2/ 7/2018 10:28:19        1160        1160        1160        1160             1160             1120
 2/ 7/2018 10:28:24        1150        1150        1150        1150             1150          1120.77
 2/ 7/2018 10:28:25        1160        1160        1160        1160             1160          1121.75
 2/ 7/2018 10:28:26        1150        1150        1150        1150             1150          1122.44
 2/ 7/2018 10:28:28        1160        1160        1160        1160             1160          1123.33
 2/ 7/2018 10:28:43        1150        1150        1150        1150             1150          1123.95
 2/ 7/2018 10:29: 3        1140        1140        1140        1140             1140          1124.32
 2/ 7/2018 10:29: 4        1150        1150        1150        1150             1150          1124.89
 2/ 7/2018 10:29: 8        1140        1140        1140        1140             1140          1125.22
 2/ 7/2018 10:29:11        1150        1150        1150        1150             1150          1125.74
 2/ 7/2018 10:29:12        1140        1140        1140        1140             1140          1126.04
 2/ 7/2018 10:29:13        1150        1150        1150        1150             1150          1126.53
 2/ 7/2018 10:29:14        1140        1140        1140        1140             1140           1126.8
 2/ 7/2018 10:29:21        1150        1150        1150        1150             1150          1127.25
 2/ 7/2018 10:29:22        1140        1140        1140        1140             1140           1127.5
 2/ 7/2018 10:29:23        1150        1150        1150        1150             1150          1127.92
 2/ 7/2018 10:29:24        1140        1140        1140        1140             1140          1128.15
 2/ 7/2018 10:29:25        1150        1150        1150        1150             1150          1128.55
 2/ 7/2018 10:29:26        1140        1140        1140        1140             1140          1128.75
 2/ 7/2018 10:29:29        1150        1150        1150        1150             1150          1129.12
 2/ 7/2018 10:29:33        1140        1140        1140        1140             1140          1129.31
 2/ 7/2018 10:29:34        1150        1150        1150        1150             1150          1129.66
 2/ 7/2018 10:29:36        1140        1140        1140        1140             1140          1129.83
 2/ 7/2018 10:29:37        1150        1150        1150        1150             1150          1130.16
 2/ 7/2018 10:29:38        1140        1140        1140        1140             1140          1130.32
 2/ 7/2018 10:30: 7        1150        1150        1150        1150             1150          1130.63
 2/ 7/2018 10:30:59        1140        1140        1140        1140             1140          1130.78
 2/ 7/2018 10:31:38        1130        1130        1130        1130             1130          1130.77
 2/ 7/2018 10:32:43        1120        1120        1120        1120             1120          1130.61
 2/ 7/2018 10:33:53        1110        1110        1110        1110             1110           1130.3
 2/ 7/2018 10:34:43        1120        1120        1120        1120             1120          1130.15
 2/ 7/2018 10:35: 6        1130        1130        1130        1130             1130          1130.14
 2/ 7/2018 10:35:44        1140        1140        1140        1140             1140          1130.29
 2/ 7/2018 10:36:11        1130        1130        1130        1130             1130          1130.28
 2/ 7/2018 10:36:25        1140        1140        1140        1140             1140          1130.42
 2/ 7/2018 10:37:43        1130        1130        1130        1130             1130          1130.41
 2/ 7/2018 10:39:19        1120        1120        1120        1120             1120          1130.27
 2/ 7/2018 10:39:43        1130        1130        1130        1130             1130          1130.27
 2/ 7/2018 10:40:22        1140        1140        1140        1140             1140          1130.39
 2/ 7/2018 10:40:50        1130        1130        1130        1130             1130          1130.39
 2/ 7/2018 10:48:49        1120        1120        1120        1120             1120          1130.26
 2/ 7/2018 10:48:50        1110        1110        1110        1110             1110             1130
 2/ 7/2018 10:49: 6        1100        1100        1100        1100             1100          1129.62
 2/ 7/2018 10:49:25        1090        1090        1090        1090             1090          1129.14
 2/ 7/2018 10:49:48        1080        1080        1080        1080             1080          1128.54
 2/ 7/2018 10:49:49        1070        1070        1070        1070             1070          1127.83
 2/ 7/2018 10:49:50        1060        1060        1060        1060             1060          1127.02
 2/ 7/2018 10:49:57        1070        1070        1070        1070             1070          1126.35
 2/ 7/2018 10:50: 5        1060        1060        1060        1060             1060          1125.58
 2/ 7/2018 10:50: 6        1070        1070        1070        1070             1070          1124.94
 2/ 7/2018 10:50: 8        1060        1060        1060        1060             1060           1124.2
 2/ 7/2018 10:50:11        1050        1050        1050        1050             1050          1123.37
 2/ 7/2018 10:50:12        1060        1060        1060        1060             1060          1122.67
 2/ 7/2018 10:50:14        1070        1070        1070        1070             1070          1122.09
 2/ 7/2018 10:50:15        1070        1070        1070        1070             1070          1121.52
 2/ 7/2018 10:50:16        1070        1070        1070        1070             1070          1120.97
 2/ 7/2018 10:50:17        1070        1070        1070        1070             1070          1120.43
 2/ 7/2018 10:50:21        1060        1060        1060        1060             1060          1119.79
 2/ 7/2018 10:50:22        1070        1070        1070        1070             1070          1119.27
