         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2: 3         880         880         880         880               880         880           1
10/ 7/2018  3: 2:35         890         890         890         890               890         885           1
10/ 7/2018  3: 2:36         880         880         880         880               880     883.333           1
10/ 7/2018  4: 2:31         890         890         890         890               890         885           1
10/ 7/2018  5: 2:47         900         900         900         900               900         888           1
10/ 7/2018  6: 2: 3         890         890         890         890               890     888.333           1
10/ 7/2018 11: 2: 3         880         880         880         880               880     887.143           1
10/ 7/2018 11: 2:23         890         890         890         890               890       887.5           1
10/ 7/2018 11: 2:42         900         900         900         900               900     888.889           1
10/ 7/2018 16: 2:14         900         900         900         900               900         890           1
10/ 7/2018 16: 2:15         890         890         890         890               890         890           1
10/ 7/2018 16: 2:19         900         900         900         900               900     890.833           1
10/ 7/2018 16: 2:20         890         890         890         890               890     890.769           1
10/ 7/2018 16: 2:23         900         900         900         900               900     891.429           1
10/ 7/2018 16: 2:25         890         890         890         890               890     891.333           1
10/ 7/2018 16: 2:27         900         900         900         900               900     891.875           1
10/ 7/2018 16: 2:28         900         900         900         900               900     892.353           1
10/ 7/2018 16: 2:29         900         900         900         900               900     892.778           1
10/ 7/2018 16: 2:34         890         890         890         890               890     892.632           1
10/ 7/2018 16: 2:35         900         900         900         900               900         893           1
10/ 7/2018 16: 2:46         890         890         890         890               890     892.857           1
10/ 7/2018 16: 2:47         900         900         900         900               900     893.182           1
10/ 7/2018 16: 2:48         890         890         890         890               890     893.043           1
10/ 7/2018 16: 2:49         900         900         900         900               900     893.333           1
10/ 7/2018 16: 2:50         890         890         890         890               890       893.2           1
10/ 7/2018 16: 2:51         900         900         900         900               900     893.462           1
10/ 7/2018 18: 2:32         910         910         910         910               910     894.074           1
10/ 7/2018 19: 2:21         910         910         910         910               910     894.643           1
10/ 7/2018 22: 2:29         900         900         900         900               900     894.828           1
10/ 7/2018 28: 2:14         900         900         900         900               900         895           1
10/ 7/2018 29: 2: 7         890         890         890         890               890     894.839           1
10/ 7/2018 29: 2: 8         900         900         900         900               900         895           1
10/ 7/2018 29: 2: 9         890         890         890         890               890     894.848           1
10/ 7/2018 29: 2:11         900         900         900         900               900         895           1
10/ 7/2018 29: 2:12         890         890         890         890               890     894.857           1
10/ 7/2018 29: 2:13         900         900         900         900               900         895           1
10/ 7/2018 29: 2:14         890         890         890         890               890     894.865           1
10/ 7/2018 29: 2:18         900         900         900         900               900         895           1
10/ 7/2018 29: 2:19         890         890         890         890               890     894.872           1
10/ 7/2018 29: 2:21         900         900         900         900               900         895           1
10/ 7/2018 29: 2:22         890         890         890         890               890     894.878           1
10/ 7/2018 29: 2:23         900         900         900         900               900         895           1
10/ 7/2018 29: 2:24         900         900         900         900               900     895.116           1
10/ 7/2018 29: 2:25         890         890         890         890               890         895           1
10/ 7/2018 29: 2:26         890         890         890         890               890     894.889           1
10/ 7/2018 29: 2:27         890         890         890         890               890     894.783           1
10/ 7/2018 29: 2:28         890         890         890         890               890     894.681           1
10/ 7/2018 29: 2:29         900         900         900         900               900     894.792           1
10/ 7/2018 29: 2:33         890         890         890         890               890     894.694           1
10/ 7/2018 29: 2:34         900         900         900         900               900       894.8           1
10/ 7/2018 29: 2:38         890         890         890         890               890     894.706           1
10/ 7/2018 29: 2:39         890         890         890         890               890     894.615           1
10/ 7/2018 29: 2:40         900         900         900         900               900     894.717           1
10/ 7/2018 29: 2:41         890         890         890         890               890      894.63           1
10/ 7/2018 29: 2:42         890         890         890         890               890     894.545           1
10/ 7/2018 29: 2:43         900         900         900         900               900     894.643           1
10/ 7/2018 29: 2:44         900         900         900         900               900     894.737           1
10/ 7/2018 29: 2:45         890         890         890         890               890     894.655           1
10/ 7/2018 29: 2:51         900         900         900         900               900     894.746           1
10/ 7/2018 29: 2:52         890         890         890         890               890     894.667           1
10/ 7/2018 29: 2:54         900         900         900         900               900     894.754           1
10/ 7/2018 29: 2:55         890         890         890         890               890     894.677           1
10/ 7/2018 29: 2:59         900         900         900         900               900     894.762           1
10/ 7/2018 30: 2: 0         890         890         890         890               890     894.688           1
10/ 7/2018 30: 2: 2         900         900         900         900               900     894.769           1
10/ 7/2018 30: 2: 3         890         890         890         890               890     894.697           1
10/ 7/2018 30: 2: 4         900         900         900         900               900     894.776           1
10/ 7/2018 30: 2: 5         890         890         890         890               890     894.706           1
10/ 7/2018 30: 2: 6         900         900         900         900               900     894.783           1
10/ 7/2018 31: 2:17         890         890         890         890               890     894.714           1
10/ 7/2018 31: 2:30         900         900         900         900               900     894.789           1
10/ 7/2018 31: 2:31         890         890         890         890               890     894.722           1
10/ 7/2018 31: 2:32         900         900         900         900               900     894.795           1
10/ 7/2018 31: 2:34         890         890         890         890               890      894.73           1
10/ 7/2018 33: 2:55         880         880         880         880               880     894.533           1
10/ 7/2018 33: 2:56         890         890         890         890               890     894.474           1
10/ 7/2018 34: 2: 1         880         880         880         880               880     894.286           1
10/ 7/2018 34: 2: 2         890         890         890         890               890     894.231           1
10/ 7/2018 34: 2: 3         880         880         880         880               880     894.051           1
10/ 7/2018 34: 2: 4         890         890         890         890               890         894           1
10/ 7/2018 36: 2:49         900         900         900         900               900     894.074           1
10/ 7/2018 37: 2:42         890         890         890         890               890     894.024           1
10/ 7/2018 40: 2:16         900         900         900         900               900     894.096           1
10/ 7/2018 42: 2:29         890         890         890         890               890     894.048           1
10/ 7/2018 44: 2: 3         900         900         900         900               900     894.118           1
10/ 7/2018 44: 2:54         900         900         900         900               900     894.186           1
10/ 7/2018 45: 2:34         910         910         910         910               910     894.368           1
10/ 7/2018 47: 2:25         900         900         900         900               900     894.432           1
10/ 7/2018 48: 2:49         890         890         890         890               890     894.382           1
10/ 7/2018 49: 2:18         880         880         880         880               880     894.222           1
10/ 7/2018 49: 2:19         890         890         890         890               890     894.176           1
10/ 7/2018 49: 2:23         880         880         880         880               880     894.022           1
10/ 7/2018 49: 2:24         890         890         890         890               890     893.978           1
10/ 7/2018 49: 2:25         890         890         890         890               890     893.936           1
10/ 7/2018 49: 2:28         880         880         880         880               880     893.789           1
10/ 7/2018 49: 2:29         890         890         890         890               890      893.75           1
10/ 7/2018 49: 2:30         880         880         880         880               880     893.608           1
10/ 7/2018 49: 2:50         870         870         870         870               870     893.367           1
10/ 7/2018 50: 2:56         880         880         880         880               880     893.232           1
10/ 7/2018 53: 2: 2         890         890         890         890               890       893.2           1
10/ 7/2018 53: 2:19         880         880         880         880               880     893.069           1
10/ 7/2018 53: 2:20         890         890         890         890               890     893.039           1
10/ 7/2018 53: 2:21         890         890         890         890               890      893.01           1
10/ 7/2018 54: 2:12         880         880         880         880               880     892.885           1
10/ 7/2018 54: 2:37         890         890         890         890               890     892.857           1
10/ 7/2018 54: 2:42         880         880         880         880               880     892.736           1
10/ 7/2018 54: 2:43         890         890         890         890               890      892.71           1
10/ 7/2018 54: 2:44         890         890         890         890               890     892.685           1
10/ 7/2018 54: 2:46         880         880         880         880               880     892.569           1
10/ 7/2018 54: 2:47         880         880         880         880               880     892.455           1
10/ 7/2018 54: 2:58         890         890         890         890               890     892.432           1
10/ 7/2018 55: 2: 5         890         890         890         890               890     892.411           1
10/ 7/2018 55: 2: 7         880         880         880         880               880     892.301           1
10/ 7/2018 55: 2: 8         880         880         880         880               880     892.193           1
10/ 7/2018 55: 2:10         890         890         890         890               890     892.174           1
10/ 7/2018 55: 2:11         890         890         890         890               890     892.155           1
10/ 7/2018 55: 2:12         880         880         880         880               880     892.051           1
10/ 7/2018 55: 2:13         890         890         890         890               890     892.034           1
10/ 7/2018 55: 2:14         890         890         890         890               890     892.017           1
10/ 7/2018 55: 2:15         880         880         880         880               880     891.917           1
10/ 7/2018 55: 2:17         890         890         890         890               890     891.901           1
10/ 7/2018 55: 2:18         880         880         880         880               880     891.803           1
10/ 7/2018 55: 2:19         880         880         880         880               880     891.707           1
10/ 7/2018 55: 2:20         890         890         890         890               890     891.694           1
10/ 7/2018 55: 2:21         880         880         880         880               880       891.6           1
10/ 7/2018 55: 2:22         890         890         890         890               890     891.587           1
10/ 7/2018 55: 2:24         880         880         880         880               880     891.496           1
10/ 7/2018 55: 2:25         890         890         890         890               890     891.484           1
10/ 7/2018 55: 2:27         880         880         880         880               880     891.395           1
10/ 7/2018 55: 2:28         890         890         890         890               890     891.385           1
10/ 7/2018 55: 2:29         890         890         890         890               890     891.374           1
10/ 7/2018 55: 2:31         880         880         880         880               880     891.288           1
10/ 7/2018 55: 2:32         890         890         890         890               890     891.278           1
10/ 7/2018 55: 2:33         880         880         880         880               880     891.194           1
10/ 7/2018 55: 2:35         890         890         890         890               890     891.185           1
10/ 7/2018 55: 2:37         880         890         880         890               885      891.14           2
10/ 7/2018 55: 2:38         880         880         880         880               880     891.058           1
10/ 7/2018 55: 2:39         890         890         890         890               890     891.051           1
10/ 7/2018 55: 2:41         880         880         880         880               880     890.971           1
10/ 7/2018 55: 2:42         880         880         880         880               880     890.893           1
10/ 7/2018 55: 2:43         890         890         890         890               890     890.887           1
10/ 7/2018 55: 2:54         880         880         880         880               880      890.81           1
10/ 7/2018 55: 2:55         890         890         890         890               890     890.804           1
10/ 7/2018 56: 2: 2         880         880         880         880               880     890.729           1
10/ 7/2018 56: 2: 3         890         890         890         890               890     890.724           1
10/ 7/2018 56: 2:19         880         880         880         880               880     890.651           1
11/ 7/2018  2: 2:16         870         870         870         870               870      890.51           1
11/ 7/2018  2: 2:22         880         880         880         880               880     890.439           1
11/ 7/2018  6: 2:58         870         870         870         870               870     890.302           1
11/ 7/2018  7: 2:24         880         880         880         880               880     890.233           1
11/ 7/2018  8: 2:41         870         870         870         870               870     890.099           1
11/ 7/2018 19: 2:41         880         880         880         880               880     890.033           1
11/ 7/2018 20: 2: 4         870         870         870         870               870     889.902           1
