         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2:24         530         530         530         530               530         530           1
10/ 7/2018 55: 2: 0         540         540         540         540               540         535           1
10/ 7/2018 55: 2: 6         530         530         530         530               530     533.333           1
10/ 7/2018 55: 2:48         540         540         540         540               540         535           1
10/ 7/2018 55: 2:57         530         530         530         530               530         534           1
10/ 7/2018 55: 2:59         540         540         530         530               535     534.167           2
10/ 7/2018 56: 2: 0         540         540         540         540               540         535           1
10/ 7/2018 56: 2: 7         530         530         530         530               530     534.375           1
10/ 7/2018 56: 2: 8         540         540         540         540               540         535           1
10/ 7/2018 56: 2:14         530         530         530         530               530       534.5           1
10/ 7/2018 56: 2:16         540         540         540         540               540         535           1
10/ 7/2018 56: 2:19         530         530         530         530               530     534.583           1
10/ 7/2018 56: 2:20         540         540         540         540               540         535           1
10/ 7/2018 56: 2:23         530         530         530         530               530     534.643           1
10/ 7/2018 56: 2:24         540         540         540         540               540         535           1
10/ 7/2018 57: 2: 5         530         530         530         530               530     534.688           1
10/ 7/2018 57: 2: 7         540         540         540         540               540         535           1
10/ 7/2018 57: 2:13         530         530         530         530               530     534.722           1
10/ 7/2018 57: 2:15         540         540         540         540               540         535           1
10/ 7/2018 57: 2:29         530         530         530         530               530      534.75           1
10/ 7/2018 57: 2:30         540         540         540         540               540         535           1
10/ 7/2018 57: 2:31         530         530         530         530               530     534.773           1
10/ 7/2018 57: 2:32         540         540         540         540               540         535           1
10/ 7/2018 57: 2:36         530         530         530         530               530     534.792           1
10/ 7/2018 57: 2:38         540         540         540         540               540         535           1
10/ 7/2018 58: 2: 3         530         540         530         540               535         535           2
10/ 7/2018 58: 2:10         530         530         530         530               530     534.815           1
10/ 7/2018 58: 2:11         540         540         540         540               540         535           1
10/ 7/2018 58: 2:20         530         530         530         530               530     534.828           1
10/ 7/2018 58: 2:25         540         540         540         540               540         535           1
10/ 7/2018 58: 2:30         530         530         530         530               530     534.839           1
10/ 7/2018 58: 2:42         540         540         540         540               540         535           1
10/ 7/2018 59: 2:19         530         530         530         530               530     534.848           1
10/ 7/2018 59: 2:20         540         540         540         540               540         535           1
10/ 7/2018 59: 2:25         530         530         530         530               530     534.857           1
10/ 7/2018 59: 2:26         540         540         540         540               540         535           1
10/ 7/2018 59: 2:50         530         530         530         530               530     534.865           1
10/ 7/2018 59: 2:51         540         540         540         540               540         535           1
11/ 7/2018  0: 2: 8         530         530         530         530               530     534.872           1
14/ 7/2018  0: 2:31         530         530         530         530               530      534.75           1
15/ 7/2018 23: 2:21         520         520         520         520               520      534.39           1
15/ 7/2018 23: 2:22         530         530         530         530               530     534.286           1
15/ 7/2018 23: 2:30         520         520         520         520               520     533.953           1
15/ 7/2018 23: 2:31         530         530         530         530               530     533.864           1
15/ 7/2018 23: 2:46         520         520         520         520               520     533.556           1
15/ 7/2018 23: 2:47         530         530         530         530               530     533.478           1
15/ 7/2018 23: 2:48         520         520         520         520               520     533.191           1
15/ 7/2018 23: 2:50         530         530         520         520               525     533.021           2
15/ 7/2018 23: 2:51         530         530         530         530               530     532.959           1
15/ 7/2018 49: 2:40         520         520         520         520               520       532.7           1
15/ 7/2018 49: 2:47         530         530         530         530               530     532.647           1
15/ 7/2018 50: 2:15         520         520         520         520               520     532.404           1
15/ 7/2018 50: 2:16         530         530         530         530               530     532.358           1
15/ 7/2018 50: 2:29         520         520         520         520               520      532.13           1
15/ 7/2018 52: 2:18         530         530         530         530               530     532.091           1
15/ 7/2018 52: 2:19         520         520         520         520               520     531.875           1
15/ 7/2018 52: 2:20         530         530         530         530               530     531.842           1
15/ 7/2018 52: 2:21         520         520         520         520               520     531.638           1
15/ 7/2018 52: 2:22         530         530         530         530               530      531.61           1
15/ 7/2018 52: 2:23         520         520         520         520               520     531.417           1
15/ 7/2018 52: 2:26         530         530         530         530               530     531.393           1
16/ 7/2018  7: 2:56         540         540         540         540               540     531.532           1
16/ 7/2018  7: 2:57         530         530         530         530               530     531.508           1
16/ 7/2018  7: 2:58         540         540         540         540               540     531.641           1
16/ 7/2018  7: 2:59         530         530         530         530               530     531.615           1
16/ 7/2018  9: 2:43         540         540         540         540               540     531.742           1
16/ 7/2018  9: 2:44         530         530         530         530               530     531.716           1
16/ 7/2018 10: 2:14         540         540         540         540               540     531.838           1
16/ 7/2018 10: 2:15         530         530         530         530               530     531.812           1
16/ 7/2018 10: 2:19         540         540         540         540               540     531.929           1
16/ 7/2018 16: 2:40         530         530         530         530               530     531.901           1
16/ 7/2018 16: 2:49         540         540         540         540               540     532.014           1
16/ 7/2018 17: 2: 2         530         530         530         530               530     531.986           1
16/ 7/2018 17: 2: 9         540         540         540         540               540     532.095           1
16/ 7/2018 17: 2:11         530         530         530         530               530     532.067           1
16/ 7/2018 17: 2:20         540         540         540         540               540     532.171           1
16/ 7/2018 17: 2:25         530         530         530         530               530     532.143           1
16/ 7/2018 17: 2:33         540         540         540         540               540     532.244           1
16/ 7/2018 17: 2:35         530         530         530         530               530     532.215           1
16/ 7/2018 17: 2:37         540         540         540         540               540     532.312           1
16/ 7/2018 17: 2:43         530         530         530         530               530     532.284           1
16/ 7/2018 17: 2:45         540         540         540         540               540     532.378           1
16/ 7/2018 17: 2:49         530         530         530         530               530     532.349           1
16/ 7/2018 17: 2:59         540         540         540         540               540      532.44           1
16/ 7/2018 18: 2: 0         530         530         530         530               530     532.412           1
16/ 7/2018 18: 2:28         540         540         540         540               540       532.5           1
16/ 7/2018 18: 2:39         530         530         530         530               530     532.471           1
16/ 7/2018 18: 2:58         540         540         540         540               540     532.557           1
16/ 7/2018 19: 2: 9         530         530         530         530               530     532.528           1
16/ 7/2018 19: 2:10         540         540         540         540               540     532.611           1
16/ 7/2018 19: 2:13         530         530         530         530               530     532.582           1
16/ 7/2018 19: 2:27         540         540         540         540               540     532.663           1
16/ 7/2018 19: 2:34         530         530         530         530               530     532.634           1
16/ 7/2018 19: 2:46         540         540         540         540               540     532.713           1
16/ 7/2018 19: 2:51         530         530         530         530               530     532.684           1
16/ 7/2018 20: 2: 0         540         540         540         540               540      532.76           1
16/ 7/2018 20: 2: 2         530         530         530         530               530     532.732           1
16/ 7/2018 27: 2:24         540         540         540         540               540     532.806           1
16/ 7/2018 27: 2:25         530         530         530         530               530     532.778           1
16/ 7/2018 27: 2:58         540         540         540         540               540      532.85           1
16/ 7/2018 27: 2:59         530         530         530         530               530     532.822           1
16/ 7/2018 28: 2: 2         540         540         540         540               540     532.892           1
16/ 7/2018 28: 2: 3         530         530         530         530               530     532.864           1
16/ 7/2018 28: 2:13         540         540         540         540               540     532.933           1
16/ 7/2018 28: 2:14         530         530         530         530               530     532.905           1
16/ 7/2018 28: 2:15         540         540         540         540               540     532.972           1
16/ 7/2018 28: 2:16         530         530         530         530               530     532.944           1
16/ 7/2018 29: 2: 1         540         540         540         540               540     533.009           1
16/ 7/2018 29: 2: 2         530         530         530         530               530     532.982           1
16/ 7/2018 29: 2: 4         540         540         540         540               540     533.045           1
16/ 7/2018 29: 2: 5         530         530         530         530               530     533.018           1
16/ 7/2018 29: 2: 7         540         540         540         540               540      533.08           1
16/ 7/2018 29: 2: 8         530         530         530         530               530     533.053           1
16/ 7/2018 29: 2:44         540         540         540         540               540     533.114           1
16/ 7/2018 32: 2:49         530         530         530         530               530     533.087           1
16/ 7/2018 32: 2:50         540         540         540         540               540     533.147           1
16/ 7/2018 32: 2:53         530         530         530         530               530      533.12           1
16/ 7/2018 32: 2:58         540         540         540         540               540     533.178           1
16/ 7/2018 33: 2:10         530         530         530         530               530     533.151           1
16/ 7/2018 33: 2:12         540         540         540         540               540     533.208           1
16/ 7/2018 33: 2:25         530         530         530         530               530     533.182           1
16/ 7/2018 33: 2:27         540         540         540         540               540     533.238           1
