         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0:30         110         110         110         110              110              110
 2/ 7/2018 10: 1:15         120         120         120         120              120              115
 2/ 7/2018 10: 1:35         110         110         110         110              110          113.333
 2/ 7/2018 10: 3: 1         120         130         120         130              125           116.25
 2/ 7/2018 10: 3:13         110         110         110         110              110              115
 2/ 7/2018 10: 3:14         120         120         120         120              120          115.833
 2/ 7/2018 10: 3:31         110         110         110         110              110              115
 2/ 7/2018 10: 3:56         130         130         130         130              130          116.875
 2/ 7/2018 10: 4: 5         120         120         120         120              120          117.222
 2/ 7/2018 10: 4: 9         130         130         130         130              130            118.5
 2/ 7/2018 10: 4:10         110         110         110         110              110          117.727
 2/ 7/2018 10: 5: 6         120         120         120         120              120          117.917
 2/ 7/2018 10: 5:11         110         110         110         110              110          117.308
 2/ 7/2018 10: 5:28         120         120         120         120              120            117.5
 2/ 7/2018 10: 5:29         110         110         110         110              110              117
 2/ 7/2018 10: 6: 6         120         120         120         120              120          117.188
 2/ 7/2018 10: 6:49         110         110         110         110              110          116.765
 2/ 7/2018 10: 6:52         120         120         120         120              120          116.944
 2/ 7/2018 10: 7: 5         110         110         110         110              110          116.579
 2/ 7/2018 10:12:40         120         120         120         120              120           116.75
 2/ 7/2018 10:12:49         110         110         110         110              110          116.429
 2/ 7/2018 10:15:45         120         120         120         120              120          116.591
 2/ 7/2018 10:16:28         110         110         110         110              110          116.304
 2/ 7/2018 10:17:31         120         120         120         120              120          116.458
 2/ 7/2018 10:18:54         110         110         110         110              110            116.2
 2/ 7/2018 10:23:53         120         120         120         120              120          116.346
 2/ 7/2018 10:24: 4         110         110         110         110              110          116.111
 2/ 7/2018 10:32:34         120         120         120         120              120           116.25
 2/ 7/2018 10:32:42         110         110         110         110              110          116.034
 2/ 7/2018 10:32:56         120         120         120         120              120          116.167
 2/ 7/2018 10:32:57         110         110         110         110              110          115.968
 2/ 7/2018 10:34:48         120         120         120         120              120          116.094
 2/ 7/2018 10:34:49         110         110         110         110              110          115.909
 2/ 7/2018 10:51:22         130         130         130         130              130          116.324
 2/ 7/2018 10:51:32         110         110         110         110              110          116.143
 2/ 7/2018 10:53:19         130         130         120         120              125          116.389
 2/ 7/2018 11: 4:13         130         130         130         130              130          116.757
 2/ 7/2018 11: 4:29         110         110         110         110              110          116.579
 2/ 7/2018 11: 5:32         120         120         120         120              120          116.667
 2/ 7/2018 11: 5:45         110         110         110         110              110            116.5
 2/ 7/2018 11:12:58         120         120         110         110              115          116.463
 2/ 7/2018 11:15:35         120         120         120         120              120          116.548
 2/ 7/2018 11:15:56         110         110         110         110              110          116.395
 2/ 7/2018 11:24:24         120         120         120         120              120          116.477
 2/ 7/2018 11:24:35         110         110         110         110              110          116.333
 2/ 7/2018 11:27:57         120         120         120         120              120          116.413
 2/ 7/2018 11:28: 3         110         110         110         110              110          116.277
 2/ 7/2018 12: 9:47         120         120         120         120              120          116.354
 2/ 7/2018 12: 9:56         110         110         110         110              110          116.224
 2/ 7/2018 12:14: 8         120         120         120         120              120            116.3
 2/ 7/2018 12:14:17         110         110         110         110              110          116.176
 2/ 7/2018 12:14:22         120         120         120         120              120           116.25
 2/ 7/2018 12:14:36         110         110         110         110              110          116.132
 2/ 7/2018 12:14:38         120         120         110         110              115          116.111
 2/ 7/2018 12:15:10         120         120         120         120              120          116.182
 2/ 7/2018 12:15:17         110         110         110         110              110          116.071
 2/ 7/2018 12:37:41         120         120         120         120              120           116.14
 2/ 7/2018 12:37:42         110         110         110         110              110          116.034
 2/ 7/2018 14: 0:20         110         110         110         110              110          115.932
 2/ 7/2018 14:42: 0         120         120         120         120              120              116
 2/ 7/2018 14:42: 2         110         110         110         110              110          115.902
 2/ 7/2018 14:44:52         120         120         120         120              120          115.968
 2/ 7/2018 14:45: 2         110         110         110         110              110          115.873
 2/ 7/2018 14:45:22         120         120         120         120              120          115.938
 2/ 7/2018 14:45:58         110         110         110         110              110          115.846
 2/ 7/2018 14:48: 1         120         120         120         120              120          115.909
 2/ 7/2018 14:48:48         110         110         110         110              110          115.821
 2/ 7/2018 15: 4:46         120         120         120         120              120          115.882
 2/ 7/2018 15: 8:31         110         110         110         110              110          115.797
 2/ 7/2018 15:50:47         130         130         130         130              130              116
 2/ 7/2018 15:51:27         120         120         120         120              120          116.056
 2/ 7/2018 16: 6:52         130         130         130         130              130           116.25
 2/ 7/2018 16: 6:59         120         120         120         120              120          116.301
 2/ 7/2018 16: 8:32         130         130         130         130              130          116.486
 2/ 7/2018 16: 8:50         120         120         120         120              120          116.533
 2/ 7/2018 16:12:49         130         130         130         130              130          116.711
 2/ 7/2018 16:12:50         120         120         120         120              120          116.753
 2/ 7/2018 16:13: 2         130         130         130         130              130          116.923
 2/ 7/2018 16:13:17         120         120         120         120              120          116.962
 2/ 7/2018 16:13:24         130         130         130         130              130          117.125
 2/ 7/2018 16:13:25         120         120         120         120              120           117.16
 2/ 7/2018 16:19:39         130         130         130         130              130          117.317
 2/ 7/2018 16:19:40         120         120         120         120              120          117.349
 2/ 7/2018 16:35: 7         130         130         130         130              130            117.5
 2/ 7/2018 16:35:18         120         120         120         120              120          117.529
 2/ 7/2018 16:46:51         130         130         130         130              130          117.674
 2/ 7/2018 16:48: 2         120         120         120         120              120          117.701
 2/ 7/2018 16:58:53         130         130         130         130              130          117.841
 2/ 7/2018 17: 0: 4         120         120         120         120              120          117.865
 2/ 7/2018 17:44: 4         130         130         130         130              130              118
 2/ 7/2018 17:46: 4         120         120         120         120              120          118.022
