         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 0          60          60          60          60               60               60
 2/ 7/2018 10: 0: 1         120         120         120         120              120               90
 2/ 7/2018 10: 0: 3          60          60          60          60               60               80
 2/ 7/2018 10: 1:28          70          70          70          70               70             77.5
 2/ 7/2018 10: 1:57          60          60          60          60               60               74
 2/ 7/2018 10: 9:30          50          50          50          50               50               70
 2/ 7/2018 10: 9:32          60          60          60          60               60          68.5714
 2/ 7/2018 10: 9:35          60          60          60          60               60             67.5
 2/ 7/2018 10:11:21          50          50          50          50               50          65.5556
 2/ 7/2018 10:12:15          50          50          50          50               50               64
 2/ 7/2018 10:13: 3          60          60          60          60               60          63.6364
 2/ 7/2018 10:14:29          60          60          60          60               60          63.3333
 2/ 7/2018 10:19:33          70          70          70          70               70          63.8462
 2/ 7/2018 10:24: 5          10          10          10          10               10               60
 2/ 7/2018 10:28:14          60          60          60          60               60               60
 2/ 7/2018 10:35: 2          60          60          60          60               60               60
 2/ 7/2018 10:35:32          80          80          80          80               80          61.1765
 2/ 7/2018 10:36:37          40          40          40          40               40               60
 2/ 7/2018 10:40:12          50          50          50          50               50          59.4737
 2/ 7/2018 10:49:13          50          50          50          50               50               59
 2/ 7/2018 10:49:29          70          70          70          70               70          59.5238
 2/ 7/2018 10:49:50          50          50          50          50               50          59.0909
 2/ 7/2018 10:50:38          50          50          50          50               50          58.6957
 2/ 7/2018 10:50:43          60          60          60          60               60            58.75
 2/ 7/2018 10:50:54          60          60          60          60               60             58.8
 2/ 7/2018 10:51:45          60          60          60          60               60          58.8462
 2/ 7/2018 10:53: 2          60          60          60          60               60          58.8889
 2/ 7/2018 10:53: 4          60          60          60          60               60          58.9286
 2/ 7/2018 10:54:12          70          70          70          70               70          59.3103
 2/ 7/2018 10:54:23          70          70          70          70               70          59.6667
 2/ 7/2018 10:54:37          60          60          60          60               60          59.6774
 2/ 7/2018 10:54:46          70          70          70          70               70               60
 2/ 7/2018 10:55: 1          60          60          60          60               60               60
 2/ 7/2018 10:55: 5          60          60          60          60               60               60
 2/ 7/2018 10:55:44          50          50          50          50               50          59.7143
 2/ 7/2018 10:56:19          70          70          70          70               70               60
 2/ 7/2018 11:11:24          80          80          80          80               80          60.5405
 2/ 7/2018 11:13: 1          70          70          70          70               70          60.7895
 2/ 7/2018 11:13:25          50          50          50          50               50          60.5128
 2/ 7/2018 12: 9:55          60          60          60          60               60             60.5
 2/ 7/2018 14: 0: 0          70          70          70          70               70          60.7317
 2/ 7/2018 14:31:24         100         100         100         100              100          61.6667
 2/ 7/2018 14:57:36          60          60          60          60               60          61.6279
 2/ 7/2018 15:46:37          60          60          60          60               60          61.5909
 2/ 7/2018 16:20:10          60          60          60          60               60          61.5556
 2/ 7/2018 16:28:21          70          70          70          70               70          61.7391
 2/ 7/2018 16:29:31          60          60          60          60               60          61.7021
 2/ 7/2018 16:34:28          70          70          70          70               70           61.875
 2/ 7/2018 16:42:43          60          60          60          60               60          61.8367
 2/ 7/2018 16:43: 9          70          70          70          70               70               62
 2/ 7/2018 16:43:25          60          60          60          60               60          61.9608
 2/ 7/2018 16:48:15          70          70          70          70               70          62.1154
 2/ 7/2018 16:49:49          60          60          60          60               60          62.0755
 2/ 7/2018 16:52:24          50          50          50          50               50          61.8519
 2/ 7/2018 16:52:28          70          70          70          70               70               62
 2/ 7/2018 16:53:13          60          60          60          60               60          61.9643
 2/ 7/2018 16:54:41          80          80          80          80               80          62.2807
 2/ 7/2018 16:54:58          70          70          70          70               70          62.4138
 2/ 7/2018 16:55:18          60          60          60          60               60          62.3729
 2/ 7/2018 16:57:53          70          70          70          70               70             62.5
 2/ 7/2018 16:58: 3          60          60          60          60               60           62.459
 2/ 7/2018 16:58:45          70          70          70          70               70          62.5806
 2/ 7/2018 16:59:16          60          60          60          60               60          62.5397
 2/ 7/2018 17:10: 4          60          60          60          60               60             62.5
 2/ 7/2018 17:14:35          60          60          60          60               60          62.4615
 2/ 7/2018 17:15:32          70          70          70          70               70          62.5758
 2/ 7/2018 17:16: 5          70          70          70          70               70          62.6866
 2/ 7/2018 17:16:53          80          80          80          80               80          62.9412
 2/ 7/2018 17:20:54         100         100         100         100              100          63.4783
 2/ 7/2018 17:33:55          50          50          50          50               50          63.2857
 2/ 7/2018 17:35: 1          70          70          70          70               70          63.3803
 2/ 7/2018 17:38:30          70          70          70          70               70          63.4722
 2/ 7/2018 17:43:12          80          80          80          80               80          63.6986
 2/ 7/2018 17:43:24          70          70          70          70               70          63.7838
 2/ 7/2018 17:43:57          80          80          80          80               80               64
 2/ 7/2018 17:44:32          60          60          60          60               60          63.9474
 2/ 7/2018 17:45:14          80          80          80          80               80          64.1558
 2/ 7/2018 17:45:26          70          70          70          70               70          64.2308
 2/ 7/2018 17:52:16          60          60          60          60               60          64.1772
 2/ 7/2018 17:53:53          70          70          70          70               70            64.25
 2/ 7/2018 17:58:36          50          50          50          50               50          64.0741
