         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018  9:55: 1        6960        6960        4710        5880           6127.5           6127.5
 2/ 7/2018 10: 0: 0        5900        6000        5310        5920           5782.5             5955
 2/ 7/2018 10: 0: 1        5850        5860        5850        5860             5855          5921.67
 2/ 7/2018 10: 0: 3        6050        6050        5760        5760             5905           5917.5
 2/ 7/2018 10: 0: 4        5870        5870        5860        5860             5865             5907
 2/ 7/2018 10: 0: 5        5900        5900        5900        5900             5900          5905.83
 2/ 7/2018 10: 0: 8        5980        6000        5980        6000             5990          5917.86
 2/ 7/2018 10: 0: 9        5880        5880        5880        5880             5880          5913.12
 2/ 7/2018 10: 0:23        5800        5800        5800        5800             5800          5900.56
 2/ 7/2018 10: 0:32        5850        5850        5850        5850             5850           5895.5
 2/ 7/2018 10: 0:39        5840        5840        5840        5840             5840          5890.45
 2/ 7/2018 10: 0:41        5800        5800        5800        5800             5800          5882.92
 2/ 7/2018 10: 0:43        5790        6260        5790        6260             6025          5893.85
 2/ 7/2018 10: 0:53        5840        5840        5840        5840             5840             5890
 2/ 7/2018 10: 0:58        5840        5840        5840        5840             5840          5886.67
 2/ 7/2018 10: 1: 9        5900        5900        5900        5900             5900           5887.5
 2/ 7/2018 10: 1:11        5960        5960        5960        5960             5960          5891.76
 2/ 7/2018 10: 1:14        5800        5800        5800        5800             5800          5886.67
 2/ 7/2018 10: 1:18        5820        5820        5820        5820             5820          5883.16
 2/ 7/2018 10: 1:28        5800        5800        5800        5800             5800             5879
 2/ 7/2018 10: 1:34        5180        5180        5180        5180             5180          5845.71
 2/ 7/2018 10: 1:39        6050        6050        6050        6050             6050             5855
 2/ 7/2018 10: 1:45        5730        5730        5730        5730             5730          5849.57
 2/ 7/2018 10: 1:50        5820        5820        5820        5820             5820          5848.33
 2/ 7/2018 10: 1:51        5800        5800        5800        5800             5800           5846.4
 2/ 7/2018 10: 2: 6        5810        5810        5810        5810             5810             5845
 2/ 7/2018 10: 2:18        5880        5880        5880        5880             5880           5846.3
 2/ 7/2018 10: 2:43        6380        6380        5850        5850             6115          5855.89
 2/ 7/2018 10: 2:46        5800        5800        5800        5800             5800          5853.97
 2/ 7/2018 10: 2:47        5840        5840        5840        5840             5840           5853.5
 2/ 7/2018 10: 2:54        5800        5800        5800        5800             5800          5851.77
 2/ 7/2018 10: 3:35        5840        5840        5840        5840             5840          5851.41
 2/ 7/2018 10: 3:58        5830        5830        5830        5830             5830          5850.76
 2/ 7/2018 10: 4: 1        6370        6370        6370        6370             6370          5866.03
 2/ 7/2018 10: 4:39        5830        5830        5830        5830             5830             5865
 2/ 7/2018 10: 4:47        5800        5800        5800        5800             5800          5863.19
 2/ 7/2018 10: 5: 2        5830        5830        5830        5830             5830           5862.3
 2/ 7/2018 10: 5: 9        5870        5870        5870        5870             5870           5862.5
 2/ 7/2018 10: 5:31        5820        5820        5820        5820             5820          5861.41
 2/ 7/2018 10: 5:33        5780        5780        5780        5780             5780          5859.38
 2/ 7/2018 10: 5:39        5820        5820        5820        5820             5820          5858.41
 2/ 7/2018 10: 5:55        5820        5820        5820        5820             5820           5857.5
 2/ 7/2018 10: 6:13        5810        5810        5810        5810             5810           5856.4
 2/ 7/2018 10: 6:26        6300        6340        5810        5810             6065          5861.14
 2/ 7/2018 10: 6:27        6350        6430        6350        6430             6390          5872.89
 2/ 7/2018 10: 6:28        6440        6500        6440        6500             6470          5885.87
 2/ 7/2018 10: 6:29        6510        6580        6510        6580             6545          5899.89
 2/ 7/2018 10: 6:30        6590        6670        6590        6670             6630           5915.1
 2/ 7/2018 10: 6:31        6680        6760        6680        6760             6720          5931.53
 2/ 7/2018 10: 6:32        6770        6830        6770        6830             6800           5948.9
 2/ 7/2018 10: 6:33        6840        6860        6220        6260             6545          5960.59
 2/ 7/2018 10: 6:34        6270        6290        6270        6290             6280          5966.73
