         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018  9:55: 1       12100       12930       12100       11800          12232.5          12232.5
 2/ 7/2018 10: 0: 0       11290       11290       11290       11290            11290          11761.2
 2/ 7/2018 10: 0: 3       10200       11240       10200       11240            10720          11414.2
 2/ 7/2018 10: 0: 4       11290       11290       11290       11290            11290          11383.1
 2/ 7/2018 10: 0:20       11190       11190       11190       11190            11190          11344.5
 2/ 7/2018 10: 0:28       11340       11340       11340       11340            11340          11343.8
 2/ 7/2018 10: 0:30       11150       11150       11150       11150            11150          11316.1
 2/ 7/2018 10: 0:35       11090       11090       11090       11090            11090          11287.8
 2/ 7/2018 10: 0:47       10830       10830       10830       10830            10830          11236.9
 2/ 7/2018 10: 0:55       11190       11190       11190       11190            11190          11232.2
 2/ 7/2018 10: 0:57       11390       11390       11390       11390            11390          11246.6
 2/ 7/2018 10: 0:59       10770       10770       10770       10770            10770          11206.9
 2/ 7/2018 10: 1: 0       11280       11280       11280       11280            11280          11212.5
 2/ 7/2018 10: 1:13       11180       11180       11180       11180            11180          11210.2
 2/ 7/2018 10: 2:30       10710       10710       10710       10710            10710          11176.8
 2/ 7/2018 10: 2:58       11250       11250       11250       11250            11250          11181.4
 2/ 7/2018 10: 3:23       10660       10660       10660       10660            10660          11150.7
 2/ 7/2018 10: 5:17       11120       11120       11120       11120            11120            11149
 2/ 7/2018 10: 5:33       11100       11100       11100       11100            11100          11146.4
 2/ 7/2018 10: 5:47       11130       11130       11130       11130            11130          11145.6
 2/ 7/2018 10: 6: 3       11140       11140       11140       11140            11140          11145.4
 2/ 7/2018 10: 6:27       11140       11140       11140       11140            11140          11145.1
 2/ 7/2018 10: 7:15       11090       11090       11090       11090            11090          11142.7
 2/ 7/2018 10: 7:26       11080       11080       11080       11080            11080          11140.1
 2/ 7/2018 10: 7:45       11050       11050       11050       11050            11050          11136.5
 2/ 7/2018 10: 7:53       10910       10910       10910       10910            10910          11127.8
 2/ 7/2018 10: 8:22       10830       10830       10830       10830            10830          11116.8
 2/ 7/2018 10: 8:29       10900       10900       10900       10900            10900            11109
 2/ 7/2018 10: 8:50       10780       10780       10780       10780            10780          11097.7
 2/ 7/2018 10: 9:18       10730       10730       10730       10730            10730          11085.4
 2/ 7/2018 10: 9:22       10770       10770       10770       10770            10770          11075.2
 2/ 7/2018 10:10:42       10590       10590       10590       10590            10590          11060.1
 2/ 7/2018 10:10:45       10580       10580       10580       10580            10580          11045.5
 2/ 7/2018 10:10:47       10570       10570       10570       10570            10570          11031.5
 2/ 7/2018 10:10:50       10560       10560       10560       10560            10560          11018.1
 2/ 7/2018 10:10:53       10550       10690       10550       10690            10620            11007
 2/ 7/2018 10:11:26       11110       11110       11110       11110            11110          11009.8
 2/ 7/2018 10:12:16       10740       10740       10740       10740            10740          11002.7
 2/ 7/2018 10:12:28       10740       10740       10740       10740            10740            10996
 2/ 7/2018 10:13: 0       11400       11400       11400       11400            11400          11006.1
 2/ 7/2018 10:13:44       10690       10690       10690       10690            10690          10998.4
 2/ 7/2018 10:14: 6       10570       10570       10540       10540            10555          10987.8
 2/ 7/2018 10:14:25       10210       10210       10210       10210            10210          10969.7
 2/ 7/2018 10:14:31       10550       10550       10550       10550            10550          10960.2
 2/ 7/2018 10:14:37        8630        8630        8630        8630             8630          10908.4
 2/ 7/2018 10:14:41       10390       10390       10390       10390            10390          10897.1
 2/ 7/2018 10:14:48       11200       11200       11200       11200            11200          10903.6
 2/ 7/2018 10:14:56       10540       10540       10540       10540            10540            10896
 2/ 7/2018 10:14:59       10530       10530       10530       10530            10530          10888.5
 2/ 7/2018 10:15: 2       10520       10520       10520       10520            10520          10881.1
 2/ 7/2018 10:15: 6       10510       10510       10510       10510            10510          10873.9
 2/ 7/2018 10:15: 7        9140        9140        9140        9140             9140          10840.5
 2/ 7/2018 10:15: 9       10500       10500       10500       10500            10500          10834.1
 2/ 7/2018 10:15:14       10490       10490       10490       10490            10490          10827.7
 2/ 7/2018 10:15:16       10570       10570       10570       10570            10570            10823
 2/ 7/2018 10:15:17       10480       10480       10480       10480            10480          10816.9
 2/ 7/2018 10:15:20       10470       10470       10470       10470            10470          10810.8
 2/ 7/2018 10:15:25       10460       10460       10460       10460            10460          10804.8
 2/ 7/2018 10:15:28       10450       10450       10450       10450            10450          10798.8
 2/ 7/2018 10:15:38       10270       10270       10270       10270            10270            10790
 2/ 7/2018 10:15:43       11000       11000       11000       11000            11000          10793.4
 2/ 7/2018 10:15:46       10990       10990       10990       10990            10990          10796.6
 2/ 7/2018 10:15:49       10980       10980       10980       10980            10980          10799.5
 2/ 7/2018 10:15:52       10970       10970       10970       10970            10970          10802.1
 2/ 7/2018 10:15:55       10960       10960       10960       10960            10960          10804.6
 2/ 7/2018 10:16: 0       10950       10950       10950       10950            10950          10806.8
 2/ 7/2018 10:16: 3       10940       10940       10940       10940            10940          10808.8
 2/ 7/2018 10:16: 6       10930       10930       10930       10930            10930          10810.6
 2/ 7/2018 10:16: 9       10920       10920       10920       10920            10920          10812.1
 2/ 7/2018 10:16:12       10910       10910       10910       10910            10910          10813.5
 2/ 7/2018 10:16:16       10900       10900       10900       10900            10900          10814.8
 2/ 7/2018 10:16:38       10890       10890       10890       10890            10890          10815.8
 2/ 7/2018 10:16:39        9600        9600        9600        9600             9600          10799.1
 2/ 7/2018 10:16:40       10570       10570       10570       10570            10570            10796
 2/ 7/2018 10:16:41       10880       10880       10880       10880            10880          10797.2
 2/ 7/2018 10:16:44       10870       10870       10870       10870            10870          10798.1
 2/ 7/2018 10:16:48       10860       10860       10860       10860            10860          10798.9
 2/ 7/2018 10:16:52       10850       10850       10850       10850            10850          10799.6
 2/ 7/2018 10:16:55       10840       10840       10840       10840            10840          10800.1
 2/ 7/2018 10:17:25       11430       11430       11430       11430            11430            10808
 2/ 7/2018 10:17:58       10900       10900       10900       10900            10900          10809.1
 2/ 7/2018 10:18: 4       10900       10900       10900       10900            10900          10810.2
 2/ 7/2018 10:18:10       10900       10900       10900       10900            10900          10811.3
 2/ 7/2018 10:18:17       10900       10900       10900       10900            10900          10812.4
 2/ 7/2018 10:18:40       10570       10570       10570       10570            10570          10809.5
 2/ 7/2018 10:19: 9       10900       10900       10900       10900            10900          10810.6
 2/ 7/2018 10:19:17       10900       10900       10900       10900            10900          10811.6
 2/ 7/2018 10:19:18       12930       12930       12930       12930            12930          10835.7
 2/ 7/2018 10:19:24       10900       10900       10900       10900            10900          10836.4
 2/ 7/2018 10:19:29       10900       10900       10900       10900            10900          10837.1
 2/ 7/2018 10:20:22       10560       10560       10560       10560            10560            10834
 2/ 7/2018 10:21:49       10740       10740       10740       10740            10740            10833
 2/ 7/2018 10:22:14       10730       10730       10730       10730            10730          10831.9
 2/ 7/2018 10:22:44       10700       10700       10700       10700            10700          10830.5
 2/ 7/2018 10:23: 2       10700       10700       10700       10700            10700          10829.1
 2/ 7/2018 10:23:18       10550       10550       10550       10550            10550          10826.2
 2/ 7/2018 10:25:24       11180       11180       11180       11180            11180          10829.9
 2/ 7/2018 10:26: 8       11150       11150       11150       11150            11150          10833.1
 2/ 7/2018 10:27: 4       10720       10720       10720       10720            10720            10832
 2/ 7/2018 10:27:38       10680       10680       10680       10680            10680          10830.5
 2/ 7/2018 10:28:17       10580       10700       10580       10700            10640          10828.6
 2/ 7/2018 10:28:38       10700       10700       10700       10700            10700          10827.3
 2/ 7/2018 10:29:10       10660       10660       10660       10660            10660          10825.7
