         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2: 3          80          80          80          80                80          80           1
10/ 7/2018 28: 2:14          80          80          80          80                80          80           1
12/ 7/2018 26: 2:10          70          70          70          70                70     76.6667           1
12/ 7/2018 27: 2:13          80          80          80          80                80        77.5           1
12/ 7/2018 30: 2: 7          70          70          70          70                70          76           1
12/ 7/2018 31: 2: 8          80          80          80          80                80     76.6667           1
12/ 7/2018 31: 2:30          70          70          70          70                70     75.7143           1
12/ 7/2018 31: 2:35          80          80          80          80                80       76.25           1
12/ 7/2018 31: 2:51          70          70          70          70                70     75.5556           1
12/ 7/2018 31: 2:52          80          80          80          80                80          76           1
12/ 7/2018 31: 2:56          70          70          70          70                70     75.4545           1
12/ 7/2018 31: 2:58          80          80          80          80                80     75.8333           1
12/ 7/2018 31: 2:59          70          70          70          70                70     75.3846           1
12/ 7/2018 32: 2: 5          80          80          80          80                80     75.7143           1
12/ 7/2018 32: 2: 6          70          70          70          70                70     75.3333           1
12/ 7/2018 32: 2: 7          70          70          70          70                70          75           1
12/ 7/2018 33: 2:47          80          80          80          80                80     75.2941           1
12/ 7/2018 37: 2:28          70          70          70          70                70          75           1
12/ 7/2018 37: 2:34          80          80          80          80                80     75.2632           1
12/ 7/2018 37: 2:50          70          70          70          70                70          75           1
12/ 7/2018 37: 2:52          80          80          80          80                80     75.2381           1
12/ 7/2018 38: 2:11          70          70          70          70                70          75           1
12/ 7/2018 38: 2:12          80          80          80          80                80     75.2174           1
12/ 7/2018 41: 2:27          70          70          70          70                70          75           1
12/ 7/2018 41: 2:35          80          80          80          80                80        75.2           1
14/ 7/2018  0: 2: 0          80          80          80          80                80     75.3846           1
14/ 7/2018 38: 2:10          70          70          70          70                70     75.1852           1
14/ 7/2018 47: 2: 3          80          80          80          80                80     75.3571           1
15/ 7/2018 23: 2:34          70          70          70          70                70     75.1724           1
15/ 7/2018 23: 2:37          80          80          80          80                80     75.3333           1
15/ 7/2018 23: 2:39          70          70          70          70                70     75.1613           1
15/ 7/2018 25: 2: 7          80          80          80          80                80     75.3125           1
15/ 7/2018 25: 2:11          70          70          70          70                70     75.1515           1
15/ 7/2018 25: 2:16          80          80          80          80                80     75.2941           1
15/ 7/2018 25: 2:30          70          70          70          70                70     75.1429           1
15/ 7/2018 26: 2: 9          80          80          80          80                80     75.2778           1
15/ 7/2018 28: 2:30          70          70          70          70                70     75.1351           1
15/ 7/2018 28: 2:31          70          70          70          70                70          75           1
15/ 7/2018 29: 2:56          80          80          80          80                80     75.1282           1
15/ 7/2018 30: 2: 9          70          70          70          70                70          75           1
15/ 7/2018 46: 2:35          80          80          80          80                80      75.122           1
15/ 7/2018 47: 2:21          70          70          70          70                70          75           1
15/ 7/2018 49: 2: 2          80          80          80          80                80     75.1163           1
16/ 7/2018 54: 2:32          70          70          70          70                70          75           1
16/ 7/2018 58: 2:53          80          80          80          80                80     75.1111           1
16/ 7/2018 59: 2:49          70          70          70          70                70          75           1
