         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2:34         380         380         380         380               380         380           1
10/ 7/2018 10: 2: 5         390         390         390         390               390         385           1
10/ 7/2018 10: 2: 6         380         380         380         380               380     383.333           1
10/ 7/2018 10: 2:19         390         390         390         390               390         385           1
10/ 7/2018 10: 2:25         380         380         380         380               380         384           1
10/ 7/2018 16: 2:13         370         370         370         370               370     381.667           1
10/ 7/2018 18: 2: 0         380         380         370         370               375     380.714           2
10/ 7/2018 18: 2: 1         380         380         380         380               380     380.625           1
10/ 7/2018 18: 2: 2         370         370         370         370               370     379.444           1
10/ 7/2018 18: 2: 6         380         380         380         380               380       379.5           1
10/ 7/2018 18: 2: 7         370         370         370         370               370     378.636           1
10/ 7/2018 23: 2:47         380         380         380         380               380      378.75           1
10/ 7/2018 23: 2:48         370         370         370         370               370     378.077           1
10/ 7/2018 24: 2: 0         380         380         380         380               380     378.214           1
10/ 7/2018 24: 2: 6         370         370         370         370               370     377.667           1
10/ 7/2018 24: 2:56         380         380         380         380               380     377.812           1
10/ 7/2018 24: 2:59         370         370         370         370               370     377.353           1
10/ 7/2018 25: 2:50         380         380         380         380               380       377.5           1
10/ 7/2018 27: 2:48         390         390         390         390               390     378.158           1
10/ 7/2018 27: 2:51         380         380         380         380               380      378.25           1
10/ 7/2018 32: 2: 5         390         390         390         390               390      378.81           1
10/ 7/2018 32: 2:22         380         380         380         380               380     378.864           1
10/ 7/2018 33: 2:55         390         390         390         390               390     379.348           1
10/ 7/2018 33: 2:56         380         380         380         380               380     379.375           1
10/ 7/2018 36: 2:58         490         490         490         490               490       383.8           1
10/ 7/2018 42: 2:30         390         390         390         390               390     384.038           1
10/ 7/2018 42: 2:35         380         380         380         380               380     383.889           1
10/ 7/2018 45: 2: 4         370         370         370         370               370     383.393           1
10/ 7/2018 45: 2:29         380         380         380         380               380     383.276           1
10/ 7/2018 45: 2:32         370         370         370         370               370     382.833           1
10/ 7/2018 46: 2:38         390         390         390         390               390     383.065           1
10/ 7/2018 46: 2:43         380         380         380         380               380     382.969           1
10/ 7/2018 47: 2:56         370         370         370         370               370     382.576           1
10/ 7/2018 49: 2:15         380         380         380         380               380       382.5           1
10/ 7/2018 49: 2:37         370         370         370         370               370     382.143           1
10/ 7/2018 50: 2:19         390         390         390         390               390     382.361           1
10/ 7/2018 50: 2:20         380         380         380         380               380     382.297           1
10/ 7/2018 58: 2:52         390         390         380         380               385     382.368           2
11/ 7/2018  4: 2:43         390         390         390         390               390     382.564           1
11/ 7/2018  5: 2:18         380         380         380         380               380       382.5           1
11/ 7/2018  6: 2: 6         390         390         390         390               390     382.683           1
11/ 7/2018  7: 2:48         380         380         380         380               380     382.619           1
11/ 7/2018  8: 2: 5         390         390         390         390               390     382.791           1
11/ 7/2018 12: 2:19         400         400         400         400               400     383.182           1
11/ 7/2018 14: 2: 9         410         410         410         410               410     383.778           1
11/ 7/2018 14: 2:10         400         400         400         400               400      384.13           1
11/ 7/2018 18: 2:22         410         410         410         410               410     384.681           1
11/ 7/2018 18: 2:23         400         400         400         400               400         385           1
11/ 7/2018 18: 2:39         410         410         410         410               410      385.51           1
11/ 7/2018 18: 2:40         400         400         400         400               400       385.8           1
11/ 7/2018 18: 2:44         410         410         410         410               410     386.275           1
11/ 7/2018 18: 2:49         400         400         400         400               400     386.538           1
11/ 7/2018 19: 2:11         410         410         410         410               410     386.981           1
11/ 7/2018 19: 2:12         400         400         400         400               400     387.222           1
11/ 7/2018 19: 2:42         410         410         410         410               410     387.636           1
11/ 7/2018 19: 2:43         400         400         400         400               400     387.857           1
11/ 7/2018 21: 2:32         410         410         410         410               410     388.246           1
11/ 7/2018 21: 2:33         400         400         400         400               400     388.448           1
11/ 7/2018 21: 2:37         410         410         410         410               410     388.814           1
11/ 7/2018 21: 2:39         400         400         400         400               400         389           1
11/ 7/2018 23: 2:46         410         410         410         410               410     389.344           1
11/ 7/2018 23: 2:48         400         400         400         400               400     389.516           1
11/ 7/2018 24: 2:17         410         410         410         410               410     389.841           1
11/ 7/2018 24: 2:18         400         400         400         400               400         390           1
