         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018  9:55: 1         690         810         690         810              750              750
 2/ 7/2018 10: 0: 0         660         660         660         660              660              705
 2/ 7/2018 10: 0: 1         690         690         690         690              690              700
 2/ 7/2018 10: 0: 2         690         690         690         690              690            697.5
 2/ 7/2018 10: 0:16         690         690         690         690              690              696
 2/ 7/2018 10: 0:19         810         810         810         810              810              715
 2/ 7/2018 10: 0:23         670         670         670         670              670          708.571
 2/ 7/2018 10: 3: 0         680         680         680         680              680              705
 2/ 7/2018 10: 3: 3         670         670         670         670              670          701.111
 2/ 7/2018 10: 3: 7         690         690         690         690              690              700
 2/ 7/2018 10: 3: 8         810         810         810         810              810              710
 2/ 7/2018 10: 3:15         700         700         700         700              700          709.167
 2/ 7/2018 10: 3:23         720         720         720         720              720              710
 2/ 7/2018 10: 3:30         740         740         740         740              740          712.143
 2/ 7/2018 10: 3:36         670         670         670         670              670          709.333
 2/ 7/2018 10: 3:39         780         780         780         780              780           713.75
 2/ 7/2018 10: 3:46         810         810         810         810              810          719.412
 2/ 7/2018 10: 3:58         620         620         620         620              620          713.889
 2/ 7/2018 10: 4: 8         680         680         680         680              680          712.105
 2/ 7/2018 10: 4:12         680         680         680         680              680            710.5
 2/ 7/2018 10: 4:17         670         670         670         670              670          708.571
 2/ 7/2018 10: 4:26         660         660         660         660              660          706.364
 2/ 7/2018 10: 4:35         660         660         660         660              660          704.348
 2/ 7/2018 10: 4:45         660         660         660         660              660            702.5
 2/ 7/2018 10: 5:25         670         670         670         670              670            701.2
 2/ 7/2018 10: 5:59         720         720         720         720              720          701.923
 2/ 7/2018 10: 6: 1         660         660         660         660              660           700.37
 2/ 7/2018 10: 6:35         650         650         650         650              650          698.571
 2/ 7/2018 10: 6:44         640         640         640         640              640          696.552
 2/ 7/2018 10: 7:45         810         810         810         810              810          700.333
 2/ 7/2018 10: 8: 9         680         680         680         680              680          699.677
 2/ 7/2018 10: 8:20         700         700         700         700              700          699.688
 2/ 7/2018 10: 8:54         670         670         670         670              670          698.788
 2/ 7/2018 10: 9: 1         670         670         670         670              670          697.941
 2/ 7/2018 10: 9: 3         670         670         670         670              670          697.143
 2/ 7/2018 10: 9:13         700         700         700         700              700          697.222
 2/ 7/2018 10: 9:17         610         610         610         610              610          694.865
 2/ 7/2018 10: 9:30         600         600         600         600              600          692.368
 2/ 7/2018 10: 9:59         680         680         680         680              680          692.051
 2/ 7/2018 10:10:21         680         680         680         680              680           691.75
 2/ 7/2018 10:12:27         670         670         670         670              670           691.22
 2/ 7/2018 10:13:26         690         690         690         690              690           691.19
 2/ 7/2018 10:14: 1         680         680         680         680              680           690.93
 2/ 7/2018 10:14:54         700         700         700         700              700          691.136
 2/ 7/2018 10:15:37         680         680         680         680              680          690.889
 2/ 7/2018 10:16: 5         680         680         680         680              680          690.652
 2/ 7/2018 10:16:16         680         680         680         680              680          690.426
 2/ 7/2018 10:16:35         680         680         670         670              675          690.104
 2/ 7/2018 10:16:51         660         660         660         660              660           689.49
 2/ 7/2018 10:16:52         680         680         680         680              680            689.3
 2/ 7/2018 10:16:53         680         680         680         680              680          689.118
 2/ 7/2018 10:16:54         680         680         680         680              680          688.942
 2/ 7/2018 10:16:57         670         670         670         670              670          688.585
 2/ 7/2018 10:17: 0         680         680         680         680              680          688.426
 2/ 7/2018 10:17: 2         680         680         680         680              680          688.273
 2/ 7/2018 10:17:12         700         700         700         700              700          688.482
 2/ 7/2018 10:17:13         680         680         680         680              680          688.333
 2/ 7/2018 10:17:29         710         710         710         710              710          688.707
 2/ 7/2018 10:17:42         680         680         680         680              680          688.559
 2/ 7/2018 10:17:43         670         670         670         670              670           688.25
 2/ 7/2018 10:17:50         690         690         690         690              690          688.279
 2/ 7/2018 10:17:54         730         730         730         730              730          688.952
 2/ 7/2018 10:17:55         680         680         680         680              680           688.81
 2/ 7/2018 10:18:16         750         750         750         750              750          689.766
 2/ 7/2018 10:18:19         670         670         670         670              670          689.462
 2/ 7/2018 10:18:20         670         670         670         670              670          689.167
 2/ 7/2018 10:18:24         680         680         680         680              680           689.03
 2/ 7/2018 10:18:30         680         680         680         680              680          688.897
 2/ 7/2018 10:19:14         690         690         690         690              690          688.913
 2/ 7/2018 10:19:55         800         800         800         800              800            690.5
 2/ 7/2018 10:19:58         680         680         680         680              680          690.352
 2/ 7/2018 10:20:43         740         740         740         740              740          691.042
 2/ 7/2018 10:21:20         710         710         710         710              710          691.301
 2/ 7/2018 10:21:31         720         720         720         720              720          691.689
 2/ 7/2018 10:21:40         700         730         700         730              715              692
 2/ 7/2018 10:21:43         700         700         700         700              700          692.105
 2/ 7/2018 10:21:49         690         690         690         690              690          692.078
 2/ 7/2018 10:21:55         710         710         710         710              710          692.308
 2/ 7/2018 10:22: 0         730         730         700         700              715          692.595
 2/ 7/2018 10:22: 6         680         680         680         680              680          692.438
 2/ 7/2018 10:22:46         740         740         740         740              740          693.025
 2/ 7/2018 10:23: 8         680         680         680         680              680          692.866
 2/ 7/2018 10:23:15         780         780         780         780              780          693.916
 2/ 7/2018 10:23:42         810         810         810         810              810          695.298
 2/ 7/2018 10:24: 8         690         690         690         690              690          695.235
 2/ 7/2018 10:24: 9         710         710         710         710              710          695.407
 2/ 7/2018 10:24:15         680         680         680         680              680           695.23
 2/ 7/2018 10:24:17         680         680         680         680              680          695.057
 2/ 7/2018 10:24:19         670         670         670         670              670          694.775
 2/ 7/2018 10:24:21         670         670         670         670              670            694.5
 2/ 7/2018 10:24:22         670         670         670         670              670          694.231
 2/ 7/2018 10:24:25         680         680         680         680              680          694.076
 2/ 7/2018 10:24:39         690         690         690         690              690          694.032
