         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2:25          90          90          90          90                90          90           1
11/ 7/2018  7: 2:27          80          80          80          80                80          85           1
11/ 7/2018  7: 2:28          90          90          90          90                90     86.6667           1
11/ 7/2018  7: 2:36          80          80          80          80                80          85           1
11/ 7/2018  8: 2:53          90          90          90          90                90          86           1
11/ 7/2018  8: 2:56          80          80          80          80                80          85           1
11/ 7/2018  9: 2:21          90          90          90          90                90     85.7143           1
11/ 7/2018  9: 2:27          80          80          80          80                80          85           1
11/ 7/2018  9: 2:28          90          90          90          90                90     85.5556           1
11/ 7/2018 10: 2:16          80          80          80          80                80          85           1
11/ 7/2018 10: 2:53          90          90          90          90                90     85.4545           1
11/ 7/2018 11: 2: 3          80          80          80          80                80          85           1
11/ 7/2018 11: 2:14          90          90          90          90                90     85.3846           1
11/ 7/2018 11: 2:17          80          80          80          80                80          85           1
11/ 7/2018 11: 2:19          90          90          90          90                90     85.3333           1
12/ 7/2018 52: 2:10          80          80          80          80                80          85           1
12/ 7/2018 52: 2:13          90          90          90          90                90     85.2941           1
12/ 7/2018 52: 2:17          80          80          80          80                80          85           1
12/ 7/2018 52: 2:19          90          90          90          90                90     85.2632           1
12/ 7/2018 55: 2:42          80          80          80          80                80          85           1
12/ 7/2018 58: 2:57          90          90          90          90                90     85.2381           1
12/ 7/2018 59: 2: 7          80          80          80          80                80          85           1
12/ 7/2018 59: 2:21          90          90          90          90                90     85.2174           1
14/ 7/2018  0: 2:31          90          90          90          90                90     85.4167           1
14/ 7/2018 31: 2:49          80          80          80          80                80        85.2           1
14/ 7/2018 32: 2:40          90          90          90          90                90     85.3846           1
14/ 7/2018 32: 2:41          80          80          80          80                80     85.1852           1
14/ 7/2018 32: 2:42          90          90          90          90                90     85.3571           1
14/ 7/2018 32: 2:43          80          80          80          80                80     85.1724           1
14/ 7/2018 33: 2:15          90          90          90          90                90     85.3333           1
14/ 7/2018 33: 2:17          80          80          80          80                80     85.1613           1
14/ 7/2018 33: 2:26          90          90          90          90                90     85.3125           1
14/ 7/2018 33: 2:28          80          80          80          80                80     85.1515           1
14/ 7/2018 33: 2:29          90          90          90          90                90     85.2941           1
14/ 7/2018 33: 2:30          80          80          80          80                80     85.1429           1
14/ 7/2018 42: 2:25          90          90          90          90                90     85.2778           1
14/ 7/2018 42: 2:52          80          80          80          80                80     85.1351           1
14/ 7/2018 42: 2:54          90          90          90          90                90     85.2632           1
14/ 7/2018 43: 2: 1          80          80          80          80                80     85.1282           1
14/ 7/2018 43: 2: 2          90          90          90          90                90       85.25           1
14/ 7/2018 44: 2:18          80          80          80          80                80      85.122           1
14/ 7/2018 44: 2:19          90          90          90          90                90     85.2381           1
14/ 7/2018 44: 2:20          80          80          80          80                80     85.1163           1
15/ 7/2018 58: 2:40          70          70          70          70                70     84.7727           1
15/ 7/2018 59: 2:13          80          80          80          80                80     84.6667           1
15/ 7/2018 59: 2:16          70          70          70          70                70     84.3478           1
15/ 7/2018 59: 2:22          80          80          80          80                80     84.2553           1
15/ 7/2018 59: 2:25          70          70          70          70                70     83.9583           1
16/ 7/2018  6: 2:33          80          80          80          80                80     83.8776           1
16/ 7/2018  6: 2:35          70          70          70          70                70        83.6           1
17/ 7/2018 12: 2:42          80          80          80          80                80     83.5294           1
17/ 7/2018 12: 2:47          70          70          70          70                70     83.2692           1
17/ 7/2018 12: 2:48          80          80          80          80                80     83.2075           1
17/ 7/2018 12: 2:49          70          70          70          70                70      82.963           1
17/ 7/2018 12: 2:52          80          80          80          80                80     82.9091           1
17/ 7/2018 13: 2:23          70          70          70          70                70     82.6786           1
17/ 7/2018 13: 2:27          80          80          80          80                80     82.6316           1
17/ 7/2018 13: 2:38          70          70          70          70                70     82.4138           1
17/ 7/2018 13: 2:39          80          80          80          80                80     82.3729           1
17/ 7/2018 13: 2:50          70          70          70          70                70     82.1667           1
17/ 7/2018 14: 2:12          80          80          80          80                80     82.1311           1
17/ 7/2018 14: 2:34          70          70          70          70                70     81.9355           1
17/ 7/2018 14: 2:45          80          80          80          80                80     81.9048           1
17/ 7/2018 14: 2:46          70          70          70          70                70     81.7188           1
17/ 7/2018 17: 2:36          80          80          80          80                80     81.6923           1
17/ 7/2018 17: 2:39          70          70          70          70                70     81.5152           1
17/ 7/2018 17: 2:41          80          80          80          80                80     81.4925           1
17/ 7/2018 17: 2:42          70          70          70          70                70     81.3235           1
17/ 7/2018 49: 2:20          80          80          80          80                80     81.3043           1
