         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
11/ 7/2018 12: 2: 5         310         310         310         310               310     310.101           1
11/ 7/2018 12: 2:31         320         320         320         320               320       310.2           1
11/ 7/2018 12: 2:38         310         310         310         310               310     310.198           1
11/ 7/2018 12: 2:48         320         320         320         320               320     310.294           1
11/ 7/2018 13: 2: 1         310         310         310         310               310     310.291           1
11/ 7/2018 13: 2: 2         320         320         320         320               320     310.385           1
11/ 7/2018 14: 2:55         310         310         310         310               310     310.381           1
11/ 7/2018 15: 2: 0         320         320         320         320               320     310.472           1
11/ 7/2018 15: 2: 5         310         310         310         310               310     310.467           1
11/ 7/2018 15: 2:22         320         320         320         320               320     310.556           1
11/ 7/2018 15: 2:42         310         310         310         310               310      310.55           1
11/ 7/2018 15: 2:45         320         320         320         320               320     310.636           1
11/ 7/2018 15: 2:46         310         310         310         310               310     310.631           1
11/ 7/2018 15: 2:51         320         320         320         320               320     310.714           1
11/ 7/2018 15: 2:55         310         310         310         310               310     310.708           1
11/ 7/2018 15: 2:57         320         320         320         320               320     310.789           1
11/ 7/2018 15: 2:59         310         310         310         310               310     310.783           1
11/ 7/2018 16: 2: 0         320         320         320         320               320     310.862           1
11/ 7/2018 16: 2: 2         310         310         310         310               310     310.855           1
11/ 7/2018 16: 2: 9         320         320         320         320               320     310.932           1
11/ 7/2018 16: 2:34         310         310         310         310               310     310.924           1
11/ 7/2018 30: 2: 4         300         300         300         300               300     310.833           1
11/ 7/2018 31: 2: 1         310         310         310         310               310     310.826           1
11/ 7/2018 31: 2: 2         300         300         300         300               300     310.738           1
11/ 7/2018 31: 2:42         310         310         310         310               310     310.732           1
11/ 7/2018 32: 2:15         300         300         300         300               300     310.645           1
11/ 7/2018 32: 2:18         310         310         310         310               310      310.64           1
11/ 7/2018 32: 2:31         300         300         300         300               300     310.556           1
11/ 7/2018 32: 2:33         310         310         310         310               310     310.551           1
11/ 7/2018 32: 2:34         300         300         300         300               300     310.469           1
11/ 7/2018 32: 2:36         310         310         310         310               310     310.465           1
