         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 3         120         120         120         120              120              120
 2/ 7/2018 10: 0:52         110         110         110         110              110              115
 2/ 7/2018 10: 2:17         120         120         120         120              120          116.667
 2/ 7/2018 10: 2:18         110         110         110         110              110              115
 2/ 7/2018 10: 2:27         120         120         120         120              120              116
 2/ 7/2018 10: 2:39         110         110         110         110              110              115
 2/ 7/2018 10: 2:43         120         120         120         120              120          115.714
 2/ 7/2018 10: 2:44         110         110         110         110              110              115
 2/ 7/2018 10:16:11         120         120         120         120              120          115.556
 2/ 7/2018 10:27:52         120         120         120         120              120              116
 2/ 7/2018 10:32: 5         110         110         110         110              110          115.455
 2/ 7/2018 10:45:31         120         120         120         120              120          115.833
 2/ 7/2018 10:45:33         110         110         110         110              110          115.385
 2/ 7/2018 10:45:42         120         120         120         120              120          115.714
 2/ 7/2018 10:49:15         110         110         110         110              110          115.333
 2/ 7/2018 10:54:22         120         120         120         120              120          115.625
 2/ 7/2018 10:59: 9         110         110         110         110              110          115.294
 2/ 7/2018 11:13:43         100         100         100         100              100          114.444
 2/ 7/2018 11:13:44         110         110         110         110              110          114.211
 2/ 7/2018 11:17:28         100         100         100         100              100            113.5
 2/ 7/2018 11:17:53         110         110         110         110              110          113.333
 2/ 7/2018 11:22: 5         100         100         100         100              100          112.727
 2/ 7/2018 11:22:11         110         110         110         110              110          112.609
 2/ 7/2018 11:22:16         100         100         100         100              100          112.083
 2/ 7/2018 11:22:18         110         110         110         110              110              112
 2/ 7/2018 12:26: 2         100         100         100         100              100          111.538
 2/ 7/2018 12:27: 0         110         110         110         110              110          111.481
 2/ 7/2018 12:30:10         100         100         100         100              100          111.071
 2/ 7/2018 12:56:32         110         110         110         110              110          111.034
 2/ 7/2018 14: 0: 1         110         110         110         110              110              111
 2/ 7/2018 14:12:53         100         100         100         100              100          110.645
 2/ 7/2018 14:19:49         110         110         110         110              110          110.625
 2/ 7/2018 14:21:50         100         100         100         100              100          110.303
 2/ 7/2018 15:48:49         110         110         110         110              110          110.294
 2/ 7/2018 17:10:58         100         100         100         100              100              110
 2/ 7/2018 17:11:25         110         110         110         110              110              110
 2/ 7/2018 17:11:26         100         100         100         100              100           109.73
 2/ 7/2018 17:47:23         110         110         110         110              110          109.737
 2/ 7/2018 17:47:24         100         100         100         100              100          109.487
 2/ 7/2018 17:55:24         110         110         110         110              110            109.5
