         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018  0: 2: 0         170         170         170         170               170         170           1
10/ 7/2018  0: 2: 3         170         170         170         170               170         170           1
10/ 7/2018  2: 2:12         170         170         170         170               170         170           1
10/ 7/2018  5: 2:32         160         160         160         160               160       167.5           1
10/ 7/2018  5: 2:34         170         170         170         170               170         168           1
10/ 7/2018  5: 2:35         160         160         160         160               160     166.667           1
10/ 7/2018  5: 2:50         170         170         170         170               170     167.143           1
10/ 7/2018  6: 2:19         160         160         160         160               160      166.25           1
10/ 7/2018  9: 2:33         160         160         160         160               160     165.556           1
10/ 7/2018 10: 2: 2         150         150         150         150               150         164           1
10/ 7/2018 10: 2: 3         170         170         170         170               170     164.545           1
10/ 7/2018 10: 2: 4         170         170         170         170               170         165           1
10/ 7/2018 10: 2: 5         160         160         160         160               160     164.615           1
10/ 7/2018 10: 2: 7         170         170         170         170               170         165           1
10/ 7/2018 10: 2: 8         160         160         160         160               160     164.667           1
10/ 7/2018 10: 2:11         170         170         170         170               170         165           1
10/ 7/2018 10: 2:12         160         160         160         160               160     164.706           1
10/ 7/2018 10: 2:15         170         170         170         170               170         165           1
10/ 7/2018 10: 2:16         160         160         160         160               160     164.737           1
10/ 7/2018 10: 2:17         160         160         160         160               160       164.5           1
10/ 7/2018 10: 2:19         170         170         170         170               170     164.762           1
10/ 7/2018 10: 2:20         160         160         160         160               160     164.545           1
10/ 7/2018 10: 2:22         170         170         170         170               170     164.783           1
10/ 7/2018 10: 2:27         160         160         160         160               160     164.583           1
10/ 7/2018 10: 2:28         170         170         160         160               165       164.6           2
10/ 7/2018 10: 2:31         160         160         160         160               160     164.423           1
10/ 7/2018 10: 2:32         170         170         170         170               170      164.63           1
10/ 7/2018 10: 2:33         160         160         160         160               160     164.464           1
10/ 7/2018 10: 2:34         170         170         170         170               170     164.655           1
10/ 7/2018 10: 2:35         160         160         160         160               160       164.5           1
10/ 7/2018 10: 2:36         160         160         160         160               160     164.355           1
10/ 7/2018 10: 2:37         170         170         170         170               170     164.531           1
10/ 7/2018 10: 2:38         160         160         160         160               160     164.394           1
10/ 7/2018 10: 2:39         170         170         170         170               170     164.559           1
10/ 7/2018 10: 2:40         160         160         160         160               160     164.429           1
10/ 7/2018 10: 2:41         170         170         170         170               170     164.583           1
10/ 7/2018 10: 2:42         160         160         160         160               160     164.459           1
10/ 7/2018 10: 2:43         170         170         170         170               170     164.605           1
10/ 7/2018 10: 2:45         160         160         160         160               160     164.487           1
10/ 7/2018 10: 2:46         160         160         160         160               160     164.375           1
10/ 7/2018 10: 2:47         170         170         170         170               170     164.512           1
