         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018  9:55: 1       10050       11170       10050        9640          10227.5          10227.5
 2/ 7/2018 10: 0: 0        9690        9940        9690        9940             9815          10021.2
 2/ 7/2018 10: 0: 1        9390       10140        9390       10140             9765          9935.83
 2/ 7/2018 10: 0: 2       10190       10790        9380       10790          10287.5          10023.8
 2/ 7/2018 10: 0: 3       10840       11160       10840       11090          10982.5          10215.5
 2/ 7/2018 10: 0:13       11150       11150       11150       11150            11150          10371.2
 2/ 7/2018 10: 0:27       11160       11160       11160       11160            11160          10483.9
 2/ 7/2018 10: 0:34       11170       11170       11170       11170            11170          10569.7
 2/ 7/2018 10: 1:25        9510        9510        9510        9510             9510          10451.9
 2/ 7/2018 10: 1:42        9070        9070        9070        9070             9070          10313.8
 2/ 7/2018 10: 2:18        9080        9080        9080        9080             9080          10201.6
 2/ 7/2018 10: 2:19       10000       10000       10000       10000            10000          10184.8
 2/ 7/2018 10: 3:53        9090        9090        9090        9090             9090          10100.6
 2/ 7/2018 10: 3:55        9100        9100        9100        9100             9100          10029.1
 2/ 7/2018 10: 4:17        9110        9110        9110        9110             9110          9967.83
 2/ 7/2018 10: 4:20        9120        9120        9120        9120             9120          9914.84
 2/ 7/2018 10: 5: 6        9120        9120        9120        9120             9120          9868.09
 2/ 7/2018 10: 5:19        9130        9130        9130        9130             9130          9827.08
 2/ 7/2018 10: 5:21        9140        9140        9140        9140             9140          9790.92
 2/ 7/2018 10: 5:32        9150        9150        9150        9150             9150          9758.88
 2/ 7/2018 10: 5:34        9160        9160        9160        9160             9160          9730.36
 2/ 7/2018 10: 5:44        9170        9170        9170        9170             9170          9704.89
 2/ 7/2018 10: 5:46        9180        9180        9180        9180             9180          9682.07
 2/ 7/2018 10: 5:59        9190        9190        9190        9190             9190          9661.56
 2/ 7/2018 10: 6: 1        9200        9200        9200        9200             9200           9643.1
 2/ 7/2018 10: 6:14        9130        9130        9130        9130             9130          9623.37
 2/ 7/2018 10: 6:16        9140        9140        9140        9140             9140          9605.46
 2/ 7/2018 10: 9: 6        9380        9380        9380        9380             9380          9597.41
 2/ 7/2018 10: 9:18       10000       10000       10000       10000            10000          9611.29
 2/ 7/2018 10:11:56        9370        9370        9370        9370             9370          9603.25
 2/ 7/2018 10:19:29        9160        9160        9160        9160             9160          9588.95
 2/ 7/2018 10:19:31        9170        9170        9170        9170             9170          9575.86
 2/ 7/2018 10:20: 0        9990        9990        9990        9990             9990          9588.41
 2/ 7/2018 10:20:11        9020        9020        9020        9020             9020          9571.69
 2/ 7/2018 10:20:12        9140        9140        9140        9140             9140          9559.36
 2/ 7/2018 10:20:13        9030        9030        9030        9030             9030          9544.65
 2/ 7/2018 10:20:15        9040        9040        9040        9040             9040          9531.01
 2/ 7/2018 10:20:16        9050        9050        9050        9050             9050          9518.36
 2/ 7/2018 10:20:17        9060        9060        9060        9060             9060           9506.6
 2/ 7/2018 10:20:20        9070        9070        9070        9070             9070          9495.69
 2/ 7/2018 10:20:23        9080        9080        9080        9080             9080          9485.55
 2/ 7/2018 10:20:26        9100        9100        9100        9100             9100          9476.37
 2/ 7/2018 10:20:29        9110        9170        9110        9170             9140          9468.55
 2/ 7/2018 10:20:31        9180        9180        9120        9120             9150          9461.31
 2/ 7/2018 10:20:35        9140        9140        9140        9140             9140          9454.17
 2/ 7/2018 10:20:52        9010        9010        9010        9010             9010          9444.51
 2/ 7/2018 10:21:10        9150        9150        9150        9150             9150          9438.24
 2/ 7/2018 10:21:13        9200        9200        9200        9200             9200          9433.28
 2/ 7/2018 10:21:15        8950        8950        8950        8950             8950          9423.42
 2/ 7/2018 10:21:17        8910        8910        8910        8910             8910          9413.15
 2/ 7/2018 10:21:19        8820        8820        8820        8820             8820          9401.52
 2/ 7/2018 10:21:22        8720        8720        8720        8720             8720          9388.41
 2/ 7/2018 10:21:53        8620        8620        8620        8620             8620          9373.92
 2/ 7/2018 10:22:17        9570        9570        9570        9570             9570          9377.55
 2/ 7/2018 10:22:26        9490        9490        9490        9490             9490          9379.59
 2/ 7/2018 10:22:32        9530        9530        9530        9530             9530          9382.28
 2/ 7/2018 10:22:35        9560        9560        9560        9560             9560          9385.39
 2/ 7/2018 10:22:39        9890        9890        9890        9890             9890          9394.09
 2/ 7/2018 10:22:44        9980        9980        9980        9980             9980          9404.03
 2/ 7/2018 10:22:46       10090       10090       10090       10090            10090          9415.46
 2/ 7/2018 10:22:49        9940        9940        9940        9940             9940          9424.06
 2/ 7/2018 10:22:53       10060       10060       10060       10060            10060          9434.31
 2/ 7/2018 10:22:57       10180       10180       10180       10180            10180          9446.15
 2/ 7/2018 10:26:54        9150        9150        9150        9150             9150          9441.52
 2/ 7/2018 10:31: 8        9770        9770        9770        9770             9770          9446.58
 2/ 7/2018 10:31: 9        9120        9120        9120        9120             9120          9441.63
 2/ 7/2018 10:35:27       10930       10930       10930       10930            10930          9463.84
 2/ 7/2018 10:39: 4        9160        9160        9160        9160             9160          9459.38
 2/ 7/2018 10:56:11        9360        9360        9360        9360             9360          9457.93
 2/ 7/2018 11: 1:27        9340        9340        9340        9340             9340          9456.25
 2/ 7/2018 11: 1:54        9330        9330        9330        9330             9330          9454.47
 2/ 7/2018 11: 2: 1        9320        9320        9320        9320             9320           9452.6
 2/ 7/2018 11: 2:11        9310        9310        9310        9310             9310          9450.65
 2/ 7/2018 11: 2:20        9260        9260        9260        9260             9260          9448.07
 2/ 7/2018 11: 3:27        9170        9170        9170        9170             9170          9444.37
 2/ 7/2018 11: 3:38        9180        9180        9180        9180             9180          9440.89
 2/ 7/2018 11: 3:39        9190        9190        9190        9190             9190          9437.63
 2/ 7/2018 11:15: 4        9190        9190        9190        9190             9190          9434.46
 2/ 7/2018 11:18:42        9260        9260        9260        9260             9260          9432.25
 2/ 7/2018 11:23:39        9280        9280        9280        9280             9280          9430.34
 2/ 7/2018 11:40: 8        9500        9500        9500        9500             9500           9431.2
 2/ 7/2018 12: 3:47       11170       11170       11170       11170            11170          9452.41
 2/ 7/2018 12:12:16        9370        9370        9370        9370             9370          9451.42
 2/ 7/2018 12:25:24        9380        9380        9380        9380             9380          9450.57
 2/ 7/2018 12:27:49        9280        9280        9280        9280             9280          9448.56
 2/ 7/2018 12:28:28        9370        9370        9370        9370             9370          9447.65
 2/ 7/2018 12:43:32        9350        9350        9350        9350             9350          9446.52
 2/ 7/2018 12:47:34        9350        9350        9350        9350             9350          9445.43
 2/ 7/2018 12:51:31        9500        9500        9500        9500             9500          9446.04
 2/ 7/2018 12:53:59        9180        9180        9180        9180             9180          9443.08
 2/ 7/2018 12:56:29        9480        9480        9480        9480             9480          9443.49
 2/ 7/2018 12:58:18        9750        9750        9750        9750             9750          9446.82
 2/ 7/2018 12:59:23        9590        9590        9590        9590             9590          9448.36
 2/ 7/2018 13:55:19       10050       11170       10050        9750            10255          9456.94
 2/ 7/2018 14: 4:15        9380        9380        9380        9380             9380          9456.13
 2/ 7/2018 14:10:21        9200        9200        9200        9200             9200          9453.46
 2/ 7/2018 14:14:55        9200        9200        9200        9200             9200          9450.85
 2/ 7/2018 14:17: 0        9480        9480        9480        9480             9480          9451.15
 2/ 7/2018 14:17:30        9370        9370        9370        9370             9370          9450.33
 2/ 7/2018 14:17:50        9380        9380        9380        9380             9380          9449.62
 2/ 7/2018 14:17:52        9380        9380        9380        9380             9380          9448.94
 2/ 7/2018 14:18:17        9400        9400        9400        9400             9400          9448.46
 2/ 7/2018 14:18:18        9380        9380        9380        9380             9380          9447.79
 2/ 7/2018 14:21:36        9470        9470        9470        9470             9470             9448
 2/ 7/2018 14:21:44        9480        9480        9480        9480             9480          9448.31
 2/ 7/2018 14:22:11        9520        9520        9520        9520             9520          9448.99
 2/ 7/2018 14:22:12        9510        9510        9510        9510             9510          9449.56
 2/ 7/2018 14:22:20        9530        9530        9530        9530             9530           9450.3
 2/ 7/2018 14:22:24        9450        9450        9450        9450             9450           9450.3
 2/ 7/2018 14:22:32        9540        9540        9540        9540             9540          9451.11
 2/ 7/2018 14:22:43        9560        9560        9560        9560             9560          9452.09
 2/ 7/2018 14:22:46        9570        9570        9570        9570             9570          9453.15
 2/ 7/2018 14:22:52        9580        9580        9580        9580             9580          9454.27
 2/ 7/2018 14:22:54        9570        9570        9570        9570             9570          9455.29
 2/ 7/2018 14:22:58        9740        9740        9740        9740             9740          9457.76
 2/ 7/2018 14:23: 4        9700        9700        9700        9700             9700          9459.85
 2/ 7/2018 14:23: 5        9570        9590        9570        9590             9580          9460.88
 2/ 7/2018 14:23: 8        9600        9600        9600        9600             9600          9462.06
 2/ 7/2018 14:23: 9        9600        9600        9600        9600             9600          9463.21
 2/ 7/2018 14:23:11        9610        9610        9610        9610             9610          9464.44
 2/ 7/2018 14:23:14        9620        9620        9620        9620             9620          9465.72
 2/ 7/2018 14:23:18        9640        9640        9640        9640             9640          9467.15
 2/ 7/2018 14:23:19        9640        9640        9640        9640             9640          9468.56
