         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 1        1000        1000        1000        1000             1000             1000
 2/ 7/2018 10: 0:34         690         690         690         690              690              845
 2/ 7/2018 10: 1: 5         700         700         700         700              700          796.667
 2/ 7/2018 10: 1:26         720         720         720         720              720            777.5
 2/ 7/2018 10: 1:28         710         710         710         710              710              764
 2/ 7/2018 10: 1:29         720         720         720         720              720          756.667
 2/ 7/2018 10: 1:30         710         710         710         710              710              750
 2/ 7/2018 10: 1:31         720         720         720         720              720           746.25
 2/ 7/2018 10: 1:32         710         710         710         710              710          742.222
 2/ 7/2018 10: 1:33         720         720         720         720              720              740
 2/ 7/2018 10: 1:34         710         710         710         710              710          737.273
 2/ 7/2018 10: 2:24         730         730         730         730              730          736.667
 2/ 7/2018 10: 2:26         720         720         720         720              720          735.385
 2/ 7/2018 10: 2:28         710         710         710         710              710          733.571
 2/ 7/2018 10: 2:33         720         720         720         720              720          732.667
 2/ 7/2018 10: 2:36         730         730         730         730              730            732.5
 2/ 7/2018 10: 2:38         720         720         710         710              715          731.471
 2/ 7/2018 10: 2:50         720         720         720         720              720          730.833
 2/ 7/2018 10: 2:52         730         730         720         720              725          730.526
 2/ 7/2018 10: 2:53         730         730         720         720              725           730.25
 2/ 7/2018 10: 3: 1         730         730         730         730              730          730.238
 2/ 7/2018 10: 3: 2         720         720         720         720              720          729.773
 2/ 7/2018 10: 3: 7         730         730         730         730              730          729.783
 2/ 7/2018 10: 3: 9         720         720         720         720              720          729.375
 2/ 7/2018 10: 3:41         730         730         730         730              730            729.4
 2/ 7/2018 10: 3:50         720         730         720         730              725          729.231
 2/ 7/2018 10: 3:54         720         720         720         720              720          728.889
 2/ 7/2018 10: 3:58         730         730         730         730              730          728.929
 2/ 7/2018 10: 4:40         750         750         740         740              745          729.483
 2/ 7/2018 10: 5: 8         750         750         750         750              750          730.167
 2/ 7/2018 10: 5:19         760         760         760         760              760          731.129
 2/ 7/2018 10: 5:21         750         750         750         750              750          731.719
 2/ 7/2018 10: 5:32         770         770         770         770              770          732.879
 2/ 7/2018 10: 5:33         760         760         760         760              760          733.676
 2/ 7/2018 10: 6: 0         750         750         750         750              750          734.143
 2/ 7/2018 10: 6:25         740         740         740         740              740          734.306
 2/ 7/2018 10: 7: 3         750         750         750         750              750           734.73
 2/ 7/2018 10: 7: 4         740         740         740         740              740          734.868
 2/ 7/2018 10: 7:17         750         750         750         750              750          735.256
 2/ 7/2018 10: 7:59         760         760         760         760              760          735.875
 2/ 7/2018 10: 8: 0         750         750         750         750              750           736.22
 2/ 7/2018 10: 8: 8         740         740         740         740              740           736.31
 2/ 7/2018 10: 8:17         760         760         760         760              760           736.86
 2/ 7/2018 10: 8:18         750         750         750         750              750          737.159
 2/ 7/2018 10: 9:25         760         760         750         750              755          737.556
 2/ 7/2018 10:10:34         710         710         710         710              710          736.957
 2/ 7/2018 10:10:49         720         720         720         720              720          736.596
 2/ 7/2018 10:11: 3         730         730         730         730              730          736.458
 2/ 7/2018 10:11: 9         740         740         740         740              740          736.531
 2/ 7/2018 10:12:46         760         760         760         760              760              737
 2/ 7/2018 10:12:47         750         750         750         750              750          737.255
 2/ 7/2018 10:14:21         740         740         740         740              740          737.308
 2/ 7/2018 10:15:54         730         730         730         730              730           737.17
 2/ 7/2018 10:17:50         720         720         720         720              720          736.852
 2/ 7/2018 10:18:26         710         710         710         710              710          736.364
 2/ 7/2018 10:18:46         700         720         700         720              710          735.893
 2/ 7/2018 10:18:47         700         700         700         700              700          735.263
 2/ 7/2018 10:18:56         710         710         710         710              710          734.828
 2/ 7/2018 10:18:57         700         700         700         700              700          734.237
 2/ 7/2018 10:20: 1         710         710         710         710              710          733.833
 2/ 7/2018 10:20:21         700         700         700         700              700          733.279
 2/ 7/2018 10:20:24         710         710         710         710              710          732.903
 2/ 7/2018 10:20:29         720         720         720         720              720          732.698
 2/ 7/2018 10:20:30         710         710         710         710              710          732.344
 2/ 7/2018 10:20:31         720         720         720         720              720          732.154
 2/ 7/2018 10:20:32         710         710         710         710              710          731.818
 2/ 7/2018 10:20:33         720         720         720         720              720          731.642
 2/ 7/2018 10:20:34         710         710         710         710              710          731.324
 2/ 7/2018 10:20:39         720         720         720         720              720          731.159
 2/ 7/2018 10:20:40         710         710         710         710              710          730.857
 2/ 7/2018 10:20:42         720         720         710         710              715          730.634
 2/ 7/2018 10:20:54         730         730         720         720              725          730.556
 2/ 7/2018 10:20:57         730         730         730         730              730          730.548
 2/ 7/2018 10:20:58         720         720         720         720              720          730.405
 2/ 7/2018 10:21: 1         730         730         730         730              730            730.4
 2/ 7/2018 10:21: 3         720         720         720         720              720          730.263
 2/ 7/2018 10:21:55         690         690         690         690              690           729.74
 2/ 7/2018 10:22: 6         730         730         730         730              730          729.744
 2/ 7/2018 10:22: 7         720         730         720         730              725          729.684
 2/ 7/2018 10:22: 8         720         720         720         720              720          729.562
 2/ 7/2018 10:22: 9         730         730         720         720              725          729.506
 2/ 7/2018 10:22:21         730         730         730         730              730          729.512
 2/ 7/2018 10:22:32         730         730         730         730              730          729.518
 2/ 7/2018 10:23: 1         720         720         720         720              720          729.405
 2/ 7/2018 10:23:11         720         720         720         720              720          729.294
