         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 3        1500        1500        1500        1500             1500             1500
 2/ 7/2018 10: 0:44        1490        1490        1490        1490             1490             1495
 2/ 7/2018 10: 2:38        1480        1480        1480        1480             1480             1490
 2/ 7/2018 10: 7:14        1490        1490        1490        1490             1490             1490
 2/ 7/2018 10: 7:21        1500        1500        1500        1500             1500             1492
 2/ 7/2018 10: 9:34        1490        1490        1490        1490             1490          1491.67
 2/ 7/2018 10:10: 9        1500        1500        1500        1500             1500          1492.86
 2/ 7/2018 10:10:37        1490        1490        1490        1490             1490           1492.5
 2/ 7/2018 10:10:58        1500        1500        1500        1500             1500          1493.33
 2/ 7/2018 10:11: 5        1510        1510        1510        1510             1510             1495
 2/ 7/2018 10:11:33        1520        1520        1520        1520             1520          1497.27
 2/ 7/2018 10:11:47        1530        1530        1530        1530             1530             1500
 2/ 7/2018 10:11:54        1520        1520        1520        1520             1520          1501.54
 2/ 7/2018 10:12:29        1510        1510        1510        1510             1510          1502.14
 2/ 7/2018 10:13: 4        1500        1500        1500        1500             1500             1502
 2/ 7/2018 10:13:18        1510        1510        1510        1510             1510           1502.5
 2/ 7/2018 10:14:49        1520        1520        1520        1520             1520          1503.53
 2/ 7/2018 10:18: 5        1510        1510        1510        1510             1510          1503.89
 2/ 7/2018 10:19:50        1520        1520        1520        1520             1520          1504.74
 2/ 7/2018 10:28:14        1550        1550        1550        1550             1550             1507
 2/ 7/2018 10:29:17        1540        1540        1540        1540             1540          1508.57
 2/ 7/2018 10:32: 5        1530        1530        1530        1530             1530          1509.55
 2/ 7/2018 10:32:12        1520        1520        1520        1520             1520             1510
 2/ 7/2018 10:33: 8        1510        1510        1510        1510             1510             1510
 2/ 7/2018 10:33:29        1520        1520        1520        1520             1520           1510.4
 2/ 7/2018 10:37:18        1510        1510        1510        1510             1510          1510.38
 2/ 7/2018 10:37:32        1520        1520        1520        1520             1520          1510.74
 2/ 7/2018 10:37:53        1530        1530        1530        1530             1530          1511.43
 2/ 7/2018 10:39:38        1520        1520        1520        1520             1520          1511.72
 2/ 7/2018 10:41:23        1510        1510        1510        1510             1510          1511.67
 2/ 7/2018 10:43: 8        1520        1520        1520        1520             1520          1511.94
