         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0:34         980         980         980         980              980              980
 2/ 7/2018 10: 1: 5         970         970         970         970              970              975
 2/ 7/2018 10: 1:26         980         980         980         980              980          976.667
 2/ 7/2018 10: 1:28         960         960         960         960              960            972.5
 2/ 7/2018 10: 1:29         980         980         980         980              980              974
 2/ 7/2018 10: 1:30         960         960         960         960              960          971.667
 2/ 7/2018 10: 1:31         980         980         980         980              980          972.857
 2/ 7/2018 10: 1:32         960         960         960         960              960           971.25
 2/ 7/2018 10: 1:33         980         980         980         980              980          972.222
 2/ 7/2018 10: 1:34         960         960         960         960              960              971
 2/ 7/2018 10: 2:24         970         970         970         970              970          970.909
 2/ 7/2018 10: 2:26         950         950         950         950              950          969.167
 2/ 7/2018 10: 2:28         960         960         960         960              960          968.462
 2/ 7/2018 10: 2:33         950         950         950         950              950          967.143
 2/ 7/2018 10: 2:36         970         970         970         970              970          967.333
 2/ 7/2018 10: 2:38         950         960         950         960              955          966.562
 2/ 7/2018 10: 2:50         950         950         950         950              950          965.588
 2/ 7/2018 10: 2:52         970         970         950         950              960          965.278
 2/ 7/2018 10: 2:53         970         970         950         950              960              965
 2/ 7/2018 10: 3: 1         960         960         960         960              960           964.75
 2/ 7/2018 10: 3: 2         950         950         950         950              950          964.048
 2/ 7/2018 10: 3: 7         970         970         970         970              970          964.318
 2/ 7/2018 10: 3: 9         950         950         950         950              950          963.696
 2/ 7/2018 10: 3:41         940         940         940         940              940          962.708
 2/ 7/2018 10: 3:50         950         950         940         940              945              962
 2/ 7/2018 10: 3:54         950         950         950         950              950          961.538
 2/ 7/2018 10: 3:58         940         940         940         940              940          960.741
 2/ 7/2018 10: 4:26         930         930         930         930              930          959.643
 2/ 7/2018 10: 4:40         940         940         930         930              935          958.793
 2/ 7/2018 10: 5: 8         920         920         920         920              920            957.5
 2/ 7/2018 10: 5:19         930         930         930         930              930          956.613
 2/ 7/2018 10: 5:21         920         920         920         920              920          955.469
 2/ 7/2018 10: 5:32         930         930         930         930              930          954.697
 2/ 7/2018 10: 5:33         910         910         910         910              910          953.382
 2/ 7/2018 10: 6: 0         920         920         920         920              920          952.429
 2/ 7/2018 10: 6:25         930         930         930         930              930          951.806
 2/ 7/2018 10: 7: 3         940         940         940         940              940          951.486
 2/ 7/2018 10: 7: 4         930         930         930         930              930          950.921
 2/ 7/2018 10: 7:17         920         920         920         920              920          950.128
 2/ 7/2018 10: 7:59         910         910         910         910              910          949.125
 2/ 7/2018 10: 8: 0         920         920         920         920              920          948.415
 2/ 7/2018 10: 8:17         930         930         930         930              930          947.976
 2/ 7/2018 10: 8:18         920         920         920         920              920          947.326
 2/ 7/2018 10: 9:25         930         930         920         920              925          946.818
 2/ 7/2018 10:11: 9         930         930         930         930              930          946.444
 2/ 7/2018 10:11:56         900         900         900         900              900          945.435
 2/ 7/2018 10:12:46         940         940         940         940              940          945.319
 2/ 7/2018 10:12:47         920         920         920         920              920          944.792
 2/ 7/2018 10:14:21         930         930         930         930              930           944.49
 2/ 7/2018 10:16:42         940         940         940         940              940            944.4
 2/ 7/2018 10:17:50         950         950         950         950              950           944.51
 2/ 7/2018 10:18:26         960         960         960         960              960          944.808
 2/ 7/2018 10:18:46         970         980         970         980              975          945.377
 2/ 7/2018 10:18:47         970         970         970         970              970          945.833
 2/ 7/2018 10:18:56         980         980         980         980              980          946.455
 2/ 7/2018 10:18:57         970         970         970         970              970          946.875
 2/ 7/2018 10:20: 1         960         960         960         960              960          947.105
 2/ 7/2018 10:20:21         970         970         970         970              970            947.5
 2/ 7/2018 10:20:24         960         960         960         960              960          947.712
 2/ 7/2018 10:20:29         970         970         970         970              970          948.083
 2/ 7/2018 10:20:30         960         960         960         960              960          948.279
 2/ 7/2018 10:20:31         970         970         970         970              970          948.629
 2/ 7/2018 10:20:32         960         960         960         960              960           948.81
 2/ 7/2018 10:20:33         970         970         970         970              970          949.141
 2/ 7/2018 10:20:34         960         960         960         960              960          949.308
 2/ 7/2018 10:20:39         970         970         970         970              970          949.621
 2/ 7/2018 10:20:40         960         960         960         960              960          949.776
 2/ 7/2018 10:20:42         970         970         960         960              965              950
 2/ 7/2018 10:20:54         970         970         950         950              960          950.145
 2/ 7/2018 10:20:57         970         970         970         970              970          950.429
 2/ 7/2018 10:20:58         950         950         950         950              950          950.423
 2/ 7/2018 10:21: 1         970         970         970         970              970          950.694
 2/ 7/2018 10:21: 3         950         950         950         950              950          950.685
 2/ 7/2018 10:22: 6         960         960         960         960              960          950.811
 2/ 7/2018 10:22: 7         950         960         950         960              955          950.867
 2/ 7/2018 10:22: 8         950         950         950         950              950          950.855
 2/ 7/2018 10:22: 9         960         960         950         950              955          950.909
 2/ 7/2018 10:22:21         940         940         940         940              940          950.769
 2/ 7/2018 10:23: 1         950         950         950         950              950          950.759
 2/ 7/2018 10:23:19         940         940         940         940              940          950.625
 2/ 7/2018 10:23:20         960         960         960         960              960          950.741
 2/ 7/2018 10:23:22         940         940         940         940              940           950.61
 2/ 7/2018 10:23:24         960         960         960         960              960          950.723
 2/ 7/2018 10:23:27         940         940         940         940              940          950.595
 2/ 7/2018 10:26:56         930         930         930         930              930          950.353
 2/ 7/2018 10:27: 3         950         950         950         950              950          950.349
 2/ 7/2018 10:27: 6         940         940         930         930              935          950.172
 2/ 7/2018 10:27:48         940         940         940         940              940          950.057
 2/ 7/2018 10:28: 0         950         950         940         940              945              950
 2/ 7/2018 10:28: 4         950         950         950         950              950              950
 2/ 7/2018 10:28: 6         930         930         930         930              930           949.78
 2/ 7/2018 10:28: 7         950         950         930         930              940          949.674
 2/ 7/2018 10:28: 8         950         950         950         950              950          949.677
 2/ 7/2018 10:28:13         930         930         930         930              930          949.468
 2/ 7/2018 10:29: 5         940         940         940         940              940          949.368
 2/ 7/2018 10:30:23         930         930         930         930              930          949.167
 2/ 7/2018 10:44: 1         940         940         940         940              940          949.072
 2/ 7/2018 10:47:42         930         930         930         930              930          948.878
 2/ 7/2018 10:47:54         940         940         940         940              940          948.788
 2/ 7/2018 10:48:42         930         930         930         930              930            948.6
 2/ 7/2018 10:48:43         940         940         940         940              940          948.515
 2/ 7/2018 10:48:45         930         930         930         930              930          948.333
 2/ 7/2018 10:51:51         940         940         940         940              940          948.252
 2/ 7/2018 10:51:52         930         930         930         930              930          948.077
 2/ 7/2018 10:53:10         920         920         920         920              920           947.81
 2/ 7/2018 10:53:49         930         930         930         930              930          947.642
 2/ 7/2018 10:54:18         920         920         920         920              920          947.383
 2/ 7/2018 10:54:23         930         930         930         930              930          947.222
 2/ 7/2018 11: 4:47         920         920         920         920              920          946.972
 2/ 7/2018 11:22:17         910         910         910         910              910          946.636
 2/ 7/2018 11:24:39         920         920         920         920              920          946.396
 2/ 7/2018 11:26:27         930         930         930         930              930           946.25
 2/ 7/2018 11:30: 9         920         920         920         920              920          946.018
 2/ 7/2018 11:32:14         930         930         930         930              930          945.877
 2/ 7/2018 11:37:36         920         920         920         920              920          945.652
 2/ 7/2018 11:37:38         930         930         930         930              930          945.517
 2/ 7/2018 11:37:43         920         920         920         920              920          945.299
 2/ 7/2018 11:40:43         930         930         930         930              930          945.169
 2/ 7/2018 11:40:55         920         920         920         920              920          944.958
 2/ 7/2018 11:47:20         930         930         930         930              930          944.833
 2/ 7/2018 11:54:18         920         920         920         920              920          944.628
 2/ 7/2018 11:58:41         930         930         930         930              930          944.508
 2/ 7/2018 11:59:37         920         920         920         920              920          944.309
 2/ 7/2018 12: 0: 8         930         930         930         930              930          944.194
 2/ 7/2018 12: 0:55         920         920         920         920              920              944
 2/ 7/2018 12: 8:59         930         930         930         930              930          943.889
 2/ 7/2018 12: 9: 0         920         920         920         920              920          943.701
 2/ 7/2018 12:16:56         910         910         910         910              910          943.438
 2/ 7/2018 12:17:52         920         920         920         920              920          943.256
 2/ 7/2018 12:19:52         910         910         910         910              910              943
 2/ 7/2018 12:19:53         920         920         920         920              920          942.824
 2/ 7/2018 12:19:54         910         910         910         910              910          942.576
 2/ 7/2018 12:20:26         900         900         900         900              900          942.256
 2/ 7/2018 12:20:47         910         910         910         910              910          942.015
 2/ 7/2018 12:20:53         900         900         900         900              900          941.704
 2/ 7/2018 12:23:20         910         910         910         910              910          941.471
 2/ 7/2018 12:23:30         920         920         920         920              920          941.314
 2/ 7/2018 12:23:32         900         900         900         900              900          941.014
 2/ 7/2018 12:23:33         920         920         920         920              920          940.863
 2/ 7/2018 12:23:34         900         900         900         900              900          940.571
 2/ 7/2018 12:23:41         910         910         910         910              910          940.355
 2/ 7/2018 12:31:33         970         970         970         970              970          940.563
 2/ 7/2018 12:35:17         900         900         900         900              900           940.28
 2/ 7/2018 12:36:19         900         900         900         900              900              940
 2/ 7/2018 12:36:23         910         910         910         910              910          939.793
 2/ 7/2018 12:36:25         900         900         900         900              900          939.521
 2/ 7/2018 12:36:42         910         910         910         910              910           939.32
 2/ 7/2018 12:36:45         900         900         900         900              900          939.054
 2/ 7/2018 12:37: 5         890         890         890         890              890          938.725
 2/ 7/2018 12:37: 6         900         900         890         890              895          938.433
 2/ 7/2018 12:37:16         880         880         880         880              880          938.046
 2/ 7/2018 12:37:20         890         890         890         890              890           937.73
 2/ 7/2018 12:37:32         900         900         900         900              900          937.484
 2/ 7/2018 12:37:33         890         890         890         890              890          937.175
 2/ 7/2018 12:38:14         880         880         880         880              880          936.806
 2/ 7/2018 12:40: 7         870         870         870         870              870          936.378
 2/ 7/2018 12:40:34         880         880         880         880              880          936.019
 2/ 7/2018 12:40:48         870         870         870         870              870          935.601
 2/ 7/2018 12:40:49         880         880         880         880              880          935.252
 2/ 7/2018 12:40:52         890         890         890         890              890          934.969
 2/ 7/2018 12:40:53         880         880         880         880              880          934.627
 2/ 7/2018 12:42: 4         870         870         870         870              870          934.228
 2/ 7/2018 12:42:14         860         860         860         860              860          933.773
 2/ 7/2018 12:42:24         870         870         870         870              870          933.384
 2/ 7/2018 12:42:25         860         860         860         860              860          932.939
 2/ 7/2018 12:42:26         870         870         870         870              870           932.56
 2/ 7/2018 12:42:27         860         860         860         860              860          932.126
 2/ 7/2018 12:42:29         870         870         870         870              870          931.756
 2/ 7/2018 12:42:31         860         860         860         860              860          931.331
 2/ 7/2018 12:42:33         870         870         870         870              870          930.971
 2/ 7/2018 12:42:38         860         860         860         860              860          930.556
 2/ 7/2018 12:43:14         850         850         850         850              850          930.087
 2/ 7/2018 12:43:19         870         870         870         870              870           929.74
 2/ 7/2018 12:43:55         880         880         880         880              880          929.454
 2/ 7/2018 12:44: 6         870         870         870         870              870          929.114
 2/ 7/2018 12:44:20         880         880         880         880              880          928.835
 2/ 7/2018 12:44:50         870         870         870         870              870          928.503
 2/ 7/2018 12:46:34         880         880         880         880              880           928.23
 2/ 7/2018 12:46:35         890         890         880         880              885          927.989
 2/ 7/2018 12:50:46         890         890         890         890              890          927.778
 2/ 7/2018 12:50:47         880         880         880         880              880          927.514
 2/ 7/2018 12:52:40         870         870         870         870              870          927.198
 2/ 7/2018 12:52:41         890         890         870         870              880           926.94
 2/ 7/2018 12:52:42         880         880         880         880              880          926.685
 2/ 7/2018 12:52:49         870         870         870         870              870          926.378
 2/ 7/2018 12:52:54         880         880         880         880              880          926.129
 2/ 7/2018 12:53:25         870         870         870         870              870          925.829
 2/ 7/2018 12:53:28         890         890         870         870              880          925.585
 2/ 7/2018 12:53:31         880         880         880         880              880          925.344
 2/ 7/2018 12:53:32         870         870         870         870              870          925.053
 2/ 7/2018 12:54:39         840         840         840         840              840          924.607
 2/ 7/2018 12:55: 8         880         880         880         880              880          924.375
 2/ 7/2018 12:56:33         890         890         890         890              890          924.197
 2/ 7/2018 12:56:34         880         880         880         880              880          923.969
 2/ 7/2018 12:56:38         870         870         870         870              870          923.692
 2/ 7/2018 12:56:39         890         890         880         880              885          923.495
 2/ 7/2018 12:56:41         890         890         890         890              890          923.325
 2/ 7/2018 12:56:42         880         880         880         880              880          923.106
 2/ 7/2018 12:56:49         870         880         870         880              875          922.864
 2/ 7/2018 12:58:13         870         870         870         870              870            922.6
 2/ 7/2018 12:58:49         880         880         880         880              880          922.388
 2/ 7/2018 12:58:50         870         870         870         870              870          922.129
 2/ 7/2018 12:58:51         890         890         890         890              890           921.97
 2/ 7/2018 12:58:53         880         880         880         880              880          921.765
 2/ 7/2018 12:58:54         870         890         870         890              880          921.561
 2/ 7/2018 12:58:55         870         870         870         870              870          921.311
 2/ 7/2018 12:59:32         860         860         860         860              860          921.014
 2/ 7/2018 12:59:33         880         880         870         870              875          920.793
 2/ 7/2018 14: 0:25         870         870         870         870              870           920.55
 2/ 7/2018 14: 0:26         860         860         860         860              860          920.262
 2/ 7/2018 14: 0:39         850         850         850         850              850          919.929
 2/ 7/2018 14: 6:48         860         860         860         860              860          919.646
 2/ 7/2018 14: 6:49         850         860         850         860              855          919.343
 2/ 7/2018 14: 6:50         850         850         850         850              850          919.019
 2/ 7/2018 14: 7:23         840         850         840         850              845          918.674
 2/ 7/2018 14: 7:27         840         840         840         840              840           918.31
 2/ 7/2018 14: 7:38         830         830         830         830              830          917.903
 2/ 7/2018 14: 8: 3         820         820         820         820              820          917.454
 2/ 7/2018 14: 8:14         820         820         820         820              820          917.009
 2/ 7/2018 14: 8:48         830         830         830         830              830          916.614
 2/ 7/2018 14: 8:49         840         840         840         840              840          916.267
 2/ 7/2018 14: 8:50         830         830         830         830              830          915.878
 2/ 7/2018 14: 8:52         840         840         840         840              840          915.538
 2/ 7/2018 14: 8:53         820         820         820         820              820          915.112
 2/ 7/2018 14: 9: 4         830         830         820         820              825          914.711
 2/ 7/2018 14: 9: 7         830         830         830         830              830          914.336
 2/ 7/2018 14: 9: 8         820         830         820         830              825          913.943
 2/ 7/2018 14: 9:23         840         840         840         840              840          913.618
 2/ 7/2018 14: 9:25         830         830         830         830              830          913.253
 2/ 7/2018 14: 9:38         830         830         830         830              830          912.891
 2/ 7/2018 14:10: 0         840         840         840         840              840          912.576
 2/ 7/2018 14:10: 1         830         830         830         830              830           912.22
 2/ 7/2018 14:10:53         820         820         820         820              820          911.824
 2/ 7/2018 14:11:28         830         830         830         830              830          911.474
 2/ 7/2018 14:11:31         840         840         840         840              840           911.17
 2/ 7/2018 14:11:38         830         830         830         830              830          910.826
 2/ 7/2018 14:11:42         840         840         840         840              840          910.527
 2/ 7/2018 14:11:43         830         830         820         820              825          910.168
 2/ 7/2018 14:13:32         830         830         830         830              830          909.833
 2/ 7/2018 14:13:33         820         820         820         820              820          909.458
 2/ 7/2018 14:16: 9         830         830         830         830              830          909.129
 2/ 7/2018 14:16:26         820         820         820         820              820           908.76
 2/ 7/2018 14:17:58         830         830         830         830              830          908.436
 2/ 7/2018 14:18: 1         820         840         820         840              830          908.115
 2/ 7/2018 14:18: 2         830         830         820         820              825          907.776
 2/ 7/2018 14:18:16         730         730         730         730              730          907.053
 2/ 7/2018 14:18:48         830         830         820         820              825          906.721
 2/ 7/2018 14:19:33         830         830         830         830              830          906.411
 2/ 7/2018 14:19:42         820         840         820         840              830          906.104
 2/ 7/2018 14:19:43         820         820         820         820              820           905.76
 2/ 7/2018 14:19:59         800         800         800         800              800          905.339
 2/ 7/2018 14:20: 2         830         830         830         830              830           905.04
 2/ 7/2018 14:20: 8         840         840         830         830              835          904.763
 2/ 7/2018 14:21: 6         840         840         840         840              840          904.508
 2/ 7/2018 14:22:25         830         830         830         830              830          904.216
 2/ 7/2018 14:23:55         840         840         840         840              840          903.965
 2/ 7/2018 14:23:56         830         830         830         830              830          903.677
 2/ 7/2018 14:25: 5         820         820         820         820              820          903.353
 2/ 7/2018 14:26: 4         810         810         810         810              810          902.992
 2/ 7/2018 14:26:32         830         830         820         820              825          902.692
 2/ 7/2018 14:28: 4         830         830         830         830              830          902.414
 2/ 7/2018 14:28: 6         840         840         830         830              835          902.156
 2/ 7/2018 14:28: 7         840         840         840         840              840           901.92
 2/ 7/2018 14:28: 8         830         830         830         830              830          901.648
 2/ 7/2018 14:28:10         820         820         820         820              820           901.34
 2/ 7/2018 14:31:47         810         810         810         810              810          900.996
 2/ 7/2018 14:31:49         820         820         820         820              820          900.693
 2/ 7/2018 14:31:58         820         820         820         820              820          900.392
 2/ 7/2018 14:32: 0         830         830         810         810              820          900.093
 2/ 7/2018 14:32:19         820         820         820         820              820          899.796
 2/ 7/2018 14:32:33         810         810         810         810              810          899.465
 2/ 7/2018 14:32:41         820         820         810         810              815          899.154
 2/ 7/2018 14:32:42         820         820         820         820              820          898.864
 2/ 7/2018 14:33:14         830         830         820         820              825          898.595
 2/ 7/2018 14:34:31         830         830         820         820              825          898.327
 2/ 7/2018 14:36:37         750         750         750         750              750           897.79
 2/ 7/2018 14:38:16         830         830         830         830              830          897.545
 2/ 7/2018 14:38:17         820         820         820         820              820          897.266
 2/ 7/2018 14:38:29         810         820         810         820              815          896.971
 2/ 7/2018 14:38:30         810         810         810         810              810          896.661
 2/ 7/2018 14:38:34         820         820         810         810              815           896.37
 2/ 7/2018 14:38:46         820         820         820         820              820          896.099
 2/ 7/2018 14:39:15         790         790         790         790              790          895.724
 2/ 7/2018 14:39:51         810         810         810         810              810          895.423
 2/ 7/2018 14:41:24         830         830         830         830              830          895.193
 2/ 7/2018 14:41:25         820         820         820         820              820           894.93
 2/ 7/2018 14:42:21         830         830         830         830              830          894.704
 2/ 7/2018 14:42:22         820         830         820         830              825          894.462
 2/ 7/2018 14:42:23         820         820         820         820              820          894.204
 2/ 7/2018 14:44:47         820         820         820         820              820          893.948
 2/ 7/2018 14:46:15         830         830         830         830              830          893.729
 2/ 7/2018 14:46:27         830         830         830         830              830           893.51
 2/ 7/2018 14:52:50         840         840         840         840              840          893.328
 2/ 7/2018 14:53:18         830         830         830         830              830          893.112
 2/ 7/2018 14:54:58         830         830         830         830              830          892.898
 2/ 7/2018 14:58:28         840         840         840         840              840           892.72
 2/ 7/2018 14:58:46         830         830         830         830              830          892.508
 2/ 7/2018 15: 1:20         830         830         830         830              830          892.299
 2/ 7/2018 15: 2:22         820         820         820         820              820          892.057
 2/ 7/2018 15: 6: 8         840         840         840         840              840          891.883
 2/ 7/2018 15: 8: 1         830         830         830         830              830          891.678
 2/ 7/2018 15: 9:33         840         840         840         840              840          891.507
 2/ 7/2018 15: 9:36         830         830         830         830              830          891.304
 2/ 7/2018 15: 9:37         850         850         850         850              850          891.168
 2/ 7/2018 15: 9:38         840         840         840         840              840              891
 2/ 7/2018 15:23: 2         830         830         830         830              830          890.801
 2/ 7/2018 15:23: 3         840         840         840         840              840          890.635
 2/ 7/2018 15:23: 4         850         850         850         850              850          890.503
 2/ 7/2018 15:23: 5         830         830         830         830              830          890.307
 2/ 7/2018 15:27:51         820         820         820         820              820          890.081
 2/ 7/2018 15:28:32         830         830         830         830              830          889.887
 2/ 7/2018 15:30:31         830         830         830         830              830          889.696
 2/ 7/2018 15:30:54         820         820         820         820              820          889.473
 2/ 7/2018 15:30:55         830         830         830         830              830          889.283
 2/ 7/2018 15:30:57         820         820         820         820              820          889.063
 2/ 7/2018 15:30:58         830         830         830         830              830          888.877
 2/ 7/2018 15:30:59         840         840         840         840              840          888.722
 2/ 7/2018 15:31: 1         820         820         820         820              820          888.506
 2/ 7/2018 15:35:36         810         810         810         810              810           888.26
 2/ 7/2018 15:35:37         820         820         810         810              815          888.031
 2/ 7/2018 15:35:38         820         820         820         820              820          887.819
