         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 3         710         710         710         710              710              710
 2/ 7/2018 10: 2:22         700         700         700         700              700              705
 2/ 7/2018 10: 2:35         700         700         700         700              700          703.333
 2/ 7/2018 10: 6:50         700         700         700         700              700            702.5
 2/ 7/2018 10: 7:12         710         710         710         710              710              704
 2/ 7/2018 10:11:30         720         720         720         720              720          706.667
 2/ 7/2018 10:13: 3         710         710         710         710              710          707.143
 2/ 7/2018 10:14:42         720         720         720         720              720           708.75
 2/ 7/2018 10:17:58         710         710         710         710              710          708.889
 2/ 7/2018 10:18:41         720         720         720         720              720              710
 2/ 7/2018 10:28:14         730         730         730         730              730          711.818
 2/ 7/2018 10:28:23         740         740         740         740              740          714.167
 2/ 7/2018 10:29:15         730         730         730         730              730          715.385
 2/ 7/2018 10:32: 1         720         720         720         720              720          715.714
 2/ 7/2018 10:38:46         730         730         730         730              730          716.667
 2/ 7/2018 10:39:19         720         720         720         720              720          716.875
 2/ 7/2018 10:44:16         730         730         730         730              730          717.647
 2/ 7/2018 10:44:31         720         720         720         720              720          717.778
 2/ 7/2018 10:44:42         730         730         730         730              730          718.421
 2/ 7/2018 10:46:16         720         720         720         720              720            718.5
 2/ 7/2018 10:48:17         730         730         730         730              730          719.048
 2/ 7/2018 10:49:14         720         720         720         720              720          719.091
 2/ 7/2018 10:49:34         730         730         730         730              730          719.565
 2/ 7/2018 10:49:45         720         720         720         720              720          719.583
 2/ 7/2018 10:49:50         730         730         730         730              730              720
 2/ 7/2018 10:50: 0         720         720         720         720              720              720
 2/ 7/2018 10:50: 7         720         720         720         720              720              720
 2/ 7/2018 10:51:47         730         730         730         730              730          720.357
 2/ 7/2018 10:53:44         720         720         720         720              720          720.345
 2/ 7/2018 10:56: 2         730         730         730         730              730          720.667
 2/ 7/2018 10:57:51         720         720         720         720              720          720.645
 2/ 7/2018 11: 0: 0         730         730         730         730              730          720.938
 2/ 7/2018 11: 1: 1         730         730         730         730              730          721.212
 2/ 7/2018 11: 3:45         730         730         730         730              730          721.471
 2/ 7/2018 11: 4: 9         720         720         720         720              720          721.429
 2/ 7/2018 11: 7:24         730         730         730         730              730          721.667
 2/ 7/2018 11:10:16         720         720         720         720              720          721.622
 2/ 7/2018 11:15:15         710         710         710         710              710          721.316
 2/ 7/2018 11:15:18         720         720         720         720              720          721.282
 2/ 7/2018 11:18:12         720         720         720         720              720           721.25
 2/ 7/2018 11:19:44         710         710         710         710              710          720.976
 2/ 7/2018 11:35: 3         720         720         720         720              720          720.952
 2/ 7/2018 11:37:57         710         710         710         710              710          720.698
 2/ 7/2018 11:41: 7         720         720         720         720              720          720.682
 2/ 7/2018 11:41:52         710         710         710         710              710          720.444
 2/ 7/2018 11:58:32         720         720         720         720              720          720.435
 2/ 7/2018 12: 2:57         710         710         710         710              710          720.213
 2/ 7/2018 12: 6:16         700         700         700         700              700          719.792
 2/ 7/2018 12: 7: 6         710         710         710         710              710          719.592
 2/ 7/2018 12: 7:37         700         700         700         700              700            719.2
 2/ 7/2018 12: 8:43         710         710         710         710              710           719.02
 2/ 7/2018 12: 9: 4         700         700         700         700              700          718.654
 2/ 7/2018 12:26: 7         690         690         690         690              690          718.113
 2/ 7/2018 12:26:44         700         700         700         700              700          717.778
