         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 2         240         240         240         240              240              240
 2/ 7/2018 10: 0:34         230         230         230         230              230              235
 2/ 7/2018 10: 0:52         240         240         240         240              240          236.667
 2/ 7/2018 10: 1: 4         240         240         240         240              240            237.5
 2/ 7/2018 10: 1:55         240         240         240         240              240              238
 2/ 7/2018 10: 2:17         230         240         230         240              235            237.5
 2/ 7/2018 10: 2:26         250         250         250         250              250          239.286
 2/ 7/2018 10: 2:27         240         240         230         230              235           238.75
 2/ 7/2018 10: 2:35         230         230         230         230              230          237.778
 2/ 7/2018 10: 2:36         250         250         250         250              250              239
 2/ 7/2018 10: 2:38         230         250         230         250              240          239.091
 2/ 7/2018 10: 2:39         240         240         240         240              240          239.167
 2/ 7/2018 10: 2:43         230         230         230         230              230          238.462
 2/ 7/2018 10: 2:44         240         240         240         240              240          238.571
 2/ 7/2018 10: 2:46         240         240         240         240              240          238.667
 2/ 7/2018 10: 2:47         240         240         240         240              240           238.75
 2/ 7/2018 10: 3:43         220         220         220         220              220          237.647
 2/ 7/2018 10:11:43         230         230         230         230              230          237.222
 2/ 7/2018 10:11:46         250         250         250         250              250          237.895
 2/ 7/2018 10:11:47         240         240         240         240              240              238
 2/ 7/2018 10:16:12         230         230         230         230              230          237.619
 2/ 7/2018 10:16:27         240         240         240         240              240          237.727
 2/ 7/2018 10:16:28         230         230         230         230              230          237.391
 2/ 7/2018 10:18:44         240         240         230         230              235          237.292
 2/ 7/2018 10:18:45         240         240         240         240              240            237.4
 2/ 7/2018 10:18:46         230         230         230         230              230          237.115
 2/ 7/2018 10:18:58         240         240         240         240              240          237.222
 2/ 7/2018 10:19: 0         230         230         230         230              230          236.964
 2/ 7/2018 10:20:37         250         250         250         250              250          237.414
 2/ 7/2018 10:22:49         240         240         240         240              240            237.5
 2/ 7/2018 10:22:50         230         230         230         230              230          237.258
 2/ 7/2018 10:23:27         240         240         230         230              235          237.188
 2/ 7/2018 10:32: 5         240         240         240         240              240          237.273
 2/ 7/2018 10:32:16         240         240         240         240              240          237.353
 2/ 7/2018 10:38:42         250         250         250         250              250          237.714
 2/ 7/2018 10:38:55         240         240         240         240              240          237.778
 2/ 7/2018 10:38:57         250         250         240         240              245          237.973
 2/ 7/2018 10:40:29         250         250         250         250              250          238.289
 2/ 7/2018 10:40:30         240         240         240         240              240          238.333
 2/ 7/2018 10:42: 0         250         250         250         250              250          238.625
 2/ 7/2018 10:42: 1         240         240         240         240              240          238.659
 2/ 7/2018 10:42:13         250         250         240         240              245           238.81
 2/ 7/2018 10:42:15         250         250         250         250              250           239.07
 2/ 7/2018 10:42:18         240         240         240         240              240          239.091
 2/ 7/2018 10:43:18         250         250         250         250              250          239.333
 2/ 7/2018 10:43:19         240         240         240         240              240          239.348
 2/ 7/2018 10:45:32         230         230         230         230              230          239.149
 2/ 7/2018 10:45:34         240         240         240         240              240          239.167
 2/ 7/2018 10:45:42         240         240         240         240              240          239.184
 2/ 7/2018 10:45:43         230         230         230         230              230              239
 2/ 7/2018 10:49:15         240         240         240         240              240           239.02
 2/ 7/2018 10:49:25         240         240         240         240              240          239.038
 2/ 7/2018 10:54:22         230         230         230         230              230          238.868
 2/ 7/2018 10:54:32         230         230         230         230              230          238.704
 2/ 7/2018 10:59:10         240         240         240         240              240          238.727
 2/ 7/2018 10:59:20         240         240         240         240              240           238.75
 2/ 7/2018 11: 6:18         250         250         250         250              250          238.947
 2/ 7/2018 11: 7:59         240         240         240         240              240          238.966
 2/ 7/2018 11: 8: 0         250         250         250         250              250          239.153
 2/ 7/2018 11: 8: 9         250         250         250         250              250          239.333
 2/ 7/2018 11:12:18         260         260         260         260              260          239.672
 2/ 7/2018 11:12:58         250         250         250         250              250          239.839
 2/ 7/2018 11:12:59         260         260         260         260              260          240.159
 2/ 7/2018 11:13: 1         250         250         250         250              250          240.312
 2/ 7/2018 11:13: 2         260         260         260         260              260          240.615
 2/ 7/2018 11:14:17         270         270         260         260              265          240.985
 2/ 7/2018 11:14:18         270         270         270         270              270          241.418
 2/ 7/2018 11:14:19         270         270         270         270              270          241.838
 2/ 7/2018 11:14:20         260         260         260         260              260          242.101
 2/ 7/2018 11:14:22         270         270         270         270              270            242.5
 2/ 7/2018 11:14:24         260         260         260         260              260          242.746
 2/ 7/2018 11:18:18         270         270         270         270              270          243.125
 2/ 7/2018 11:18:21         260         260         260         260              260          243.356
 2/ 7/2018 11:21:43         270         270         270         270              270          243.716
 2/ 7/2018 11:21:45         260         260         260         260              260          243.933
 2/ 7/2018 11:22: 5         270         270         270         270              270          244.276
 2/ 7/2018 11:22: 6         260         260         260         260              260          244.481
 2/ 7/2018 11:22:25         270         270         260         260              265          244.744
