         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0: 0         110         110         110         110              110              110
 2/ 7/2018 10: 0: 3         160         160         160         160              160              135
 2/ 7/2018 10: 3:47         150         150         150         150              150              140
 2/ 7/2018 10: 4:31         150         150         150         150              150            142.5
 2/ 7/2018 10:10:55         160         160         160         160              160              146
 2/ 7/2018 10:12: 4         150         150         150         150              150          146.667
 2/ 7/2018 10:13: 3         150         150         150         150              150          147.143
 2/ 7/2018 10:13:15         150         160         150         160              155          148.125
 2/ 7/2018 10:13:40         160         160         160         160              160          149.444
 2/ 7/2018 10:14:45         160         160         160         160              160            150.5
 2/ 7/2018 10:15:31         150         150         150         150              150          150.455
 2/ 7/2018 10:15:32         150         150         150         150              150          150.417
 2/ 7/2018 10:15:33         160         160         160         160              160          151.154
 2/ 7/2018 10:15:34         150         150         150         150              150          151.071
 2/ 7/2018 10:15:35         160         160         160         160              160          151.667
 2/ 7/2018 10:15:36         150         150         150         150              150          151.562
 2/ 7/2018 10:15:37         160         160         160         160              160          152.059
 2/ 7/2018 10:15:39         150         150         150         150              150          151.944
 2/ 7/2018 10:15:40         150         150         150         150              150          151.842
 2/ 7/2018 10:15:42         160         160         160         160              160           152.25
 2/ 7/2018 10:15:49         150         150         150         150              150          152.143
 2/ 7/2018 10:15:51         160         160         160         160              160            152.5
 2/ 7/2018 10:16: 2         150         150         150         150              150          152.391
 2/ 7/2018 10:16: 3         160         160         160         160              160          152.708
 2/ 7/2018 10:16: 7         150         150         150         150              150            152.6
 2/ 7/2018 10:24: 2         130         130         130         130              130          151.731
 2/ 7/2018 10:28:14         150         150         150         150              150          151.667
 2/ 7/2018 10:31:40         160         160         160         160              160          151.964
 2/ 7/2018 10:35:11         150         150         150         150              150          151.897
 2/ 7/2018 10:39:43         160         160         160         160              160          152.167
 2/ 7/2018 10:48:21         130         130         130         130              130          151.452
 2/ 7/2018 10:49: 1         160         160         160         160              160          151.719
 2/ 7/2018 10:50:14         170         170         170         170              170          152.273
 2/ 7/2018 11:12:51         150         150         150         150              150          152.206
 2/ 7/2018 11:15:40         150         150         150         150              150          152.143
 2/ 7/2018 11:47:55         170         170         170         170              170          152.639
 2/ 7/2018 11:48:55         170         170         170         170              170          153.108
 2/ 7/2018 11:51: 1         150         150         150         150              150          153.026
 2/ 7/2018 11:51:34         160         160         160         160              160          153.205
 2/ 7/2018 11:53: 3         160         160         160         160              160          153.375
 2/ 7/2018 11:53:32         170         170         170         170              170           153.78
 2/ 7/2018 11:54:12         160         160         160         160              160          153.929
 2/ 7/2018 11:55:34         170         170         170         170              170          154.302
 2/ 7/2018 12:17:29         160         160         160         160              160          154.432
 2/ 7/2018 12:19:16         170         170         170         170              170          154.778
 2/ 7/2018 12:20:16         160         160         160         160              160          154.891
 2/ 7/2018 12:36:53         150         150         150         150              150          154.787
 2/ 7/2018 12:44:33         160         160         160         160              160          154.896
 2/ 7/2018 14: 0: 0         170         170         170         170              170          155.204
 2/ 7/2018 14: 0: 1         160         160         160         160              160            155.3
 2/ 7/2018 14: 0: 2         170         170         170         170              170          155.588
 2/ 7/2018 14: 0: 5         160         160         160         160              160          155.673
 2/ 7/2018 14: 0: 6         170         170         170         170              170          155.943
 2/ 7/2018 14: 0: 7         170         170         170         170              170          156.204
 2/ 7/2018 14: 0: 8         160         160         160         160              160          156.273
 2/ 7/2018 14: 0: 9         170         170         170         170              170          156.518
 2/ 7/2018 14: 0:11         160         160         160         160              160          156.579
 2/ 7/2018 14: 0:12         170         170         170         170              170           156.81
 2/ 7/2018 14: 0:21         160         160         160         160              160          156.864
 2/ 7/2018 14: 0:22         170         170         170         170              170          157.083
 2/ 7/2018 14: 0:30         160         160         160         160              160          157.131
 2/ 7/2018 14: 0:31         170         170         170         170              170          157.339
 2/ 7/2018 14: 0:34         160         160         160         160              160          157.381
 2/ 7/2018 14: 0:35         170         170         170         170              170          157.578
 2/ 7/2018 14: 0:40         170         170         170         170              170          157.769
 2/ 7/2018 14: 0:51         160         160         160         160              160          157.803
 2/ 7/2018 14: 1:20         160         170         160         170              165           157.91
 2/ 7/2018 14: 1:42         160         160         160         160              160          157.941
 2/ 7/2018 14: 1:43         170         170         170         170              170          158.116
 2/ 7/2018 14: 1:44         170         170         170         170              170          158.286
 2/ 7/2018 14: 1:45         170         170         170         170              170          158.451
 2/ 7/2018 14: 2: 6         160         160         160         160              160          158.472
 2/ 7/2018 14: 2: 7         170         170         170         170              170           158.63
 2/ 7/2018 14: 2:18         160         160         160         160              160          158.649
 2/ 7/2018 14:16:35         150         150         150         150              150          158.533
 2/ 7/2018 14:20:34         160         160         160         160              160          158.553
 2/ 7/2018 14:28:26         160         160         160         160              160          158.571
 2/ 7/2018 16: 6:49         170         170         170         170              170          158.718
 2/ 7/2018 16:31:16         150         160         150         160              155          158.671
 2/ 7/2018 16:32: 1         150         150         150         150              150          158.562
 2/ 7/2018 16:32:23         160         160         160         160              160           158.58
 2/ 7/2018 16:32:46         150         150         150         150              150          158.476
 2/ 7/2018 16:32:58         150         150         150         150              150          158.373
 2/ 7/2018 16:32:59         150         150         150         150              150          158.274
 2/ 7/2018 16:33:31         160         160         160         160              160          158.294
 2/ 7/2018 16:33:55         160         160         160         160              160          158.314
 2/ 7/2018 16:34:46         150         150         150         150              150          158.218
 2/ 7/2018 16:38:32         150         150         150         150              150          158.125
 2/ 7/2018 16:44: 2         150         150         150         150              150          158.034
 2/ 7/2018 16:44:37         140         140         140         140              140          157.833
 2/ 7/2018 16:47:10         160         160         160         160              160          157.857
 2/ 7/2018 16:50:25         150         150         150         150              150          157.772
 2/ 7/2018 16:51:26         150         150         150         150              150          157.688
 2/ 7/2018 16:51:44         160         160         160         160              160          157.713
 2/ 7/2018 16:53:58         150         150         150         150              150          157.632
 2/ 7/2018 16:54:27         160         160         160         160              160          157.656
 2/ 7/2018 16:57:33         140         140         140         140              140          157.474
 2/ 7/2018 16:59:27         150         150         150         150              150          157.398
 2/ 7/2018 17: 0:34         160         160         160         160              160          157.424
 2/ 7/2018 17: 1: 9         170         170         150         150              160           157.45
 2/ 7/2018 17: 1:11         170         170         170         170              170          157.574
 2/ 7/2018 17: 1:51         160         160         160         160              160          157.598
 2/ 7/2018 17: 1:52         160         160         160         160              160          157.621
 2/ 7/2018 17: 1:53         170         170         160         160              165          157.692
 2/ 7/2018 17: 1:54         160         160         160         160              160          157.714
