         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0:24        1440        1440        1440        1440             1440             1440
 2/ 7/2018 10: 0:25        1430        1430        1430        1430             1430             1435
 2/ 7/2018 10: 0:26        1440        1440        1440        1440             1440          1436.67
 2/ 7/2018 10: 0:27        1430        1430        1430        1430             1430             1435
 2/ 7/2018 10: 2:15        1440        1440        1440        1440             1440             1436
 2/ 7/2018 10: 2:18        1430        1430        1430        1430             1430             1435
 2/ 7/2018 10: 2:19        1440        1440        1440        1440             1440          1435.71
 2/ 7/2018 10: 2:20        1430        1430        1430        1430             1430             1435
 2/ 7/2018 10: 2:24        1440        1440        1440        1440             1440          1435.56
 2/ 7/2018 10: 2:27        1430        1430        1430        1430             1430             1435
 2/ 7/2018 10: 2:44        1420        1420        1420        1420             1420          1433.64
 2/ 7/2018 10: 2:45        1430        1430        1430        1430             1430          1433.33
 2/ 7/2018 10: 3:34        1420        1420        1420        1420             1420          1432.31
 2/ 7/2018 10: 4:44        1430        1430        1430        1430             1430          1432.14
 2/ 7/2018 10: 4:45        1420        1420        1420        1420             1420          1431.33
 2/ 7/2018 10: 4:50        1430        1430        1430        1430             1430          1431.25
 2/ 7/2018 10: 4:51        1420        1420        1420        1420             1420          1430.59
 2/ 7/2018 10: 4:53        1430        1430        1430        1430             1430          1430.56
 2/ 7/2018 10: 5: 0        1410        1410        1410        1410             1410          1429.47
 2/ 7/2018 10: 5: 1        1430        1430        1430        1430             1430           1429.5
 2/ 7/2018 10: 5:11        1420        1420        1420        1420             1420          1429.05
 2/ 7/2018 10: 5:22        1430        1430        1430        1430             1430          1429.09
 2/ 7/2018 10: 6:33        1420        1420        1420        1420             1420           1428.7
 2/ 7/2018 10: 6:38        1430        1430        1430        1430             1430          1428.75
 2/ 7/2018 10: 7: 7        1440        1440        1440        1440             1440           1429.2
 2/ 7/2018 10: 7: 8        1430        1430        1430        1430             1430          1429.23
 2/ 7/2018 10: 7:12        1440        1440        1440        1440             1440          1429.63
 2/ 7/2018 10: 7:18        1450        1450        1450        1450             1450          1430.36
 2/ 7/2018 10: 7:20        1440        1440        1440        1440             1440          1430.69
 2/ 7/2018 10: 7:21        1450        1450        1450        1450             1450          1431.33
 2/ 7/2018 10: 7:26        1440        1440        1440        1440             1440          1431.61
 2/ 7/2018 10: 7:28        1450        1450        1450        1450             1450          1432.19
 2/ 7/2018 10: 7:37        1440        1440        1440        1440             1440          1432.42
 2/ 7/2018 10: 8:10        1450        1450        1450        1450             1450          1432.94
 2/ 7/2018 10: 8:11        1440        1440        1440        1440             1440          1433.14
 2/ 7/2018 10: 8:13        1450        1450        1450        1450             1450          1433.61
 2/ 7/2018 10: 8:14        1440        1440        1440        1440             1440          1433.78
 2/ 7/2018 10: 8:21        1450        1450        1450        1450             1450          1434.21
 2/ 7/2018 10: 8:22        1440        1440        1440        1440             1440          1434.36
 2/ 7/2018 10: 9:47        1430        1430        1430        1430             1430          1434.25
 2/ 7/2018 10: 9:48        1440        1440        1440        1440             1440          1434.39
 2/ 7/2018 10:10: 0        1420        1420        1420        1420             1420          1434.05
 2/ 7/2018 10:10: 1        1440        1440        1440        1440             1440          1434.19
 2/ 7/2018 10:10: 2        1430        1430        1430        1430             1430          1434.09
 2/ 7/2018 10:10: 4        1450        1450        1450        1450             1450          1434.44
 2/ 7/2018 10:10: 5        1440        1440        1440        1440             1440          1434.57
