         Date              Open        High         Low       Close    Typical Price            TWAP
 2/ 7/2018 10: 0:30         180         180         180         180              180              180
 2/ 7/2018 10:16:52         190         190         190         190              190              185
 2/ 7/2018 10:35:51         180         180         180         180              180          183.333
 2/ 7/2018 11:19:27         190         190         190         190              190              185
 2/ 7/2018 11:19:32         190         190         190         190              190              186
 2/ 7/2018 11:19:33         190         190         190         190              190          186.667
 2/ 7/2018 11:19:41         190         190         170         170              180          185.714
 2/ 7/2018 11:21: 7         170         170         170         170              170           183.75
 2/ 7/2018 11:21: 8         170         190         170         190              180          183.333
 2/ 7/2018 11:21:14         180         180         180         180              180              183
 2/ 7/2018 11:21:17         190         190         190         190              190          183.636
 2/ 7/2018 11:21:18         180         180         180         180              180          183.333
 2/ 7/2018 11:21:28         190         190         190         190              190          183.846
 2/ 7/2018 11:21:29         190         190         170         170              180          183.571
 2/ 7/2018 11:22:49         170         190         170         190              180          183.333
 2/ 7/2018 11:23: 9         180         180         180         180              180          183.125
 2/ 7/2018 12:29:15         190         190         190         190              190          183.529
 2/ 7/2018 12:34: 9         200         200         200         200              200          184.444
 2/ 7/2018 12:34:48         180         180         180         180              180          184.211
 2/ 7/2018 12:34:49         200         200         200         200              200              185
 2/ 7/2018 12:35: 3         180         180         180         180              180          184.762
 2/ 7/2018 12:35: 4         200         200         200         200              200          185.455
 2/ 7/2018 12:35:11         180         180         180         180              180          185.217
 2/ 7/2018 12:43:37         190         190         190         190              190          185.417
 2/ 7/2018 14: 0:21         190         190         190         190              190            185.6
 2/ 7/2018 14:24:37         180         180         180         180              180          185.385
 2/ 7/2018 14:25:18         190         190         190         190              190          185.556
 2/ 7/2018 14:31:29         180         180         180         180              180          185.357
 2/ 7/2018 14:40: 9         190         190         190         190              190          185.517
 2/ 7/2018 16: 6:26         200         200         200         200              200              186
 2/ 7/2018 16: 6:27         210         210         210         210              210          186.774
 2/ 7/2018 16: 6:28         200         200         200         200              200          187.188
 2/ 7/2018 17: 9:55         190         190         190         190              190          187.273
 2/ 7/2018 17: 9:56         210         210         190         190              200          187.647
 2/ 7/2018 17:11:44         200         200         200         200              200              188
