         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 14:46:15         260         260         260         260       25000              260     6500000   482666664     1750000           275.81
 2/ 7/2018 15:27:51         250         250         250         250       25000              250     6250000   488916664     1775000          275.446
 2/ 7/2018 15:30:31         260         260         260         260       25000              260     6500000   495416664     1800000          275.231
 2/ 7/2018 15:30:54         250         250         250         250       25000              250     6250000   501666664     1825000          274.886
 2/ 7/2018 15:30:55         260         260         260         260       25000              260     6500000   508166664     1850000          274.685
 2/ 7/2018 15:30:57         250         250         250         250       25000              250     6250000   514416664     1875000          274.356
 2/ 7/2018 15:30:58         260         260         260         260       25000              260     6500000   520916664     1900000          274.167
 2/ 7/2018 15:31: 1         250         250         250         250       25000              250     6250000   527166664     1925000          273.853
 2/ 7/2018 15:55: 1         260         260         260         260       25000              260     6500000   533666664     1950000          273.675
 2/ 7/2018 16: 6:43         270         270         270         270       25000              270     6750000   540416664     1975000          273.629
 2/ 7/2018 16: 7:11         260         260         260         260       25000              260     6500000   546916664     2000000          273.458
 2/ 7/2018 16: 7:21         270         270         270         270       25000              270     6750000   553666664     2025000          273.416
 2/ 7/2018 16: 7:22         260         260         260         260       25000              260     6500000   560166664     2050000          273.252
 2/ 7/2018 16: 8: 5         270         270         270         270       25000              270     6750000   566916664     2075000          273.213
 2/ 7/2018 16: 8:57         260         260         260         260       25000              260     6500000   573416664     2100000          273.056
 2/ 7/2018 16: 9:26         270         270         270         270       25000              270     6750000   580166664     2125000           273.02
 2/ 7/2018 16: 9:39         260         260         260         260       25000              260     6500000   586666664     2150000          272.868
 2/ 7/2018 16: 9:40         270         270         270         270       25000              270     6750000   593416664     2175000          272.835
 2/ 7/2018 16:11:49         260         260         260         260       25000              260     6500000   599916664     2200000          272.689
 2/ 7/2018 16:12:10         270         270         270         270       25000              270     6750000   606666664     2225000          272.659
 2/ 7/2018 16:12:11         260         260         260         260       25000              260     6500000   613166664     2250000          272.519
 2/ 7/2018 16:12:12         270         270         270         270       25000              270     6750000   619916664     2275000          272.491
 2/ 7/2018 16:18:37         260         260         260         260       25000              260     6500000   626416664     2300000          272.355
 2/ 7/2018 16:18:38         270         270         270         270       25000              270     6750000   633166664     2325000           272.33
 2/ 7/2018 16:31:37         260         260         260         260       25000              260     6500000   639666664     2350000          272.199
 2/ 7/2018 17:23: 4         250         250         250         250       25000              250     6250000   645916664     2375000          271.965
 2/ 7/2018 17:23:46         260         260         260         260       25000              260     6500000   652416664     2400000           271.84
 2/ 7/2018 17:24:41         250         250         250         250       25000              250     6250000   658666664     2425000          271.615
 2/ 7/2018 17:24:42         260         260         250         250       25000          253.333     6333333   664999997     2450000          271.429
 2/ 7/2018 17:26:36         260         260         260         260       25000              260     6500000   671499997     2475000          271.313
 2/ 7/2018 17:29:48         250         250         250         250       25000              250     6250000   677749997     2500000            271.1
 2/ 7/2018 17:31:38         260         260         250         250       25000          253.333     6333333   684083330     2525000          270.924
 2/ 7/2018 17:31:42         260         260         260         260       25000              260     6500000   690583330     2550000          270.817
 2/ 7/2018 17:31:43         250         250         250         250       25000              250     6250000   696833330     2575000          270.615
 2/ 7/2018 17:31:51         260         260         260         260       25000              260     6500000   703333330     2600000          270.513
 2/ 7/2018 17:33:54         250         250         250         250       25000              250     6250000   709583330     2625000          270.317
 2/ 7/2018 17:36:41         240         240         240         240       25000              240     6000000   715583330     2650000          270.031
 2/ 7/2018 17:36:44         250         250         250         250       25000              250     6250000   721833330     2675000          269.844
 2/ 7/2018 17:42:11         240         240         240         240       25000              240     6000000   727833330     2700000          269.568
 2/ 7/2018 17:42:41         250         250         250         250       25000              250     6250000   734083330     2725000          269.388
 2/ 7/2018 17:42:46         240         240         240         240       25000              240     6000000   740083330     2750000          269.121
 2/ 7/2018 17:43:29         250         250         250         250       25000              250     6250000   746333330     2775000          268.949
 2/ 7/2018 17:44:21         240         250         240         250       25000          246.667     6166666   752499996     2800000           268.75
 2/ 7/2018 17:44:22         240         240         240         240       25000              240     6000000   758499996     2825000          268.496
 2/ 7/2018 17:44:47         250         250         250         250       25000              250     6250000   764749996     2850000          268.333
 2/ 7/2018 17:44:51         240         240         240         240       25000              240     6000000   770749996     2875000          268.087
 2/ 7/2018 17:46:13         250         250         250         250       25000              250     6250000   776999996     2900000          267.931
 2/ 7/2018 17:49:14         240         240         240         240       25000              240     6000000   782999996     2925000          267.692
 2/ 7/2018 17:50: 9         250         250         250         250       25000              250     6250000   789249996     2950000          267.542
 2/ 7/2018 17:50:36         240         250         240         250       25000          246.667     6166666   795416662     2975000          267.367
 2/ 7/2018 17:50:37         240         240         240         240       25000              240     6000000   801416662     3000000          267.139
 2/ 7/2018 17:51: 8         250         250         250         250       25000              250     6250000   807666662     3025000          266.997
 2/ 7/2018 17:51:32         240         240         240         240       25000              240     6000000   813666662     3050000          266.776
 2/ 7/2018 17:52: 3         250         250         250         250       25000              250     6250000   819916662     3075000           266.64
 2/ 7/2018 17:57:14         240         240         240         240       25000              240     6000000   825916662     3100000          266.425
 2/ 7/2018 17:58:56         250         250         250         250       25000              250     6250000   832166662     3125000          266.293
