         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0:24         300         300         300         300      100000              300    30000000    30000000      100000              300
 2/ 7/2018 14: 0:31         300         300         300         300      100000              300    30000000    60000000      200000              300
 2/ 7/2018 15: 7: 3         290         290         290         290      100000              290    29000000    89000000      300000          296.667
 2/ 7/2018 15: 8:34         300         300         300         300      100000              300    30000000   119000000      400000            297.5
 2/ 7/2018 15: 8:35         290         290         290         290      100000              290    29000000   148000000      500000              296
 2/ 7/2018 15:27:52         300         300         300         300      100000              300    30000000   178000000      600000          296.667
 2/ 7/2018 15:27:56         290         290         290         290      100000              290    29000000   207000000      700000          295.714
 2/ 7/2018 15:27:58         300         300         300         300      100000              300    30000000   237000000      800000           296.25
 2/ 7/2018 15:28: 1         290         290         290         290      100000              290    29000000   266000000      900000          295.556
 2/ 7/2018 15:28: 2         300         300         300         300      100000              300    30000000   296000000     1000000              296
 2/ 7/2018 15:28: 4         290         290         290         290      100000              290    29000000   325000000     1100000          295.455
 2/ 7/2018 15:28: 5         300         300         300         300      100000              300    30000000   355000000     1200000          295.833
 2/ 7/2018 15:28:23         290         290         290         290      100000              290    29000000   384000000     1300000          295.385
 2/ 7/2018 15:29:38         300         300         300         300      100000              300    30000000   414000000     1400000          295.714
 2/ 7/2018 15:47:59         290         290         290         290      100000              290    29000000   443000000     1500000          295.333
 2/ 7/2018 15:48: 0         300         300         300         300      100000              300    30000000   473000000     1600000          295.625
 2/ 7/2018 15:48:27         290         290         290         290      100000              290    29000000   502000000     1700000          295.294
 2/ 7/2018 15:53:26         300         300         300         300      100000              300    30000000   532000000     1800000          295.556
 2/ 7/2018 15:53:28         290         290         290         290      100000              290    29000000   561000000     1900000          295.263
 2/ 7/2018 15:53:29         300         300         300         300      100000              300    30000000   591000000     2000000            295.5
 2/ 7/2018 15:53:35         290         290         290         290      100000              290    29000000   620000000     2100000          295.238
 2/ 7/2018 15:53:36         300         300         300         300      100000              300    30000000   650000000     2200000          295.455
 2/ 7/2018 15:53:40         290         290         290         290      100000              290    29000000   679000000     2300000          295.217
 2/ 7/2018 15:53:42         300         300         300         300      100000              300    30000000   709000000     2400000          295.417
