         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0:30         210         210         210         210       25000              210     5250000     5250000       25000              210
 2/ 7/2018 10: 0:34         190         190         190         190       50000              190     9500000    14750000       75000          196.667
 2/ 7/2018 10:10: 5         200         200         200         200       49999              200     9999800    24749800      124999              198
 2/ 7/2018 10:10: 6         190         190         190         190       49999              190     9499810    34249610      174998          195.714
 2/ 7/2018 10:10:19         200         200         200         200       49999              200     9999800    44249410      224997          196.667
 2/ 7/2018 10:10:25         190         190         190         190       49999              190     9499810    53749220      274996          195.455
 2/ 7/2018 10:17:38         180         180         180         180       49999              180     8999820    62749040      324995          193.077
 2/ 7/2018 10:18: 0         190         190         180         180       49999          183.333     9166483    71915523      374994          191.778
 2/ 7/2018 10:18: 1         190         190         190         190       49999              190     9499810    81415333      424993          191.569
 2/ 7/2018 10:18: 2         180         180         180         180       49999              180     8999820    90415153      474992          190.351
 2/ 7/2018 10:18: 6         190         190         190         190       49999              190     9499810    99914963      524991          190.317
 2/ 7/2018 10:18: 7         180         180         180         180       49999              180     8999820   108914783      574990           189.42
 2/ 7/2018 10:20:28         190         190         190         190       49999              190     9499810   118414593      624989          189.467
 2/ 7/2018 10:21:12         180         180         180         180       49999              180     8999820   127414413      674988          188.765
 2/ 7/2018 10:21:16         190         190         190         190       49999              190     9499810   136914223      724987          188.851
 2/ 7/2018 10:21:43         180         180         180         180       49999              180     8999820   145914043      774986           188.28
 2/ 7/2018 10:23:47         200         200         200         200       49999              200     9999800   155913843      824985           188.99
 2/ 7/2018 10:23:48         190         190         190         190       49999              190     9499810   165413653      874984          189.048
 2/ 7/2018 10:23:57         180         180         180         180       49999              180     8999820   174413473      924983          188.559
 2/ 7/2018 10:24: 0         200         200         200         200       49999              200     9999800   184413273      974982          189.145
 2/ 7/2018 10:24: 6         180         180         180         180       49999              180     8999820   193413093     1024981          188.699
 2/ 7/2018 10:24:56         200         200         200         200       49999              200     9999800   203412893     1074980          189.225
 2/ 7/2018 10:25: 0         190         190         190         190       49999              190     9499810   212912703     1124979          189.259
