         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0: 3         160         160         160         160       50000              160     8000000     8000000       50000              160
 2/ 7/2018 10: 5:19         170         170         170         170       50000              170     8500000    16500000      100000              165
 2/ 7/2018 10: 5:20         160         160         160         160       50000              160     8000000    24500000      150000          163.333
 2/ 7/2018 10: 5:35         170         170         170         170       50000              170     8500000    33000000      200000              165
 2/ 7/2018 10:12:10         160         160         160         160       50000              160     8000000    41000000      250000              164
 2/ 7/2018 10:12:26         170         170         170         170       50000              170     8500000    49500000      300000              165
 2/ 7/2018 10:12:28         160         160         160         160       50000              160     8000000    57500000      350000          164.286
 2/ 7/2018 10:16:41         170         170         170         170       50000              170     8500000    66000000      400000              165
 2/ 7/2018 10:28:14         170         170         170         170       50000              170     8500000    74500000      450000          165.556
 2/ 7/2018 12:16:55         160         160         160         160       50000              160     8000000    82500000      500000              165
 2/ 7/2018 12:17:51         170         170         170         170       50000              170     8500000    91000000      550000          165.455
 2/ 7/2018 12:18:44         160         160         160         160       50000              160     8000000    99000000      600000              165
 2/ 7/2018 12:30:54         150         150         150         150       50000              150     7500000   106500000      650000          163.846
 2/ 7/2018 12:30:56         160         160         160         160       50000              160     8000000   114500000      700000          163.571
 2/ 7/2018 12:30:57         160         160         160         160       50000              160     8000000   122500000      750000          163.333
 2/ 7/2018 12:30:58         150         150         150         150       50000              150     7500000   130000000      800000            162.5
 2/ 7/2018 12:31: 0         160         160         160         160       50000              160     8000000   138000000      850000          162.353
 2/ 7/2018 12:31: 3         150         150         150         150       50000              150     7500000   145500000      900000          161.667
 2/ 7/2018 12:31:38         160         160         160         160       50000              160     8000000   153500000      950000          161.579
 2/ 7/2018 12:33:21         150         150         150         150       50000              150     7500000   161000000     1000000              161
 2/ 7/2018 12:35:36         160         160         160         160       50000              160     8000000   169000000     1050000          160.952
 2/ 7/2018 12:35:43         150         150         150         150       50000              150     7500000   176500000     1100000          160.455
 2/ 7/2018 12:35:44         160         160         160         160       50000              160     8000000   184500000     1150000          160.435
 2/ 7/2018 12:37: 2         150         150         150         150       50000              150     7500000   192000000     1200000              160
 2/ 7/2018 12:39: 9         160         160         160         160       50000              160     8000000   200000000     1250000              160
 2/ 7/2018 12:39:10         150         150         150         150       50000              150     7500000   207500000     1300000          159.615
 2/ 7/2018 12:39:42         160         160         160         160       50000              160     8000000   215500000     1350000           159.63
 2/ 7/2018 12:40:18         150         150         150         150       50000              150     7500000   223000000     1400000          159.286
 2/ 7/2018 12:50:34         160         160         160         160       50000              160     8000000   231000000     1450000           159.31
 2/ 7/2018 14: 0: 0         160         160         160         160       50000              160     8000000   239000000     1500000          159.333
 2/ 7/2018 14:13:10         150         150         150         150       50000              150     7500000   246500000     1550000          159.032
 2/ 7/2018 14:13:53         160         160         160         160       50000              160     8000000   254500000     1600000          159.062
 2/ 7/2018 14:14:39         150         150         150         150       50000              150     7500000   262000000     1650000          158.788
 2/ 7/2018 14:15:39         160         160         160         160       50000              160     8000000   270000000     1700000          158.824
 2/ 7/2018 14:18: 9         150         150         150         150       50000              150     7500000   277500000     1750000          158.571
 2/ 7/2018 14:18:13         160         160         160         160       50000              160     8000000   285500000     1800000          158.611
 2/ 7/2018 14:18:39         150         150         150         150       50000              150     7500000   293000000     1850000          158.378
 2/ 7/2018 14:19:33         160         160         160         160       50000              160     8000000   301000000     1900000          158.421
 2/ 7/2018 14:19:39         150         150         150         150       50000              150     7500000   308500000     1950000          158.205
 2/ 7/2018 14:20:37         160         160         160         160       50000              160     8000000   316500000     2000000           158.25
 2/ 7/2018 14:22: 7         150         150         150         150       50000              150     7500000   324000000     2050000          158.049
 2/ 7/2018 14:40:37         160         160         160         160       50000              160     8000000   332000000     2100000          158.095
 2/ 7/2018 14:57:45         170         170         170         170       50000              170     8500000   340500000     2150000          158.372
 2/ 7/2018 14:58:23         160         160         160         160       50000              160     8000000   348500000     2200000          158.409
 2/ 7/2018 14:58:29         170         170         170         170       50000              170     8500000   357000000     2250000          158.667
 2/ 7/2018 14:58:31         160         160         160         160       50000              160     8000000   365000000     2300000          158.696
