         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
10/ 7/2018  0: 2: 3          50          50          50          50      100000                50     5000000     5000000      100000          50           1
10/ 7/2018 27: 2:54          50          50          50          50      100000                50     5000000    10000000      200000          50           1
10/ 7/2018 40: 2:52          60          60          60          60        1000                60       60000    10060000      201000     50.0498           1
14/ 7/2018  0: 2: 1          50          50          50          50      100000                50     5000000    15060000      301000     50.0332           1
15/ 7/2018 31: 2:32          40          40          40          40      100000                40     4000000    19060000      401000     47.5312           1
15/ 7/2018 31: 2:33          50          50          50          50      100000                50     5000000    24060000      501000      48.024           1
15/ 7/2018 34: 2:25          40          40          40          40      100000                40     4000000    28060000      601000     46.6889           1
15/ 7/2018 34: 2:26          50          50          50          50      100000                50     5000000    33060000      701000     47.1612           1
16/ 7/2018 35: 2:39          40          40          40          40      100000                40     4000000    37060000      801000     46.2672           1
16/ 7/2018 35: 2:48          50          50          50          50      100000                50     5000000    42060000      901000     46.6815           1
16/ 7/2018 36: 2: 5          40          40          40          40      100000                40     4000000    46060000     1001000      46.014           1
16/ 7/2018 42: 2:49          50          50          50          50      100000                50     5000000    51060000     1101000      46.376           1
16/ 7/2018 42: 2:50          50          50          50          50      100000                50     5000000    56060000     1201000     46.6778           1
16/ 7/2018 42: 2:55          40          40          40          40      100000                40     4000000    60060000     1301000     46.1645           1
16/ 7/2018 42: 2:59          50          50          50          50      100000                50     5000000    65060000     1401000     46.4383           1
16/ 7/2018 43: 2: 1          40          40          40          40      100000                40     4000000    69060000     1501000     46.0093           1
16/ 7/2018 43: 2: 2          50          50          50          50      100000                50     5000000    74060000     1601000     46.2586           1
16/ 7/2018 43: 2: 4          40          40          40          40      100000                40     4000000    78060000     1701000     45.8907           1
16/ 7/2018 43: 2:11          50          50          50          50      100000                50     5000000    83060000     1801000     46.1188           1
16/ 7/2018 44: 2: 1          40          40          40          40      100000                40     4000000    87060000     1901000     45.7969           1
16/ 7/2018 44: 2: 2          50          50          50          50      100000                50     5000000    92060000     2001000      46.007           1
16/ 7/2018 44: 2: 5          40          40          40          40      100000                40     4000000    96060000     2101000     45.7211           1
16/ 7/2018 44: 2:17          50          50          50          50      100000                50     5000000   101060000     2201000     45.9155           1
16/ 7/2018 44: 2:18          50          50          50          50      100000                50     5000000   106060000     2301000      46.093           1
16/ 7/2018 44: 2:25          40          40          40          40      100000                40     4000000   110060000     2401000     45.8392           1
16/ 7/2018 44: 2:26          50          50          50          50      100000                50     5000000   115060000     2501000     46.0056           1
16/ 7/2018 44: 2:31          40          40          40          40      100000                40     4000000   119060000     2601000     45.7747           1
16/ 7/2018 44: 2:32          40          40          40          40      100000                40     4000000   123060000     2701000     45.5609           1
16/ 7/2018 44: 2:39          50          50          50          50      100000                50     5000000   128060000     2801000     45.7194           1
16/ 7/2018 44: 2:40          40          40          40          40      100000                40     4000000   132060000     2901000     45.5222           1
16/ 7/2018 44: 2:41          50          50          50          50      100000                50     5000000   137060000     3001000     45.6714           1
16/ 7/2018 44: 2:45          40          40          40          40      100000                40     4000000   141060000     3101000     45.4886           1
16/ 7/2018 44: 2:47          50          50          50          50      100000                50     5000000   146060000     3201000     45.6295           1
16/ 7/2018 44: 2:48          40          40          40          40      100000                40     4000000   150060000     3301000      45.459           1
16/ 7/2018 44: 2:52          50          50          50          50      100000                50     5000000   155060000     3401000     45.5925           1
16/ 7/2018 44: 2:53          50          50          50          50      100000                50     5000000   160060000     3501000     45.7184           1
16/ 7/2018 44: 2:54          50          50          50          50      100000                50     5000000   165060000     3601000     45.8373           1
16/ 7/2018 44: 2:55          40          40          40          40      100000                40     4000000   169060000     3701000     45.6795           1
16/ 7/2018 44: 2:56          50          50          50          50      100000                50     5000000   174060000     3801000     45.7932           1
16/ 7/2018 45: 2: 0          40          40          40          40      100000                40     4000000   178060000     3901000     45.6447           1
16/ 7/2018 45: 2: 4          50          50          50          50      100000                50     5000000   183060000     4001000     45.7536           1
16/ 7/2018 45: 2:17          40          40          40          40      100000                40     4000000   187060000     4101000     45.6133           1
16/ 7/2018 48: 2:56          50          50          50          50      100000                50     5000000   192060000     4201000     45.7177           1
16/ 7/2018 48: 2:57          40          40          40          40      100000                40     4000000   196060000     4301000     45.5847           1
16/ 7/2018 51: 2:21          50          50          50          50      100000                50     5000000   201060000     4401000     45.6851           1
16/ 7/2018 51: 2:42          40          40          40          40      100000                40     4000000   205060000     4501000     45.5588           1
16/ 7/2018 52: 2:28          50          50          50          50      100000                50     5000000   210060000     4601000     45.6553           1
16/ 7/2018 52: 2:57          40          40          40          40      100000                40     4000000   214060000     4701000      45.535           1
16/ 7/2018 52: 2:58          50          50          50          50      100000                50     5000000   219060000     4801000      45.628           1
16/ 7/2018 53: 2: 9          40          40          40          40      100000                40     4000000   223060000     4901000     45.5132           1
16/ 7/2018 53: 2:23          50          50          50          50      100000                50     5000000   228060000     5001000     45.6029           1
16/ 7/2018 54: 2:11          40          40          40          40      100000                40     4000000   232060000     5101000      45.493           1
16/ 7/2018 54: 2:14          50          50          50          50      100000                50     5000000   237060000     5201000     45.5797           1
16/ 7/2018 54: 2:18          40          40          40          40      100000                40     4000000   241060000     5301000     45.4744           1
16/ 7/2018 54: 2:19          50          50          50          50      100000                50     5000000   246060000     5401000     45.5582           1
16/ 7/2018 54: 2:25          40          40          40          40      100000                40     4000000   250060000     5501000     45.4572           1
16/ 7/2018 54: 2:29          50          50          50          50      100000                50     5000000   255060000     5601000     45.5383           1
16/ 7/2018 54: 2:32          40          40          40          40      100000                40     4000000   259060000     5701000     45.4412           1
16/ 7/2018 54: 2:34          50          50          50          50      100000                50     5000000   264060000     5801000     45.5197           1
