         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
 9/ 7/2018 55: 2: 1        3370        4050        3370        3350          20              3590       71800       71800          20        3590         310
10/ 7/2018  2: 2:37        3420        3420        3420        3420          24              3420       82080   789592998      233242      3385.3           1
10/ 7/2018  2: 2:38        3390        3390        3390        3390        5429              3390    18404310   807997308      238671      3385.4           1
10/ 7/2018  2: 2:53        3460        3460        3460        3460        1000              3460     3460000   811457308      239671     3385.71           1
10/ 7/2018  3: 2: 7        3390        3390        3390        3390       10683              3390    36215370   847672678      250354      3385.9           1
10/ 7/2018  3: 2: 8        3380        3500        3380        3500         100              3460      346000   848018678      250454     3385.93           3
10/ 7/2018  3: 2:10        3390        3390        3390        3390        2801              3390     9495390   857514068      253255     3385.97           1
10/ 7/2018  3: 2:13        3390        3390        3390        3390        1000              3390     3390000   860904068      254255     3385.99           2
10/ 7/2018  3: 2:15        3390        3390        3390        3390        2000              3390     6780000   867684068      256255     3386.02           1
10/ 7/2018  3: 2:16        3370        3370        3370        3370        2500              3370     8425000   876109068      258755     3385.86           1
10/ 7/2018  3: 2:17        3380        3380        3380        3380        3387              3380    11448060   887557128      262142     3385.79           3
10/ 7/2018  3: 2:28        3380        3380        3380        3380        3813              3380    12887940   900445068      265955      3385.7           1
10/ 7/2018  3: 2:29        3390        3390        3390        3390        2000              3390     6780000   907225068      267955     3385.74           1
10/ 7/2018  3: 2:33        3380        3380        3380        3380        3050              3380    10309000   917534068      271005     3385.67           2
10/ 7/2018  3: 2:35        3390        3390        3390        3390        4900              3390    16611000   934145068      275905     3385.75           1
10/ 7/2018  3: 2:36        3440        3440        3390        3390       10683           3406.67    36393420   970538488      286588     3386.53           2
10/ 7/2018  3: 2:37        3380        3380        3380        3380        5000              3380    16900000   987438488      291588     3386.42           2
10/ 7/2018  3: 2:40        3360        3380        3360        3380        1000           3373.33     3373333   990811821      292588     3386.37           2
10/ 7/2018  3: 2:44        3380        3380        3380        3380         300              3380     1014000   991825821      292888     3386.37           1
10/ 7/2018  3: 2:45        3380        3380        3380        3380        5000              3380    16900000  1008725821      297888     3386.26           1
10/ 7/2018  3: 2:47        3380        3390        3380        3390        1000           3386.67     3386666  1012112487      298888     3386.26           2
10/ 7/2018  3: 2:48        3430        3430        3430        3430        2500              3430     8575000  1020687487      301388     3386.62           1
10/ 7/2018  3: 2:55        3380        3380        3380        3380           5              3380       16900  1020704387      301393     3386.62           2
10/ 7/2018  4: 2: 8        3380        3380        3380        3380        1628              3380     5502640  1026207027      303021     3386.59           2
10/ 7/2018  4: 2:11        3380        3380        3380        3380        2233              3380     7547540  1033754567      305254     3386.54           2
10/ 7/2018  4: 2:16        3400        3400        3400        3400        3000              3400    10200000  1043954567      308254     3386.67           1
10/ 7/2018  4: 2:23        3400        3400        3400        3400        6000              3400    20400000  1064354567      314254     3386.92           1
10/ 7/2018  4: 2:24        3390        3390        3390        3390        4900              3390    16611000  1080965567      319154     3386.97           1
10/ 7/2018  4: 2:25        3380        3380        3380        3380        2000              3380     6760000  1087725567      321154     3386.93           1
10/ 7/2018  4: 2:28        3500        3500        3500        3500       19000              3500    66500000  1154225567      340154     3393.24           1
10/ 7/2018  4: 2:29        3400        3400        3400        3400         250              3400      850000  1155075567      340404     3393.25           1
10/ 7/2018  4: 2:32        3420        3420        3420        3420          49              3420      167580  1155243147      340453     3393.25           1
10/ 7/2018  4: 2:34        3380        3380        3380        3380        2000              3380     6760000  1162003147      342453     3393.18           1
10/ 7/2018  4: 2:41        3380        3380        3380        3380        1287              3380     4350060  1166353207      343740     3393.13           1
10/ 7/2018  4: 2:42        3370        3370        3370        3370        1000              3370     3370000  1169723207      344740     3393.06           1
10/ 7/2018  4: 2:43        3360        3360        3360        3360       19732              3360    66299520  1236022727      364472     3391.27           1
10/ 7/2018  4: 2:44        3400        3400        3400        3400         250              3400      850000  1236872727      364722     3391.28           1
10/ 7/2018  4: 2:50        3380        3380        3380        3380         200              3380      676000  1237548727      364922     3391.27           1
10/ 7/2018  4: 2:54        3410        3410        3410        3410         250              3410      852500  1238401227      365172     3391.28           1
10/ 7/2018  5: 2: 2        3420        3420        3420        3420         250              3420      855000  1239256227      365422      3391.3           1
10/ 7/2018  5: 2: 4        3380        3380        3380        3380        4900              3380    16562000  1255818227      370322     3391.15           1
10/ 7/2018  5: 2: 5        3380        3380        3380        3380         500              3380     1690000  1257508227      370822     3391.14           1
10/ 7/2018  5: 2: 8        3370        3370        3370        3370        4000              3370    13480000  1270988227      374822     3390.91           1
10/ 7/2018  5: 2:10        3430        3430        3430        3430         500              3430     1715000  1272703227      375322     3390.96           1
10/ 7/2018  5: 2:15        3370        3370        3370        3370        1000              3370     3370000  1276073227      376322     3390.91           1
10/ 7/2018  5: 2:16        3380        3380        3380        3380          88              3380      297440  1276370667      376410     3390.91           1
10/ 7/2018  5: 2:17        3370        3370        3350        3350          30           3356.67      100700  1276471367      376440      3390.9           2
