         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018  9:55: 1        8920       10250        8920        8950          50          9373.33      468666      468666          50          9373.32
 2/ 7/2018 10: 0: 0        8570        8570        8570        8570        1402             8570    12015140    12483806        1452          8597.66
 2/ 7/2018 10: 0: 1        9500        9500        9500        9500         160             9500     1520000    14003806        1612          8687.22
 2/ 7/2018 10: 0: 2        9020        9020        9020        9020         500             9020     4510000    18513806        2112          8766.01
 2/ 7/2018 10: 0: 3        9010        9010        9010        9010         500             9010     4505000    23018806        2612          8812.71
 2/ 7/2018 10: 0: 4        9000        9000        9000        9000        1000             9000     9000000    32018806        3612          8864.56
 2/ 7/2018 10: 0: 8        8030        8030        8030        8030         100             8030      803000    32821806        3712          8842.08
 2/ 7/2018 10: 0:11        8570        8570        8570        8570        1798             8570    15408860    48230666        5510           8753.3
 2/ 7/2018 10: 1:21        8050        8050        8050        8050        1580             8050    12719000    60949666        7090          8596.57
 2/ 7/2018 10: 1:24        8560        8560        8560        8560        2000             8560    17120000    78069666        9090          8588.52
 2/ 7/2018 10: 1:45        8400        8400        8400        8400        2850             8400    23940000   102009666       11940          8543.52
 2/ 7/2018 10: 1:50        8500        8500        8500        8500        1001             8500     8508500   110518166       12941          8540.16
 2/ 7/2018 10: 2:50        8300        8300        8300        8300          35             8300      290500   110808666       12976          8539.51
 2/ 7/2018 10: 4: 3        8050        8050        8050        8050         105             8050      845250   111653916       13081          8535.58
 2/ 7/2018 10: 4:34        8490        8490        8490        8490        1001             8490     8498490   120152406       14082          8532.34
 2/ 7/2018 10: 4:45        8480        8480        8480        8480         977             8480     8284960   128437366       15059          8528.94
 2/ 7/2018 10: 5:31        8470        8470        8470        8470        1350             8470    11434500   139871866       16409          8524.09
 2/ 7/2018 10: 5:33        8570        8570        8570        8570        3124             8570    26772680   166644546       19533          8531.44
 2/ 7/2018 10: 6:38        8450        8450        8450        8450         903             8450     7630350   174274896       20436          8527.84
 2/ 7/2018 10: 7:19        8440        8440        8440        8440          30             8440      253200   174528096       20466          8527.71
 2/ 7/2018 10: 7:47        8410        8410        8410        8410         750             8410     6307500   180835596       21216          8523.55
 2/ 7/2018 10: 8: 5        8420        8420        8420        8420         883             8420     7434860   188270456       22099          8519.41
 2/ 7/2018 10: 8:10        8420        8420        8420        8420         777             8420     6542340   194812796       22876          8516.03
 2/ 7/2018 10: 8:18        8460        8460        8460        8460         527             8460     4458420   199271216       23403          8514.77
 2/ 7/2018 10: 9: 8        8000        8000        8000        8000         237             8000     1896000   201167216       23640          8509.61
 2/ 7/2018 10: 9:18        8410        8410        8410        8410         241             8410     2026810   203194026       23881          8508.61
 2/ 7/2018 10: 9:22        8760        8760        8760        8760         100             8760      876000   204070026       23981          8509.65
 2/ 7/2018 10: 9:38        8300        8300        8300        8300        1200             8300     9960000   214030026       25181          8499.66
 2/ 7/2018 10: 9:44        8430        8430        8430        8430         858             8430     7232940   221262966       26039          8497.37
 2/ 7/2018 10:10:48        8410        8410        8410        8410           1             8410        8410   221271376       26040          8497.36
 2/ 7/2018 10:13: 4        8400        8400        8400        8400          35             8400      294000   221565376       26075          8497.23
 2/ 7/2018 10:14:18        8460        8460        8460        8460        1400             8460    11844000   233409376       27475          8495.34
 2/ 7/2018 10:14:21        8430        8430        8430        8430         498             8430     4198140   237607516       27973          8494.17
 2/ 7/2018 10:15:26        8420        8420        8420        8420         523             8420     4403660   242011176       28496          8492.81
 2/ 7/2018 10:15:49        8420        8420        8420        8420         777             8420     6542340   248553516       29273          8490.88
 2/ 7/2018 10:16:14        8410        8410        8410        8410         699             8410     5878590   254432106       29972          8488.99
 2/ 7/2018 10:16:52        8310        8310        8310        8310         750             8310     6232500   260664606       30722          8484.62
 2/ 7/2018 10:17: 1        8380        8380        8380        8380          20             8380      167600   260832206       30742          8484.56
 2/ 7/2018 10:17:18        8390        8390        8390        8390         530             8390     4446700   265278906       31272          8482.95
 2/ 7/2018 10:17:24        8380        8380        8380        8380          10             8380       83800   265362706       31282          8482.92
 2/ 7/2018 10:17:32        8880        8880        8880        8880          50             8880      444000   265806706       31332          8483.55
 2/ 7/2018 10:17:33        8310        8310        8310        8310         666             8310     5534460   271341166       31998          8479.94
 2/ 7/2018 10:17:34        8460        8460        8460        8460        3191             8460    26995860   298337026       35189          8478.13
 2/ 7/2018 10:17:45        8300        8300        8300        8300         274             8300     2274200   300611226       35463          8476.76
 2/ 7/2018 10:17:46        7650        7650        7650        7650         350             7650     2677500   303288726       35813          8468.68
 2/ 7/2018 10:17:47        8420        8420        8420        8420        3226             8420    27162920   330451646       39039          8464.65
 2/ 7/2018 10:17:59        8020        8020        8020        8020         400             8020     3208000   333659646       39439          8460.14
 2/ 7/2018 10:18: 2        8300        8300        8300        8300        1325             8300    10997500   344657146       40764          8454.94
 2/ 7/2018 10:18:11        8300        8300        8300        8300         675             8300     5602500   350259646       41439          8452.42
 2/ 7/2018 10:18:13        8420        8420        8420        8420         222             8420     1869240   352128886       41661          8452.24
 2/ 7/2018 10:18:34        8410        8410        8410        8410         666             8410     5601060   357729946       42327          8451.58
 2/ 7/2018 10:18:35        8410        8410        8410        8410        3226             8410    27130660   384860606       45553          8448.63
 2/ 7/2018 10:19:27        8250        8250        8250        8250         200             8250     1650000   386510606       45753          8447.77
 2/ 7/2018 10:19:33        9000        9000        9000        9000        1377             9000    12393000   398903606       47130           8463.9
 2/ 7/2018 10:19:45        8600        8600        8600        8600         280             8600     2408000   401311606       47410           8464.7
 2/ 7/2018 10:20: 6        8980        8980        8980        8980         250             8980     2245000   403556606       47660          8467.41
 2/ 7/2018 10:20: 9        8170        8170        8170        8170         150             8170     1225500   404782106       47810          8466.47
 2/ 7/2018 10:21:58        8030        8030        8030        8030        1000             8030     8030000   412812106       48810          8457.53
 2/ 7/2018 10:22:32        8040        8040        8040        8040        1000             8040     8040000   420852106       49810          8449.15
 2/ 7/2018 10:23:19        8100        8100        8100        8100         200             8100     1620000   422472106       50010          8447.75
 2/ 7/2018 10:23:44        8190        8190        8190        8190         200             8190     1638000   424110106       50210          8446.73
 2/ 7/2018 10:24: 6        8150        8150        8150        8150         200             8150     1630000   425740106       50410          8445.55
 2/ 7/2018 10:24:27        8240        8240        8240        8240         200             8240     1648000   427388106       50610          8444.74
 2/ 7/2018 10:24:43        8070        8070        8070        8070        1000             8070     8070000   435458106       51610          8437.48
 2/ 7/2018 10:24:46        8140        8140        8140        8140         200             8140     1628000   437086106       51810          8436.33
 2/ 7/2018 10:25: 6        8120        8120        8120        8120         200             8120     1624000   438710106       52010          8435.11
 2/ 7/2018 10:25:14        8300        8300        8300        8300         656             8300     5444800   444154906       52666          8433.43
 2/ 7/2018 10:25:21        8180        8180        8180        8180         200             8180     1636000   445790906       52866          8432.47
 2/ 7/2018 10:25:42        8200        8200        8200        8200         200             8200     1640000   447430906       53066          8431.59
 2/ 7/2018 10:26: 0        8130        8130        8130        8130         200             8130     1626000   449056906       53266          8430.46
 2/ 7/2018 10:26: 9        8000        8000        8000        8000         500             8000     4000000   453056906       53766          8426.46
 2/ 7/2018 10:26:16        8220        8220        8220        8220         200             8220     1644000   454700906       53966          8425.69
 2/ 7/2018 10:26:36        8170        8170        8170        8170         200             8170     1634000   456334906       54166          8424.75
 2/ 7/2018 10:26:51        8230        8230        8230        8230         200             8230     1646000   457980906       54366          8424.03
 2/ 7/2018 10:27: 7        8140        8140        8140        8140         200             8140     1628000   459608906       54566          8422.99
 2/ 7/2018 10:27:26        8110        8110        8110        8110         200             8110     1622000   461230906       54766          8421.85
 2/ 7/2018 10:27:41        8240        8240        8240        8240         200             8240     1648000   462878906       54966          8421.19
 2/ 7/2018 10:27:59        9420        9420        9420        9420         450             9420     4239000   467117906       55416           8429.3
 2/ 7/2018 10:28: 5        8160        8160        8160        8160         200             8160     1632000   468749906       55616          8428.33
 2/ 7/2018 10:28:13        8410        8410        8410        8410          25             8410      210250   468960156       55641          8428.32
 2/ 7/2018 10:28:37        8100        8100        8100        8100         175             8100     1417500   470377656       55816          8427.29
 2/ 7/2018 10:28:38        8210        8210        8210        8210           3             8210       24630   470402286       55819          8427.28
 2/ 7/2018 10:28:41        8430        8430        8430        8430          25             8430      210750   470613036       55844          8427.28
 2/ 7/2018 10:29:29        8150        8150        8150        8150         150             8150     1222500   471835536       55994          8426.54
 2/ 7/2018 10:29:38        8590        8590        8590        8590           2             8590       17180   471852716       55996          8426.54
 2/ 7/2018 10:29:43        8260        8260        8260        8260          10             8260       82600   471935316       56006          8426.51
 2/ 7/2018 10:30: 0        8460        8460        8460        8460          25             8460      211500   472146816       56031          8426.53
 2/ 7/2018 10:30: 3        8190        8190        8190        8190         175             8190     1433250   473580066       56206          8425.79
 2/ 7/2018 10:30:18        8490        8490        8490        8490          25             8490      212250   473792316       56231          8425.82
 2/ 7/2018 10:30:24        8270        8270        8270        8270          10             8270       82700   473875016       56241          8425.79
 2/ 7/2018 10:30:56        8120        8280        8120        8280          44          8226.67      361973   474236989       56285          8425.64
 2/ 7/2018 10:31:16        8300        8300        8300        8300        1600             8300    13280000   487516989       57885          8422.16
 2/ 7/2018 10:31:24        8400        8400        8400        8400        1000             8400     8400000   495916989       58885          8421.79
 2/ 7/2018 10:31:29        8180        8180        8180        8180         175             8180     1431500   497348489       59060          8421.07
 2/ 7/2018 10:31:53        8370        8370        8310        8310         500             8330     4165000   501513489       59560          8420.31
