         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
10/ 7/2018  0: 2: 3         400         400         400         400       50000               400    20000000    20000000       50000         400           1
10/ 7/2018  5: 2:38         410         410         410         410       50000               410    20500000    40500000      100000         405           1
10/ 7/2018 10: 2:30         400         400         400         400       50000               400    20000000    60500000      150000     403.333           1
10/ 7/2018 16: 2: 7         410         410         410         410       50000               410    20500000    81000000      200000         405           1
10/ 7/2018 19: 2:19         420         420         420         420       50000               420    21000000   102000000      250000         408           1
10/ 7/2018 19: 2:25         410         410         410         410       50000               410    20500000   122500000      300000     408.333           1
10/ 7/2018 19: 2:26         420         420         420         420       50000               420    21000000   143500000      350000         410           1
10/ 7/2018 19: 2:27         410         410         410         410       50000               410    20500000   164000000      400000         410           1
10/ 7/2018 19: 2:28         420         420         420         420       50000               420    21000000   185000000      450000     411.111           1
10/ 7/2018 19: 2:34         410         410         410         410       50000               410    20500000   205500000      500000         411           1
10/ 7/2018 19: 2:35         420         420         420         420       50000               420    21000000   226500000      550000     411.818           1
10/ 7/2018 19: 2:36         420         420         420         420       50000               420    21000000   247500000      600000       412.5           1
10/ 7/2018 19: 2:37         410         410         410         410       50000               410    20500000   268000000      650000     412.308           1
10/ 7/2018 19: 2:39         420         420         420         420       50000               420    21000000   289000000      700000     412.857           1
10/ 7/2018 19: 2:46         410         410         410         410       50000               410    20500000   309500000      750000     412.667           1
10/ 7/2018 19: 2:47         410         410         410         410       50000               410    20500000   330000000      800000       412.5           1
10/ 7/2018 19: 2:49         420         420         420         420       50000               420    21000000   351000000      850000     412.941           1
10/ 7/2018 19: 2:51         410         410         410         410       50000               410    20500000   371500000      900000     412.778           1
10/ 7/2018 19: 2:52         420         420         420         420       50000               420    21000000   392500000      950000     413.158           1
10/ 7/2018 19: 2:56         410         410         410         410       50000               410    20500000   413000000     1000000         413           1
10/ 7/2018 19: 2:57         420         420         420         420       50000               420    21000000   434000000     1050000     413.333           1
10/ 7/2018 19: 2:59         410         410         410         410       50000               410    20500000   454500000     1100000     413.182           1
10/ 7/2018 20: 2: 0         420         420         420         420       50000               420    21000000   475500000     1150000     413.478           1
10/ 7/2018 20: 2: 1         420         420         420         420       50000               420    21000000   496500000     1200000      413.75           1
10/ 7/2018 20: 2: 5         410         410         410         410       50000               410    20500000   517000000     1250000       413.6           1
10/ 7/2018 20: 2: 7         420         420         420         420       50000               420    21000000   538000000     1300000     413.846           1
10/ 7/2018 20: 2:27         410         410         410         410       50000               410    20500000   558500000     1350000     413.704           1
10/ 7/2018 20: 2:49         430         430         430         430          25               430       10750   558510750     1350025     413.704           1
10/ 7/2018 28: 2:14         410         410         410         410       50000               410    20500000   579010750     1400025     413.572           1
10/ 7/2018 31: 2:40         400         400         400         400       50000               400    20000000   599010750     1450025     413.104           1
10/ 7/2018 35: 2:11         410         410         410         410       50000               410    20500000   619510750     1500025         413           1
10/ 7/2018 49: 2: 1         400         400         400         400       50000               400    20000000   639510750     1550025     412.581           1
10/ 7/2018 49: 2:51         390         390         390         390       50000               390    19500000   659010750     1600025     411.875           1
10/ 7/2018 50: 2:43         400         400         400         400       50000               400    20000000   679010750     1650025     411.515           1
11/ 7/2018 10: 2:41         390         390         390         390       50000               390    19500000   698510750     1700025     410.883           1
11/ 7/2018 14: 2:10         400         400         400         400       50000               400    20000000   718510750     1750025     410.572           1
11/ 7/2018 14: 2:26         390         390         390         390       50000               390    19500000   738010750     1800025         410           1
11/ 7/2018 14: 2:28         400         400         400         400       50000               400    20000000   758010750     1850025      409.73           1
11/ 7/2018 14: 2:37         390         390         390         390       50000               390    19500000   777510750     1900025     409.211           1
11/ 7/2018 14: 2:38         400         400         400         400       50000               400    20000000   797510750     1950025     408.975           1
11/ 7/2018 14: 2:39         390         390         390         390       50000               390    19500000   817010750     2000025       408.5           1
11/ 7/2018 14: 2:40         400         400         400         400       50000               400    20000000   837010750     2050025     408.293           1
11/ 7/2018 14: 2:41         390         390         390         390       50000               390    19500000   856510750     2100025     407.857           1
11/ 7/2018 14: 2:43         400         400         400         400       50000               400    20000000   876510750     2150025     407.675           1
11/ 7/2018 14: 2:47         390         390         390         390       50000               390    19500000   896010750     2200025     407.273           1
11/ 7/2018 14: 2:48         400         400         400         400       50000               400    20000000   916010750     2250025     407.111           1
11/ 7/2018 14: 2:55         390         390         390         390       50000               390    19500000   935510750     2300025     406.739           1
11/ 7/2018 14: 2:56         400         400         400         400       50000               400    20000000   955510750     2350025     406.596           1
11/ 7/2018 14: 2:57         390         390         390         390       50000               390    19500000   975010750     2400025      406.25           1
11/ 7/2018 14: 2:59         400         400         400         400       50000               400    20000000   995010750     2450025     406.123           1
11/ 7/2018 15: 2: 1         390         390         390         390       50000               390    19500000  1014510750     2500025       405.8           1
11/ 7/2018 15: 2: 3         400         400         400         400       50000               400    20000000  1034510750     2550025     405.687           1
11/ 7/2018 15: 2: 4         390         390         390         390       50000               390    19500000  1054010750     2600025     405.385           1
11/ 7/2018 15: 2:24         400         400         400         400       50000               400    20000000  1074010750     2650025     405.283           1
11/ 7/2018 15: 2:25         390         390         390         390       50000               390    19500000  1093510750     2700025         405           1
11/ 7/2018 15: 2:26         400         400         400         400       50000               400    20000000  1113510750     2750025     404.909           1
11/ 7/2018 15: 2:27         390         390         390         390       50000               390    19500000  1133010750     2800025     404.643           1
11/ 7/2018 15: 2:28         390         390         390         390       50000               390    19500000  1152510750     2850025     404.386           1
11/ 7/2018 15: 2:29         400         400         400         400       50000               400    20000000  1172510750     2900025     404.311           1
11/ 7/2018 15: 2:30         400         400         400         400       50000               400    20000000  1192510750     2950025     404.238           1
11/ 7/2018 15: 2:31         390         390         390         390       50000               390    19500000  1212010750     3000025         404           1
11/ 7/2018 15: 2:33         400         400         400         400       50000               400    20000000  1232010750     3050025     403.935           1
11/ 7/2018 15: 2:34         390         390         390         390       50000               390    19500000  1251510750     3100025      403.71           1
11/ 7/2018 15: 2:35         400         400         400         400       50000               400    20000000  1271510750     3150025     403.651           1
11/ 7/2018 15: 2:36         390         390         390         390       50000               390    19500000  1291010750     3200025     403.438           1
11/ 7/2018 15: 2:39         400         400         400         400       50000               400    20000000  1311010750     3250025     403.385           1
11/ 7/2018 15: 2:41         390         390         390         390       50000               390    19500000  1330510750     3300025     403.182           1
11/ 7/2018 15: 2:44         400         400         400         400       50000               400    20000000  1350510750     3350025     403.135           1
11/ 7/2018 15: 2:45         390         390         390         390       50000               390    19500000  1370010750     3400025     402.941           1
11/ 7/2018 15: 2:49         400         400         400         400       50000               400    20000000  1390010750     3450025     402.899           1
11/ 7/2018 15: 2:50         390         390         390         390       50000               390    19500000  1409510750     3500025     402.714           1
11/ 7/2018 15: 2:59         400         400         400         400       50000               400    20000000  1429510750     3550025     402.676           1
11/ 7/2018 16: 2: 0         390         390         390         390       50000               390    19500000  1449010750     3600025       402.5           1
11/ 7/2018 16: 2: 7         400         400         400         400       50000               400    20000000  1469010750     3650025     402.466           1
11/ 7/2018 16: 2: 8         400         400         400         400       50000               400    20000000  1489010750     3700025     402.433           1
11/ 7/2018 16: 2: 9         390         390         390         390       50000               390    19500000  1508510750     3750025     402.267           1
11/ 7/2018 16: 2:10         390         390         390         390       50000               390    19500000  1528010750     3800025     402.105           1
11/ 7/2018 16: 2:11         390         390         390         390       50000               390    19500000  1547510750     3850025     401.948           1
11/ 7/2018 16: 2:12         400         400         400         400       50000               400    20000000  1567510750     3900025     401.923           1
11/ 7/2018 16: 2:15         390         390         390         390       50000               390    19500000  1587010750     3950025     401.772           1
11/ 7/2018 16: 2:16         390         390         390         390       50000               390    19500000  1606510750     4000025     401.625           1
11/ 7/2018 16: 2:17         390         390         390         390       50000               390    19500000  1626010750     4050025     401.482           1
11/ 7/2018 16: 2:18         390         390         390         390       50000               390    19500000  1645510750     4100025     401.342           1
11/ 7/2018 16: 2:19         400         400         400         400       50000               400    20000000  1665510750     4150025     401.325           1
11/ 7/2018 16: 2:22         390         390         390         390       50000               390    19500000  1685010750     4200025     401.191           1
11/ 7/2018 16: 2:23         400         400         400         400       50000               400    20000000  1705010750     4250025     401.177           1
11/ 7/2018 16: 2:26         390         390         390         390       50000               390    19500000  1724510750     4300025     401.047           1
11/ 7/2018 16: 2:27         400         400         400         400       50000               400    20000000  1744510750     4350025     401.035           1
11/ 7/2018 16: 2:28         400         400         400         400       50000               400    20000000  1764510750     4400025     401.023           1
11/ 7/2018 16: 2:29         390         390         390         390       50000               390    19500000  1784010750     4450025     400.899           1
11/ 7/2018 16: 2:30         400         400         400         400       50000               400    20000000  1804010750     4500025     400.889           1
11/ 7/2018 16: 2:31         400         400         400         400       50000               400    20000000  1824010750     4550025     400.879           1
11/ 7/2018 16: 2:32         390         390         390         390       50000               390    19500000  1843510750     4600025     400.761           1
11/ 7/2018 16: 2:33         400         400         400         400       50000               400    20000000  1863510750     4650025     400.753           1
