         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
11/ 7/2018 18: 2:39         580         580         580         580       25000               580    14500000   835499999     1525000     547.869           1
11/ 7/2018 18: 2:40         570         570         570         570       25000               570    14250000   849749999     1550000     548.226           1
11/ 7/2018 18: 2:44         580         580         580         580       25000               580    14500000   864249999     1575000      548.73           1
11/ 7/2018 18: 2:49         570         570         570         570       25000               570    14250000   878499999     1600000     549.062           1
11/ 7/2018 18: 2:55         560         560         560         560       25000               560    14000000   892499999     1625000     549.231           1
11/ 7/2018 19: 2:11         580         580         580         580       25000               580    14500000   906999999     1650000     549.697           1
11/ 7/2018 19: 2:12         570         570         570         570       25000               570    14250000   921249999     1675000         550           1
11/ 7/2018 19: 2:13         560         560         560         560       25000               560    14000000   935249999     1700000     550.147           1
11/ 7/2018 19: 2:42         580         580         580         580       25000               580    14500000   949749999     1725000      550.58           1
11/ 7/2018 19: 2:43         570         570         570         570       25000               570    14250000   963999999     1750000     550.857           1
11/ 7/2018 19: 2:54         560         560         560         560       25000               560    14000000   977999999     1775000     550.986           1
11/ 7/2018 20: 2:18         570         570         570         570       25000               570    14250000   992249999     1800000      551.25           1
11/ 7/2018 21: 2:32         580         580         580         580       25000               580    14500000  1006749999     1825000     551.644           1
11/ 7/2018 21: 2:33         570         570         570         570       25000               570    14250000  1020999999     1850000     551.892           1
11/ 7/2018 21: 2:37         580         580         580         580       25000               580    14500000  1035499999     1875000     552.267           1
11/ 7/2018 21: 2:39         570         570         570         570       25000               570    14250000  1049749999     1900000       552.5           1
11/ 7/2018 23: 2:46         580         580         580         580       25000               580    14500000  1064249999     1925000     552.857           1
11/ 7/2018 23: 2:48         570         570         570         570       25000               570    14250000  1078499999     1950000     553.077           1
11/ 7/2018 24: 2:17         580         580         580         580       25000               580    14500000  1092999999     1975000     553.418           1
11/ 7/2018 24: 2:18         570         570         570         570       25000               570    14250000  1107249999     2000000     553.625           1
11/ 7/2018 25: 2:20         560         560         560         560       25000               560    14000000  1121249999     2025000     553.704           1
11/ 7/2018 25: 2:47         570         570         570         570       25000               570    14250000  1135499999     2050000     553.902           1
11/ 7/2018 26: 2:16         560         570         560         570       25000           566.667    14166666  1149666665     2075000     554.056           2
11/ 7/2018 27: 2: 2         580         580         570         570       25000           573.333    14333333  1163999998     2100000     554.286           2
11/ 7/2018 27: 2: 5         580         580         580         580       25000               580    14500000  1178499998     2125000     554.588           1
11/ 7/2018 27: 2: 6         570         570         570         570       25000               570    14250000  1192749998     2150000     554.767           1
11/ 7/2018 27: 2: 9         580         580         580         580       25000               580    14500000  1207249998     2175000     555.057           1
11/ 7/2018 27: 2:12         570         570         570         570       25000               570    14250000  1221499998     2200000     555.227           1
11/ 7/2018 27: 2:17         560         560         560         560       25000               560    14000000  1235499998     2225000     555.281           1
11/ 7/2018 39: 2: 7         570         570         570         570       25000               570    14250000  1249749998     2250000     555.444           1
11/ 7/2018 55: 2: 3         580         580         580         580       25000               580    14500000  1264249998     2275000     555.714           1
11/ 7/2018 55: 2: 7         570         570         570         570       25000               570    14250000  1278499998     2300000      555.87           1
11/ 7/2018 57: 2:25         580         580         570         570       25000           573.333    14333333  1292833331     2325000     556.057           2
11/ 7/2018 59: 2:26         580         580         580         580       25000               580    14500000  1307333331     2350000     556.312           1
11/ 7/2018 59: 2:32         570         570         570         570       25000               570    14250000  1321583331     2375000     556.456           1
