         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0: 3         640         640         640         640       25000              640    16000000    16000000       25000              640
 2/ 7/2018 10: 0: 4         650         650         650         650       25000              650    16250000    32250000       50000              645
 2/ 7/2018 10: 1:18         660         660         660         660       25000              660    16500000    48750000       75000              650
 2/ 7/2018 10: 1:22         650         650         650         650       25000              650    16250000    65000000      100000              650
 2/ 7/2018 10: 3:42         660         660         660         660       25000              660    16500000    81500000      125000              652
 2/ 7/2018 10: 3:58         650         650         650         650       25000              650    16250000    97750000      150000          651.667
 2/ 7/2018 10: 4:59         660         660         660         660       25000              660    16500000   114250000      175000          652.857
 2/ 7/2018 10: 5: 3         650         650         650         650       25000              650    16250000   130500000      200000            652.5
 2/ 7/2018 10: 5:13         660         660         660         660       25000              660    16500000   147000000      225000          653.333
 2/ 7/2018 10: 6: 9         650         650         650         650       25000              650    16250000   163250000      250000              653
 2/ 7/2018 10: 6:33         660         660         660         660       25000              660    16500000   179750000      275000          653.636
 2/ 7/2018 10: 9:30         650         650         650         650       25000              650    16250000   196000000      300000          653.333
 2/ 7/2018 10:10:25         660         660         660         660       25000              660    16500000   212500000      325000          653.846
 2/ 7/2018 10:12: 0         650         650         650         650       25000              650    16250000   228750000      350000          653.571
 2/ 7/2018 10:17:37         640         640         640         640       25000              640    16000000   244750000      375000          652.667
 2/ 7/2018 10:18:58         650         650         650         650       25000              650    16250000   261000000      400000            652.5
 2/ 7/2018 10:19: 8         640         640         640         640       25000              640    16000000   277000000      425000          651.765
 2/ 7/2018 10:19:10         650         650         650         650       25000              650    16250000   293250000      450000          651.667
 2/ 7/2018 10:19:12         640         640         640         640       25000              640    16000000   309250000      475000          651.053
 2/ 7/2018 10:19:18         650         650         650         650       25000              650    16250000   325500000      500000              651
 2/ 7/2018 10:19:21         640         640         640         640       25000              640    16000000   341500000      525000          650.476
 2/ 7/2018 10:19:37         650         650         650         650       25000              650    16250000   357750000      550000          650.455
 2/ 7/2018 10:19:38         650         650         650         650       25000              650    16250000   374000000      575000          650.435
 2/ 7/2018 10:19:39         640         640         640         640       25000              640    16000000   390000000      600000              650
 2/ 7/2018 10:19:42         650         650         650         650       25000              650    16250000   406250000      625000              650
 2/ 7/2018 10:20: 4         640         640         640         640       25000              640    16000000   422250000      650000          649.615
 2/ 7/2018 10:20: 5         650         650         650         650       25000              650    16250000   438500000      675000           649.63
 2/ 7/2018 10:20: 6         640         640         640         640       25000              640    16000000   454500000      700000          649.286
 2/ 7/2018 10:20:28         650         650         650         650       25000              650    16250000   470750000      725000           649.31
 2/ 7/2018 10:28: 8         650         650         650         650       25000              650    16250000   487000000      750000          649.333
 2/ 7/2018 10:30:54         660         660         660         660       25000              660    16500000   503500000      775000          649.677
