         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
10/ 7/2018  0: 2: 0          50          50          50          50       50000                50     2500000     2500000       50000          50           1
10/ 7/2018  0: 2: 3          70          70          70          70      100000                70     7000000     9500000      150000     63.3333           1
10/ 7/2018 13: 2:17          60          60          60          60        4500                60      270000     9770000      154500     63.2362           1
10/ 7/2018 15: 2:32          60          60          60          60         700                60       42000     9812000      155200     63.2216           1
10/ 7/2018 17: 2:54          60          60          60          60         750                60       45000     9857000      155950     63.2062           1
10/ 7/2018 27: 2:43          70          70          70          70      100000                70     7000000    16857000      255950     65.8605           1
10/ 7/2018 36: 2:22          60          60          60          60       25000                60     1500000    18357000      280950      65.339           1
10/ 7/2018 49: 2:29          80          80          80          80      100000                80     8000000    26357000      380950     69.1876           1
10/ 7/2018 59: 2:38          70          70          70          70        4500                70      315000    26672000      385450      69.197           1
11/ 7/2018 14: 2: 3          60          60          60          60      123745                60     7424700    34096700      509195      66.962           1
11/ 7/2018 25: 2:54          70          70          70          70       11774                70      824180    34920880      520969     67.0306           1
11/ 7/2018 53: 2:33          90          90          90          90      100000                90     9000000    43920880      620969     70.7296           1
12/ 7/2018 21: 2:53          80          80          80          80      100000                80     8000000    51920880      720969     72.0154           1
12/ 7/2018 35: 2:38          70          70          70          70        7800                70      546000    52466880      728769     71.9938           1
14/ 7/2018  0: 2: 0          90          90          90          90      100000                90     9000000    61466880      828769     74.1665           1
15/ 7/2018  4: 2:30          80          80          80          80      100000                80     8000000    69466880      928769     74.7946           1
15/ 7/2018 34: 2: 4          90          90          90          90      100000                90     9000000    78466880     1028769     76.2726           1
15/ 7/2018 35: 2:35          80          80          80          80      100000                80     8000000    86466880     1128769     76.6028           1
15/ 7/2018 37: 2:47          90          90          90          90      100000                90     9000000    95466880     1228769     77.6931           1
15/ 7/2018 46: 2:19          80          80          80          80      100000                80     8000000   103466880     1328769     77.8667           1
16/ 7/2018  2: 2:19          90          90          90          90      100000                90     9000000   112466880     1428769     78.7159           1
16/ 7/2018  5: 2: 7          80          80          80          80      100000                80     8000000   120466880     1528769     78.7999           1
16/ 7/2018  7: 2:42          90          90          90          90      100000                90     9000000   129466880     1628769     79.4876           1
