         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0:30        1010        1010        1010        1010        5000             1010     5050000     5050000        5000             1010
 2/ 7/2018 10: 0:31        1020        1020        1020        1020        5000             1020     5100000    10150000       10000             1015
 2/ 7/2018 10: 1:14        1040        1040        1040        1040        5000             1040     5200000    15350000       15000          1023.33
 2/ 7/2018 10: 1:35        1020        1020        1020        1020        5000             1020     5100000    20450000       20000           1022.5
 2/ 7/2018 10: 2:49        1030        1030        1030        1030        5000             1030     5150000    25600000       25000             1024
 2/ 7/2018 10: 3: 1        1050        1060        1050        1060        5000          1056.67     5283333    30883333       30000          1029.44
 2/ 7/2018 10: 3:13        1030        1030        1030        1030        5000             1030     5150000    36033333       35000          1029.52
 2/ 7/2018 10: 3:14        1040        1040        1040        1040        5000             1040     5200000    41233333       40000          1030.83
 2/ 7/2018 10: 3:31        1030        1030        1030        1030        5000             1030     5150000    46383333       45000          1030.74
 2/ 7/2018 10: 3:56        1060        1060        1060        1060        5000             1060     5300000    51683333       50000          1033.67
 2/ 7/2018 10: 4: 5        1040        1040        1040        1040        5000             1040     5200000    56883333       55000          1034.24
 2/ 7/2018 10: 4: 9        1060        1060        1060        1060        5000             1060     5300000    62183333       60000          1036.39
 2/ 7/2018 10: 4:10        1030        1030        1030        1030        5000             1030     5150000    67333333       65000           1035.9
 2/ 7/2018 10: 5: 6        1050        1050        1050        1050        5000             1050     5250000    72583333       70000           1036.9
 2/ 7/2018 10: 5:11        1020        1020        1020        1020        5000             1020     5100000    77683333       75000          1035.78
 2/ 7/2018 10: 5:28        1040        1040        1040        1040        5000             1040     5200000    82883333       80000          1036.04
 2/ 7/2018 10: 5:29        1010        1010        1010        1010        5000             1010     5050000    87933333       85000          1034.51
 2/ 7/2018 10: 6: 2        1020        1020        1020        1020        5000             1020     5100000    93033333       90000           1033.7
 2/ 7/2018 10: 6: 6        1050        1050        1050        1050        5000             1050     5250000    98283333       95000          1034.56
 2/ 7/2018 10: 6:49        1020        1020        1020        1020        5000             1020     5100000   103383333      100000          1033.83
 2/ 7/2018 10: 6:52        1050        1050        1050        1050        5000             1050     5250000   108633333      105000           1034.6
 2/ 7/2018 10: 7: 5        1020        1020        1020        1020        5000             1020     5100000   113733333      110000          1033.94
 2/ 7/2018 10:12:40        1050        1050        1050        1050        5000             1050     5250000   118983333      115000          1034.64
 2/ 7/2018 10:12:49        1020        1020        1020        1020        5000             1020     5100000   124083333      120000          1034.03
 2/ 7/2018 10:12:53        1030        1030        1030        1030        5000             1030     5150000   129233333      125000          1033.87
 2/ 7/2018 10:13:57        1020        1020        1020        1020        5000             1020     5100000   134333333      130000          1033.33
 2/ 7/2018 10:15:44        1050        1050        1050        1050        5000             1050     5250000   139583333      135000          1033.95
 2/ 7/2018 10:16:28        1030        1030        1030        1030        5000             1030     5150000   144733333      140000          1033.81
 2/ 7/2018 10:17:31        1040        1040        1040        1040        5000             1040     5200000   149933333      145000          1034.02
