         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
10/ 7/2018  0: 2: 1         110         110         110         110        1000               110      110000      110000        1000         110           1
10/ 7/2018  0: 2:24         120         120         120         120      100000               120    12000000    12110000      101000     119.901           1
10/ 7/2018 27: 2:14         140         140         140         140        1000               140      140000    12250000      102000     120.098           1
10/ 7/2018 51: 2:30         110         110         110         110        4545               110      499950    12749950      106545     119.667           1
10/ 7/2018 55: 2:49         130         130         130         130       99001               130    12870130    25620080      205546     124.644           1
10/ 7/2018 55: 2:57         120         120         120         120       99001               120    11880120    37500200      304547     123.134           1
10/ 7/2018 55: 2:59         130         130         120         120       99001           123.333    12210123    49710323      403548     123.183           2
10/ 7/2018 56: 2: 0         130         130         130         130       99001               130    12870130    62580453      502549     124.526           1
10/ 7/2018 56: 2: 1         120         120         120         120       99001               120    11880120    74460573      601550     123.781           1
10/ 7/2018 56: 2:27         130         130         130         130       99001               130    12870130    87330703      700551      124.66           1
10/ 7/2018 56: 2:29         120         120         120         120       99001               120    11880120    99210823      799552     124.083           1
10/ 7/2018 56: 2:31         130         130         130         130       99001               130    12870130   112080953      898553     124.735           1
10/ 7/2018 56: 2:32         120         120         120         120       99001               120    11880120   123961073      997554     124.265           1
10/ 7/2018 56: 2:33         130         130         130         130       99001               130    12870130   136831203     1096555     124.783           1
10/ 7/2018 56: 2:48         120         120         120         120       99001               120    11880120   148711323     1195556     124.387           1
10/ 7/2018 56: 2:53         130         130         130         130       99001               130    12870130   161581453     1294557     124.816           1
10/ 7/2018 56: 2:54         120         120         120         120       99001               120    11880120   173461573     1393558     124.474           1
10/ 7/2018 57: 2:15         130         130         130         130       99001               130    12870130   186331703     1492559      124.84           1
10/ 7/2018 57: 2:23         120         120         120         120       99001               120    11880120   198211823     1591560     124.539           1
10/ 7/2018 57: 2:30         130         130         130         130       99001               130    12870130   211081953     1690561     124.859           1
10/ 7/2018 57: 2:31         120         120         120         120       99001               120    11880120   222962073     1789562      124.59           1
10/ 7/2018 57: 2:32         130         130         130         130       99001               130    12870130   235832203     1888563     124.874           1
10/ 7/2018 57: 2:36         120         120         120         120       99001               120    11880120   247712323     1987564     124.631           1
10/ 7/2018 57: 2:41         130         130         130         130       99001               130    12870130   260582453     2086565     124.886           1
10/ 7/2018 57: 2:43         120         120         120         120       99001               120    11880120   272462573     2185566     124.665           1
10/ 7/2018 57: 2:44         130         130         130         130       99001               130    12870130   285332703     2284567     124.896           1
10/ 7/2018 57: 2:45         120         120         120         120       99001               120    11880120   297212823     2383568     124.692           1
10/ 7/2018 57: 2:46         130         130         130         130       99001               130    12870130   310082953     2482569     124.904           1
10/ 7/2018 57: 2:49         120         120         120         120       99001               120    11880120   321963073     2581570     124.716           1
10/ 7/2018 57: 2:50         130         130         130         130       99001               130    12870130   334833203     2680571     124.911           1
10/ 7/2018 58: 2: 1         120         120         120         120       99001               120    11880120   346713323     2779572     124.736           1
10/ 7/2018 58: 2: 3         130         130         130         130       99001               130    12870130   359583453     2878573     124.917           1
10/ 7/2018 58: 2: 4         120         120         120         120       99001               120    11880120   371463573     2977574     124.754           1
10/ 7/2018 58: 2:13         130         130         130         130       99001               130    12870130   384333703     3076575     124.923           1
10/ 7/2018 58: 2:17         120         120         120         120       99001               120    11880120   396213823     3175576     124.769           1
10/ 7/2018 58: 2:45         130         130         130         130       99001               130    12870130   409083953     3274577     124.927           1
10/ 7/2018 58: 2:46         120         120         120         120       99001               120    11880120   420964073     3373578     124.783           1
10/ 7/2018 58: 2:57         130         130         120         120       99001           123.333    12210123   433174196     3472579     124.741           2
10/ 7/2018 58: 2:58         130         130         130         130       99001               130    12870130   446044326     3571580     124.887           1
10/ 7/2018 59: 2: 0         120         120         120         120       99001               120    11880120   457924446     3670581     124.755           1
10/ 7/2018 59: 2:15         130         130         130         130       99001               130    12870130   470794576     3769582     124.893           1
10/ 7/2018 59: 2:16         120         120         120         120       99001               120    11880120   482674696     3868583     124.768           1
10/ 7/2018 59: 2:17         130         130         130         130       99001               130    12870130   495544826     3967584     124.898           1
10/ 7/2018 59: 2:19         120         120         120         120       99001               120    11880120   507424946     4066585     124.779           1
10/ 7/2018 59: 2:20         130         130         130         130       99001               130    12870130   520295076     4165586     124.903           1
10/ 7/2018 59: 2:25         120         120         120         120       99001               120    11880120   532175196     4264587     124.789           1
10/ 7/2018 59: 2:26         130         130         130         130       99001               130    12870130   545045326     4363588     124.908           1
10/ 7/2018 59: 2:42         120         120         120         120       99001               120    11880120   556925446     4462589     124.799           1
10/ 7/2018 59: 2:51         130         130         130         130       99001               130    12870130   569795576     4561590     124.912           1
10/ 7/2018 59: 2:52         120         120         120         120       99001               120    11880120   581675696     4660591     124.807           1
14/ 7/2018  0: 2:31         120         120         120         120      100000               120    12000000   593675696     4760591     124.706           1
16/ 7/2018 10: 2:19         130         130         130         130      100000               130    13000000   606675696     4860591     124.815           1
16/ 7/2018 11: 2:32         120         120         120         120      100000               120    12000000   618675696     4960591     124.718           1
16/ 7/2018 11: 2:33         130         130         130         130      100000               130    13000000   631675696     5060591     124.823           1
16/ 7/2018 11: 2:42         120         120         120         120      100000               120    12000000   643675696     5160591     124.729           1
16/ 7/2018 11: 2:55         130         130         130         130      100000               130    13000000   656675696     5260591     124.829           1
16/ 7/2018 12: 2: 8         120         120         120         120      100000               120    12000000   668675696     5360591     124.739           1
16/ 7/2018 12: 2:15         130         130         130         130      100000               130    13000000   681675696     5460591     124.836           1
16/ 7/2018 12: 2:45         120         120         120         120      100000               120    12000000   693675696     5560591     124.749           1
16/ 7/2018 13: 2: 0         130         130         130         130      100000               130    13000000   706675696     5660591     124.841           1
16/ 7/2018 13: 2:18         120         120         120         120      100000               120    12000000   718675696     5760591     124.757           1
16/ 7/2018 13: 2:19         130         130         130         130      100000               130    13000000   731675696     5860591     124.847           1
16/ 7/2018 13: 2:25         120         120         120         120      100000               120    12000000   743675696     5960591     124.765           1
16/ 7/2018 13: 2:27         130         130         130         130      100000               130    13000000   756675696     6060591     124.852           1
16/ 7/2018 13: 2:39         120         120         120         120      100000               120    12000000   768675696     6160591     124.773           1
16/ 7/2018 13: 2:40         130         130         130         130      100000               130    13000000   781675696     6260591     124.857           1
16/ 7/2018 13: 2:41         120         120         120         120      100000               120    12000000   793675696     6360591      124.78           1
16/ 7/2018 13: 2:42         130         130         130         130      100000               130    13000000   806675696     6460591     124.861           1
16/ 7/2018 13: 2:44         120         120         120         120      100000               120    12000000   818675696     6560591     124.787           1
16/ 7/2018 13: 2:45         130         130         130         130      100000               130    13000000   831675696     6660591     124.865           1
16/ 7/2018 13: 2:59         120         120         120         120      100000               120    12000000   843675696     6760591     124.793           1
16/ 7/2018 14: 2: 0         130         130         130         130      100000               130    13000000   856675696     6860591     124.869           1
16/ 7/2018 16: 2:15         120         120         120         120      100000               120    12000000   868675696     6960591     124.799           1
16/ 7/2018 16: 2:16         130         130         130         130      100000               130    13000000   881675696     7060591     124.873           1
16/ 7/2018 16: 2:17         120         120         120         120      100000               120    12000000   893675696     7160591     124.805           1
16/ 7/2018 16: 2:51         130         130         130         130      100000               130    13000000   906675696     7260591     124.876           1
16/ 7/2018 16: 2:54         120         120         120         120      100000               120    12000000   918675696     7360591      124.81           1
16/ 7/2018 30: 2: 4         130         130         130         130      100000               130    13000000   931675696     7460591      124.88           1
16/ 7/2018 32: 2:39         120         120         120         120      100000               120    12000000   943675696     7560591     124.815           1
16/ 7/2018 33: 2:16         130         130         130         130      100000               130    13000000   956675696     7660591     124.883           1
16/ 7/2018 33: 2:17         120         120         120         120      100000               120    12000000   968675696     7760591      124.82           1
16/ 7/2018 33: 2:23         130         130         130         130      100000               130    13000000   981675696     7860591     124.886           1
16/ 7/2018 33: 2:24         120         120         120         120      100000               120    12000000   993675696     7960591     124.824           1
16/ 7/2018 33: 2:27         130         130         130         130      100000               130    13000000  1006675696     8060591     124.889           1
16/ 7/2018 33: 2:32         120         120         120         120      100000               120    12000000  1018675696     8160591     124.829           1
16/ 7/2018 33: 2:33         130         130         130         130      100000               130    13000000  1031675696     8260591     124.891           1
16/ 7/2018 33: 2:39         120         120         120         120      100000               120    12000000  1043675696     8360591     124.833           1
16/ 7/2018 33: 2:44         130         130         130         130      100000               130    13000000  1056675696     8460591     124.894           1
16/ 7/2018 33: 2:46         120         120         120         120      100000               120    12000000  1068675696     8560591     124.837           1
16/ 7/2018 33: 2:47         130         130         130         130      100000               130    13000000  1081675696     8660591     124.896           1
16/ 7/2018 33: 2:49         120         120         120         120      100000               120    12000000  1093675696     8760591      124.84           1
16/ 7/2018 33: 2:51         130         130         130         130      100000               130    13000000  1106675696     8860591     124.899           1
16/ 7/2018 33: 2:57         120         120         120         120      100000               120    12000000  1118675696     8960591     124.844           1
16/ 7/2018 33: 2:58         130         130         130         130      100000               130    13000000  1131675696     9060591     124.901           1
16/ 7/2018 33: 2:59         120         120         120         120      100000               120    12000000  1143675696     9160591     124.847           1
16/ 7/2018 34: 2: 5         130         130         130         130      100000               130    13000000  1156675696     9260591     124.903           1
17/ 7/2018 14: 2:49         120         120         120         120         638               120       76560  1156752256     9261229     124.903           1
17/ 7/2018 25: 2:49         120         120         120         120       99362               120    11923440  1168675696     9360591     124.851           1
17/ 7/2018 25: 2:52         130         130         130         130       99362               130    12917060  1181592756     9459953     124.905           1
