         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
10/ 7/2018  0: 2: 0         170         170         170         170        3000               170      510000      510000        3000         170           1
10/ 7/2018  0: 2: 3         170         170         170         170       97000               170    16490000    17000000      100000         170           1
10/ 7/2018  2: 2:12         170         170         170         170        3678               170      625260    17625260      103678         170           1
10/ 7/2018  5: 2:32         160         160         160         160      100000               160    16000000    33625260      203678      165.09           1
10/ 7/2018  5: 2:34         170         170         170         170      100000               170    17000000    50625260      303678     166.707           1
10/ 7/2018  5: 2:35         160         160         160         160      100000               160    16000000    66625260      403678     165.046           1
10/ 7/2018  5: 2:50         170         170         170         170      100000               170    17000000    83625260      503678     166.029           1
10/ 7/2018  6: 2:19         160         160         160         160      100000               160    16000000    99625260      603678      165.03           1
10/ 7/2018  9: 2:33         160         160         160         160        1000               160      160000    99785260      604678     165.022           1
10/ 7/2018 10: 2: 2         150         150         150         150      100000               150    15000000   114785260      704678      162.89           1
10/ 7/2018 10: 2: 3         170         170         170         170      100000               170    17000000   131785260      804678     163.774           1
10/ 7/2018 10: 2: 4         170         170         170         170      100000               170    17000000   148785260      904678     164.462           1
10/ 7/2018 10: 2: 5         160         160         160         160       99000               160    15840000   164625260     1003678     164.022           1
10/ 7/2018 10: 2: 7         170         170         170         170      100000               170    17000000   181625260     1103678     164.564           1
10/ 7/2018 10: 2: 8         160         160         160         160      100000               160    16000000   197625260     1203678     164.184           1
10/ 7/2018 10: 2:11         170         170         170         170      100000               170    17000000   214625260     1303678     164.631           1
10/ 7/2018 10: 2:12         160         160         160         160      100000               160    16000000   230625260     1403678     164.301           1
10/ 7/2018 10: 2:15         170         170         170         170      100000               170    17000000   247625260     1503678      164.68           1
10/ 7/2018 10: 2:16         160         160         160         160      100000               160    16000000   263625260     1603678     164.388           1
10/ 7/2018 10: 2:17         160         160         160         160      100000               160    16000000   279625260     1703678      164.13           1
10/ 7/2018 10: 2:19         170         170         170         170      100000               170    17000000   296625260     1803678     164.456           1
10/ 7/2018 10: 2:20         160         160         160         160      100000               160    16000000   312625260     1903678     164.222           1
10/ 7/2018 10: 2:22         170         170         170         170      100000               170    17000000   329625260     2003678      164.51           1
10/ 7/2018 10: 2:27         160         160         160         160      100000               160    16000000   345625260     2103678     164.296           1
10/ 7/2018 10: 2:28         170         170         160         160        5000           163.333      816666   346441926     2108678     164.293           2
10/ 7/2018 10: 2:31         160         160         160         160       95000               160    15200000   361641926     2203678     164.108           1
10/ 7/2018 10: 2:32         170         170         170         170      100000               170    17000000   378641926     2303678     164.364           1
10/ 7/2018 10: 2:33         160         160         160         160      100000               160    16000000   394641926     2403678     164.183           1
