         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018  9:55: 1        2590        3150        2590        2780         750             2840     2130000     2130000         750             2840
 2/ 7/2018 10: 0: 0        2630        2850        2570        2850        3000          2756.67     8270000    10400000        3750          2773.33
 2/ 7/2018 10: 0: 1        2650        2650        2530        2530        1000             2570     2570000    12970000        4750          2730.53
 2/ 7/2018 10: 0: 3        2580        2600        2580        2600       10000          2593.33    25933333    38903333       14750          2637.51
 2/ 7/2018 10: 0: 4        2630        2650        2630        2650         500          2643.33     1321666    40224999       15250           2637.7
 2/ 7/2018 10: 0:13        2610        2610        2610        2610        2904             2610     7579440    47804439       18154          2633.27
 2/ 7/2018 10: 1:16        2550        2550        2550        2550         900             2550     2295000    50099439       19054          2629.34
 2/ 7/2018 10: 2:45        2610        2610        2610        2610         300             2610      783000    50882439       19354          2629.04
 2/ 7/2018 10: 2:47        2600        2600        2600        2600          50             2600      130000    51012439       19404          2628.97
 2/ 7/2018 10: 2:55        2750        2750        2750        2750        1000             2750     2750000    53762439       20404           2634.9
 2/ 7/2018 10: 3:30        2630        2650        2630        2650         224          2643.33      592106    54354545       20628          2634.99
 2/ 7/2018 10: 3:31        2610        2610        2610        2610         500             2610     1305000    55659545       21128           2634.4
 2/ 7/2018 10: 3:54        2630        2630        2630        2630         158             2630      415540    56075085       21286          2634.36
 2/ 7/2018 10: 3:55        2620        2640        2620        2640         175          2633.33      460833    56535918       21461          2634.36
 2/ 7/2018 10: 3:56        2620        2620        2620        2620          50             2620      131000    56666918       21511          2634.32
 2/ 7/2018 10: 3:58        2620        2620        2620        2620          50             2620      131000    56797918       21561          2634.29
 2/ 7/2018 10: 4: 1        2620        2620        2620        2620          50             2620      131000    56928918       21611          2634.26
 2/ 7/2018 10: 4: 2        2620        2620        2620        2620          50             2620      131000    57059918       21661          2634.22
 2/ 7/2018 10: 4: 3        2620        2620        2620        2620          50             2620      131000    57190918       21711          2634.19
 2/ 7/2018 10: 4: 5        2740        2740        2740        2740         326             2740      893240    58084158       22037          2635.76
 2/ 7/2018 10: 4: 6        2630        2630        2630        2630         842             2630     2214460    60298618       22879          2635.54
 2/ 7/2018 10: 4:37        2700        2700        2700        2700        3000             2700     8100000    68398618       25879          2643.02
 2/ 7/2018 10: 4:43        2610        2610        2610        2610          40             2610      104400    68503018       25919          2642.97
 2/ 7/2018 10: 5:22        2640        2640        2640        2640          22             2640       58080    68561098       25941          2642.96
 2/ 7/2018 10: 5:36        2640        2640        2640        2640          50             2640      132000    68693098       25991          2642.96
 2/ 7/2018 10: 5:38        2640        2640        2640        2640          50             2640      132000    68825098       26041          2642.95
 2/ 7/2018 10: 5:39        2640        2640        2640        2640          50             2640      132000    68957098       26091          2642.95
 2/ 7/2018 10: 5:41        2640        2640        2640        2640          50             2640      132000    69089098       26141          2642.94
 2/ 7/2018 10: 5:42        2640        2640        2640        2640          50             2640      132000    69221098       26191          2642.93
 2/ 7/2018 10: 5:43        2620        2640        2620        2640         500          2633.33     1316666    70537764       26691          2642.75
 2/ 7/2018 10: 5:58        2630        2630        2630        2630         100             2630      263000    70800764       26791          2642.71
 2/ 7/2018 10: 6:18        2640        2650        2640        2650         235          2646.67      621966    71422730       27026          2642.74
 2/ 7/2018 10: 7: 8        2640        2640        2640        2640        1000             2640     2640000    74062730       28026          2642.64
 2/ 7/2018 10: 7:21        2660        2660        2660        2660          70             2660      186200    74248930       28096          2642.69
