         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
 9/ 7/2018 55: 2: 1        6000        6330        6000        5750           2           6026.67       12053       12053           2      6026.5         410
10/ 7/2018  0: 2: 0        5320        5490        5230        5370        7500           5363.33    40225000    40237053        7502     5363.51          16
10/ 7/2018  0: 2: 1        5310        6330        4810        5250         500           5463.33     2731666    42968719        8002     5369.75          22
10/ 7/2018  0: 2: 2        5340        5700        5160        5500         250           5453.33     1363333    44332052        8252     5372.28          17
10/ 7/2018  0: 2: 3        5800        6050        5210        6050           2              5770       11540    44343592        8254     5372.38          12
10/ 7/2018  0: 2: 4        5310        5710        5270        5350         710           5443.33     3864766    48208358        8964        5378          24
10/ 7/2018  0: 2: 5        5290        5640        5250        5640           5              5510       27550    48235908        8969     5378.07           4
10/ 7/2018  0: 2: 7        5330        5330        5330        5330        1704              5330     9082320    57318228       10673      5370.4           1
10/ 7/2018  0: 2: 8        5410        5410        5330        5330        5000           5356.67    26783333    84101561       15673     5366.02           2
10/ 7/2018  0: 2:10        5780        5780        5320        5320         750           5473.33     4105000    88206561       16423     5370.92           2
10/ 7/2018  0: 2:11        5490        5500        5320        5330       11232           5383.33    60465600   148672161       27655     5375.96           5
10/ 7/2018  0: 2:12        5310        5510        5310        5330        5000           5383.33    26916666   175588827       32655     5377.09           4
10/ 7/2018  0: 2:13        5520        5520        5520        5520        3000              5520    16560000   192148827       35655     5389.11           1
10/ 7/2018  0: 2:14        5310        5900        5310        5330        6926           5513.33    38185346   230334173       42581     5409.32           3
10/ 7/2018  0: 2:16        5320        5500        5310        5320          25           5376.67      134416   230468589       42606      5409.3           4
10/ 7/2018  0: 2:17        5330        5330        5330        5330        4000              5330    21320000   251788589       46606     5402.49           1
10/ 7/2018  0: 2:18        5330        5400        5330        5340        2770           5356.67    14837966   266626555       49376     5399.92           3
10/ 7/2018  0: 2:19        5310        5820        5310        5310        4034              5480    22106320   288732875       53410     5405.97           5
10/ 7/2018  0: 2:20        5400        5650        5400        5500        3000           5516.67    16550000   305282875       56410     5411.86           3
10/ 7/2018  0: 2:21        5530        5800        5310        5330        2500              5480    13700000   318982875       58910     5414.75           8
