         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018  9:55: 1       21420       25620       21420       20960           1          22666.7       22666       22666           1            22666
 2/ 7/2018 10: 0: 0       21100       21340       20880       20880           1          21033.3       21033       43699           2          21849.5
 2/ 7/2018 10: 0: 1       20800       20860       20800       20860           1            20840       20840       64539           3            21513
 2/ 7/2018 10: 0: 2       20700       21620       20700       21480           1          21266.7       21266       85805           4          21451.2
 2/ 7/2018 10: 0: 3       21380       21400       21380       21400           1          21393.3       21393      107198           5          21439.6
 2/ 7/2018 10: 0: 4       21360       21400       21300       21300         250          21333.3     5333333     5440531         255          21335.4
 2/ 7/2018 10: 0:28       21280       21280       21280       21280         475            21280    10108000    15548531         730          21299.4
 2/ 7/2018 10: 0:42       21260       21260       21260       21260         250            21260     5315000    20863531         980          21289.3
 2/ 7/2018 10: 0:46       21280       21280       21280       21280         250            21280     5320000    26183531        1230          21287.4
 2/ 7/2018 10: 1: 2       21200       21200       21200       21200         250            21200     5300000    31483531        1480          21272.7
 2/ 7/2018 10: 1:48       20480       20480       20480       20480           1            20480       20480    31504011        1481          21272.1
 2/ 7/2018 10: 1:50       20500       20500       20500       20500           1            20500       20500    31524511        1482          21271.6
 2/ 7/2018 10: 1:52       20520       20520       20520       20520           1            20520       20520    31545031        1483          21271.1
 2/ 7/2018 10: 1:53       20540       20540       20540       20540           1            20540       20540    31565571        1484          21270.6
 2/ 7/2018 10: 1:55       20560       20560       20560       20560           1            20560       20560    31586131        1485          21270.1
 2/ 7/2018 10: 1:56       20580       20580       20580       20580           1            20580       20580    31606711        1486          21269.7
 2/ 7/2018 10: 1:57       20600       20600       20600       20600           1            20600       20600    31627311        1487          21269.2
 2/ 7/2018 10: 1:59       20620       20620       20620       20620           1            20620       20620    31647931        1488          21268.8
 2/ 7/2018 10: 2: 0       20640       20640       20640       20640           1            20640       20640    31668571        1489          21268.3
 2/ 7/2018 10: 2: 1       20660       20660       20660       20660           1            20660       20660    31689231        1490          21267.9
 2/ 7/2018 10: 2:10       20680       20680       20680       20680           1            20680       20680    31709911        1491          21267.5
 2/ 7/2018 10: 4:13       20360       20360       20360       20360           1            20360       20360    31730271        1492          21266.9
