         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0: 3         130         130         130         130       50000              130     6500000     6500000       50000              130
 2/ 7/2018 10: 1:18         120         120         120         120       50000              120     6000000    12500000      100000              125
 2/ 7/2018 10: 1:22         130         130         130         130       50000              130     6500000    19000000      150000          126.667
 2/ 7/2018 10: 3:42         120         120         120         120       50000              120     6000000    25000000      200000              125
 2/ 7/2018 10: 3:58         130         130         130         130       50000              130     6500000    31500000      250000              126
 2/ 7/2018 10: 4:59         120         120         120         120       50000              120     6000000    37500000      300000              125
 2/ 7/2018 10: 5: 3         130         130         130         130       50000              130     6500000    44000000      350000          125.714
 2/ 7/2018 10: 5:13         120         120         120         120       50000              120     6000000    50000000      400000              125
 2/ 7/2018 10: 6: 9         130         130         130         130       50000              130     6500000    56500000      450000          125.556
 2/ 7/2018 10: 6:33         120         120         120         120       50000              120     6000000    62500000      500000              125
 2/ 7/2018 10: 9:30         130         130         130         130       50000              130     6500000    69000000      550000          125.455
 2/ 7/2018 10:10:25         120         120         120         120       50000              120     6000000    75000000      600000              125
 2/ 7/2018 10:11:48         130         130         130         130       50000              130     6500000    81500000      650000          125.385
 2/ 7/2018 10:11:53         120         120         120         120       50000              120     6000000    87500000      700000              125
 2/ 7/2018 10:11:54         130         130         130         130       50000              130     6500000    94000000      750000          125.333
 2/ 7/2018 10:28: 8         130         130         130         130       50000              130     6500000   100500000      800000          125.625
 2/ 7/2018 10:30:54         120         120         120         120       50000              120     6000000   106500000      850000          125.294
 2/ 7/2018 10:31:39         130         130         130         130       50000              130     6500000   113000000      900000          125.556
 2/ 7/2018 10:31:59         120         120         120         120       50000              120     6000000   119000000      950000          125.263
 2/ 7/2018 10:33: 8         130         130         130         130       50000              130     6500000   125500000     1000000            125.5
 2/ 7/2018 10:33:26         120         120         120         120       50000              120     6000000   131500000     1050000          125.238
 2/ 7/2018 10:33:29         130         130         130         130       50000              130     6500000   138000000     1100000          125.455
 2/ 7/2018 10:33:46         120         120         120         120       50000              120     6000000   144000000     1150000          125.217
 2/ 7/2018 10:35:10         130         130         130         130       50000              130     6500000   150500000     1200000          125.417
 2/ 7/2018 10:35:11         120         120         120         120       50000              120     6000000   156500000     1250000            125.2
 2/ 7/2018 10:35:12         130         130         130         130       50000              130     6500000   163000000     1300000          125.385
 2/ 7/2018 10:35:15         120         120         120         120       50000              120     6000000   169000000     1350000          125.185
 2/ 7/2018 10:35:16         130         130         130         130       50000              130     6500000   175500000     1400000          125.357
 2/ 7/2018 10:35:37         120         120         120         120       50000              120     6000000   181500000     1450000          125.172
 2/ 7/2018 10:38:46         130         130         130         130       50000              130     6500000   188000000     1500000          125.333
 2/ 7/2018 10:39:22         120         120         120         120       50000              120     6000000   194000000     1550000          125.161
 2/ 7/2018 10:40:28         130         130         130         130       50000              130     6500000   200500000     1600000          125.312
 2/ 7/2018 10:41:22         120         120         120         120       50000              120     6000000   206500000     1650000          125.152
 2/ 7/2018 10:41:23         130         130         130         130       50000              130     6500000   213000000     1700000          125.294
 2/ 7/2018 10:41:24         120         120         120         120       50000              120     6000000   219000000     1750000          125.143
 2/ 7/2018 10:41:27         130         130         130         130       50000              130     6500000   225500000     1800000          125.278
 2/ 7/2018 10:41:40         120         120         120         120       50000              120     6000000   231500000     1850000          125.135
 2/ 7/2018 10:41:41         130         130         130         130       50000              130     6500000   238000000     1900000          125.263
 2/ 7/2018 11: 1: 2         120         120         120         120       50000              120     6000000   244000000     1950000          125.128
 2/ 7/2018 11: 2:36         130         130         130         130       50000              130     6500000   250500000     2000000           125.25
 2/ 7/2018 11: 3:32         120         120         120         120       50000              120     6000000   256500000     2050000          125.122
 2/ 7/2018 11: 3:33         130         130         130         130       50000              130     6500000   263000000     2100000          125.238
 2/ 7/2018 11: 4: 9         120         120         120         120       50000              120     6000000   269000000     2150000          125.116
 2/ 7/2018 12:14:12         110         110         110         110       50000              110     5500000   274500000     2200000          124.773
 2/ 7/2018 12:14:34         120         120         120         120       50000              120     6000000   280500000     2250000          124.667
 2/ 7/2018 12:14:49         110         110         110         110       50000              110     5500000   286000000     2300000          124.348
 2/ 7/2018 12:14:52         120         120         120         120       50000              120     6000000   292000000     2350000          124.255
 2/ 7/2018 12:14:53         110         110         110         110       50000              110     5500000   297500000     2400000          123.958
 2/ 7/2018 12:14:54         120         120         120         120       50000              120     6000000   303500000     2450000          123.878
 2/ 7/2018 12:21:44         110         110         110         110       50000              110     5500000   309000000     2500000            123.6
 2/ 7/2018 12:21:47         120         120         120         120       50000              120     6000000   315000000     2550000          123.529
 2/ 7/2018 12:22:18         110         110         110         110       50000              110     5500000   320500000     2600000          123.269
 2/ 7/2018 12:22:34         120         120         120         120       50000              120     6000000   326500000     2650000          123.208
 2/ 7/2018 12:22:43         110         110         110         110       50000              110     5500000   332000000     2700000          122.963
 2/ 7/2018 12:23:20         120         120         120         120       50000              120     6000000   338000000     2750000          122.909
 2/ 7/2018 12:23:27         110         110         110         110       50000              110     5500000   343500000     2800000          122.679
 2/ 7/2018 12:23:35         120         120         120         120       50000              120     6000000   349500000     2850000          122.632
 2/ 7/2018 12:23:36         110         110         110         110       50000              110     5500000   355000000     2900000          122.414
 2/ 7/2018 12:23:48         120         120         120         120       50000              120     6000000   361000000     2950000          122.373
 2/ 7/2018 12:23:50         110         110         110         110       50000              110     5500000   366500000     3000000          122.167
 2/ 7/2018 12:24: 1         120         120         120         120       50000              120     6000000   372500000     3050000          122.131
 2/ 7/2018 12:24:13         110         110         110         110       50000              110     5500000   378000000     3100000          121.935
 2/ 7/2018 12:24:21         120         120         120         120       50000              120     6000000   384000000     3150000          121.905
 2/ 7/2018 14: 0: 1         120         120         120         120       50000              120     6000000   390000000     3200000          121.875
 2/ 7/2018 16:14:33         130         130         130         130       50000              130     6500000   396500000     3250000              122
 2/ 7/2018 16:16:54         120         120         120         120       50000              120     6000000   402500000     3300000           121.97
 2/ 7/2018 16:18: 0         130         130         130         130       50000              130     6500000   409000000     3350000           122.09
 2/ 7/2018 16:18:21         120         120         120         120       50000              120     6000000   415000000     3400000          122.059
 2/ 7/2018 16:23:18         130         130         130         130       50000              130     6500000   421500000     3450000          122.174
 2/ 7/2018 16:23:32         120         120         120         120       50000              120     6000000   427500000     3500000          122.143
 2/ 7/2018 16:29:40         130         130         130         130       50000              130     6500000   434000000     3550000          122.254
 2/ 7/2018 16:29:58         120         120         120         120       50000              120     6000000   440000000     3600000          122.222
