         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0: 1         110         110         110         110        2000              110      220000      220000        2000              110
 2/ 7/2018 10: 0: 3          70          70          70          70      100000               70     7000000     7220000      102000          70.7843
 2/ 7/2018 10: 2:40          60          60          60          60      100000               60     6000000    13220000      202000          65.4455
 2/ 7/2018 10:11:25          50          50          50          50        2500               50      125000    13345000      204500          65.2567
 2/ 7/2018 10:27:54          60          60          60          60      100000               60     6000000    19345000      304500          63.5304
 2/ 7/2018 11:19:15          70          70          70          70      100000               70     7000000    26345000      404500          65.1298
 2/ 7/2018 11:25:46          60          60          60          60      100000               60     6000000    32345000      504500           64.113
 2/ 7/2018 11:30:42          70          70          70          70      100000               70     7000000    39345000      604500          65.0868
 2/ 7/2018 11:33:28          60          60          60          60      100000               60     6000000    45345000      704500          64.3648
 2/ 7/2018 12:31:35          70          70          70          70      100000               70     7000000    52345000      804500          65.0653
 2/ 7/2018 12:31:52          60          60          60          60      100000               60     6000000    58345000      904500          64.5053
 2/ 7/2018 14: 0: 1          70          70          70          70      100000               70     7000000    65345000     1004500          65.0523
 2/ 7/2018 14: 6:35          60          60          60          60      100000               60     6000000    71345000     1104500          64.5948
 2/ 7/2018 14: 6:36          70          70          70          70      100000               70     7000000    78345000     1204500          65.0436
 2/ 7/2018 14: 6:37          70          70          70          70      100000               70     7000000    85345000     1304500          65.4235
 2/ 7/2018 14: 6:38          70          70          70          70      100000               70     7000000    92345000     1404500          65.7494
 2/ 7/2018 14: 6:40          60          60          60          60      100000               60     6000000    98345000     1504500          65.3672
 2/ 7/2018 14: 6:41          70          70          70          70      100000               70     7000000   105345000     1604500           65.656
 2/ 7/2018 14: 6:42          60          60          60          60      100000               60     6000000   111345000     1704500          65.3241
 2/ 7/2018 14: 6:43          70          70          70          70      100000               70     7000000   118345000     1804500          65.5833
 2/ 7/2018 14: 7: 2          60          60          60          60      100000               60     6000000   124345000     1904500          65.2901
 2/ 7/2018 14: 7: 3          70          70          70          70      100000               70     7000000   131345000     2004500          65.5251
 2/ 7/2018 14: 7: 4          60          60          60          60      100000               60     6000000   137345000     2104500          65.2625
 2/ 7/2018 14: 7: 5          70          70          70          70      100000               70     7000000   144345000     2204500          65.4774
 2/ 7/2018 14: 7:19          60          60          60          60      100000               60     6000000   150345000     2304500          65.2397
 2/ 7/2018 14: 7:20          70          70          70          70      100000               70     7000000   157345000     2404500          65.4377
 2/ 7/2018 14: 7:23          60          60          60          60      100000               60     6000000   163345000     2504500          65.2206
 2/ 7/2018 14: 7:25          70          70          70          70      100000               70     7000000   170345000     2604500          65.4041
 2/ 7/2018 14: 7:26          60          60          60          60      100000               60     6000000   176345000     2704500          65.2043
 2/ 7/2018 14: 7:30          70          70          70          70      100000               70     7000000   183345000     2804500          65.3753
 2/ 7/2018 14: 7:31          60          60          60          60      100000               60     6000000   189345000     2904500          65.1902
 2/ 7/2018 14: 7:32          70          70          70          70      100000               70     7000000   196345000     3004500          65.3503
 2/ 7/2018 14: 7:33          70          70          70          70      100000               70     7000000   203345000     3104500          65.5001
 2/ 7/2018 14: 7:36          60          60          60          60      100000               60     6000000   209345000     3204500          65.3284
 2/ 7/2018 14: 7:37          70          70          70          70      100000               70     7000000   216345000     3304500          65.4698
 2/ 7/2018 14: 7:41          60          60          60          60      100000               60     6000000   222345000     3404500          65.3091
 2/ 7/2018 14: 7:42          70          70          70          70      100000               70     7000000   229345000     3504500           65.443
 2/ 7/2018 14: 7:44          60          60          60          60      100000               60     6000000   235345000     3604500           65.292
 2/ 7/2018 14: 7:45          70          70          70          70      100000               70     7000000   242345000     3704500          65.4191
 2/ 7/2018 14: 7:46          70          70          70          70      100000               70     7000000   249345000     3804500          65.5395
 2/ 7/2018 14: 7:47          70          70          70          70      100000               70     7000000   256345000     3904500          65.6537
 2/ 7/2018 14: 7:48          70          70          70          70      100000               70     7000000   263345000     4004500          65.7623
 2/ 7/2018 14: 7:49          70          70          70          70      100000               70     7000000   270345000     4104500          65.8655
 2/ 7/2018 14: 7:50          70          70          70          70      100000               70     7000000   277345000     4204500          65.9638
 2/ 7/2018 14: 7:51          70          70          70          70      100000               70     7000000   284345000     4304500          66.0576
 2/ 7/2018 14: 7:52          60          60          60          60      100000               60     6000000   290345000     4404500          65.9201
 2/ 7/2018 14: 7:53          70          70          70          70      100000               70     7000000   297345000     4504500          66.0107
 2/ 7/2018 14: 7:54          60          60          60          60      100000               60     6000000   303345000     4604500          65.8801
 2/ 7/2018 14: 7:56          70          70          70          70      100000               70     7000000   310345000     4704500          65.9677
 2/ 7/2018 14: 7:57          60          60          60          60      100000               60     6000000   316345000     4804500          65.8435
 2/ 7/2018 14: 7:58          70          70          70          70      100000               70     7000000   323345000     4904500          65.9282
 2/ 7/2018 14: 7:59          60          60          60          60      100000               60     6000000   329345000     5004500          65.8098
 2/ 7/2018 14: 8: 0          70          70          70          70      100000               70     7000000   336345000     5104500          65.8919
 2/ 7/2018 14: 8: 1          60          60          60          60      100000               60     6000000   342345000     5204500          65.7787
 2/ 7/2018 14: 8: 2          70          70          70          70      100000               70     7000000   349345000     5304500          65.8582
 2/ 7/2018 14: 8: 4          60          60          60          60      100000               60     6000000   355345000     5404500          65.7498
 2/ 7/2018 14: 8: 5          60          60          60          60      100000               60     6000000   361345000     5504500          65.6454
 2/ 7/2018 14: 8: 7          70          70          70          70      100000               70     7000000   368345000     5604500          65.7231
 2/ 7/2018 14: 8: 8          60          60          60          60      100000               60     6000000   374345000     5704500          65.6228
 2/ 7/2018 14: 8: 9          70          70          70          70      100000               70     7000000   381345000     5804500          65.6982
 2/ 7/2018 14: 8:10          60          60          60          60      100000               60     6000000   387345000     5904500          65.6017
 2/ 7/2018 14: 8:14          70          70          70          70      100000               70     7000000   394345000     6004500          65.6749
 2/ 7/2018 14: 8:15          60          60          60          60      100000               60     6000000   400345000     6104500          65.5819
 2/ 7/2018 14: 8:16          60          60          60          60      100000               60     6000000   406345000     6204500           65.492
 2/ 7/2018 14: 8:18          70          70          70          70      100000               70     7000000   413345000     6304500          65.5635
