         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018  9:55: 1        7850        9240        7850        7710         555          8266.67     4588000     4588000         555          8266.67
 2/ 7/2018 10: 0: 0        7800        7800        7800        7800       10000             7800    78000000    82588000       10555          7824.54
 2/ 7/2018 10: 0: 1        7900        9240        7900        8550        1000          8563.33     8563333    91151333       11555          7888.48
 2/ 7/2018 10: 0: 2        8850        8850        7700        7700        1898          8083.33    15342166   106493499       13453          7915.97
 2/ 7/2018 10: 0: 3        8200        8200        7650        7650         500          7833.33     3916666   110410165       13953          7913.01
 2/ 7/2018 10: 0: 4        7700        7700        7700        7700        1000             7700     7700000   118110165       14953          7898.76
 2/ 7/2018 10: 0: 5        7770        9200        7710        7750        1000             8220     8220000   126330165       15953           7918.9
 2/ 7/2018 10: 0:10        8020        8020        8020        8020        1000             8020     8020000   134350165       16953          7924.86
 2/ 7/2018 10: 0:13        7720        7720        7720        7720        2500             7720    19300000   153650165       19453          7898.53
 2/ 7/2018 10: 0:17        7750        7750        7750        7750         380             7750     2945000   156595165       19833          7895.69
 2/ 7/2018 10: 0:21        7750        7750        7750        7750         520             7750     4030000   160625165       20353          7891.97
 2/ 7/2018 10: 0:23        7720        7720        7720        7720        2500             7720    19300000   179925165       22853          7873.15
 2/ 7/2018 10: 0:29        7720        7720        7720        7720        1040             7720     8028800   187953965       23893          7866.49
 2/ 7/2018 10: 0:32        7800        7800        7800        7800        3433             7800    26777400   214731365       27326          7858.13
 2/ 7/2018 10: 0:41        7800        7800        7800        7800         125             7800      975000   215706365       27451          7857.87
 2/ 7/2018 10: 0:45        7770        7770        7770        7770         586             7770     4553220   220259585       28037          7856.03
 2/ 7/2018 10: 0:55        7750        7750        7750        7750         480             7750     3720000   223979585       28517          7854.25
 2/ 7/2018 10: 1: 1        7700        7780        7700        7750         200          7743.33     1548666   225528251       28717          7853.48
 2/ 7/2018 10: 1: 3        7770        7770        7770        7770        3446             7770    26775420   252303671       32163          7844.53
 2/ 7/2018 10: 1: 7        7750        7750        7750        7750        1000             7750     7750000   260053671       33163          7841.68
 2/ 7/2018 10: 1: 9        7770        7770        7770        7770         910             7770     7070700   267124371       34073          7839.77
 2/ 7/2018 10: 1:15        7720        8000        7720        7750        7251          7823.33    56726990   323851361       41324          7836.88
 2/ 7/2018 10: 1:16        7700        7700        7700        7700        1000             7700     7700000   331551361       42324          7833.65
 2/ 7/2018 10: 1:25        7630        7630        7630        7630        1000             7630     7630000   339181361       43324          7828.95
 2/ 7/2018 10: 1:26        7730        7730        7730        7730        1500             7730    11595000   350776361       44824          7825.64
 2/ 7/2018 10: 1:38        7700        7700        7700        7700         300             7700     2310000   353086361       45124           7824.8
 2/ 7/2018 10: 1:41        9230        9230        9230        9230        4020             9230    37104600   390190961       49144          7939.75
 2/ 7/2018 10: 1:45        7680        7740        7680        7740         500             7720     3860000   394050961       49644          7937.53
 2/ 7/2018 10: 1:50        7700        7700        7700        7700        5000             7700    38500000   432550961       54644           7915.8
 2/ 7/2018 10: 1:54        7670        7670        7670        7670        1000             7670     7670000   440220961       55644          7911.38
 2/ 7/2018 10: 1:55        7850        7850        7850        7850        1309             7850    10275650   450496611       56953          7909.97
 2/ 7/2018 10: 2:21        7750        7750        7750        7750        2455             7750    19026250   469522861       59408          7903.36
 2/ 7/2018 10: 2:33        7770        7770        7770        7770         100             7770      777000   470299861       59508          7903.14
 2/ 7/2018 10: 2:34        7750        7750        7750        7750          45             7750      348750   470648611       59553          7903.02
 2/ 7/2018 10: 2:36        7710        7710        7710        7710          50             7710      385500   471034111       59603          7902.86
 2/ 7/2018 10: 2:37        7690        7690        7690        7690          60             7690      461400   471495511       59663          7902.65
 2/ 7/2018 10: 2:38        7680        7700        7680        7700          65          7693.33      500066   471995577       59728          7902.42
 2/ 7/2018 10: 2:41        7750        7750        7750        7750        2000             7750    15500000   487495577       61728          7897.48
 2/ 7/2018 10: 2:43        7750        7750        7750        7750          60             7750      465000   487960577       61788          7897.34
 2/ 7/2018 10: 2:44        7830        7830        7830        7830        1230             7830     9630900   497591477       63018          7896.02
 2/ 7/2018 10: 2:47        7800        7800        7800        7800        2000             7800    15600000   513191477       65018          7893.07
 2/ 7/2018 10: 2:58        7750        7750        7750        7750          75             7750      581250   513772727       65093           7892.9
 2/ 7/2018 10: 3: 0        7740        7740        7740        7740         600             7740     4644000   518416727       65693          7891.51
 2/ 7/2018 10: 3: 4        7750        7750        7750        7750          22             7750      170500   518587227       65715          7891.46
 2/ 7/2018 10: 3: 9        7740        7740        7740        7740           2             7740       15480   518602707       65717          7891.45
 2/ 7/2018 10: 3:12        7690        7690        7690        7690        2000             7690    15380000   533982707       67717           7885.5
 2/ 7/2018 10: 3:14        9200        9200        9200        9200         400             9200     3680000   537662707       68117          7893.22
 2/ 7/2018 10: 3:17        7840        7840        7840        7840          16             7840      125440   537788147       68133          7893.21
 2/ 7/2018 10: 3:19        7000        7000        7000        7000         150             7000     1050000   538838147       68283          7891.25
 2/ 7/2018 10: 3:21        7650        7650        7650        7650        2000             7650    15300000   554138147       70283          7884.38
 2/ 7/2018 10: 3:39        6900        7750        6900        7750        2050          7466.67    15306666   569444813       72333          7872.55
 2/ 7/2018 10: 3:42        7750        7750        7750        7750         125             7750      968750   570413563       72458          7872.33
 2/ 7/2018 10: 3:45        7770        7770        7770        7770         100             7770      777000   571190563       72558          7872.19
 2/ 7/2018 10: 3:46        7750        7750        7750        7750          65             7750      503750   571694313       72623          7872.08
 2/ 7/2018 10: 3:49        7750        7750        7750        7750         260             7750     2015000   573709313       72883          7871.65
 2/ 7/2018 10: 4: 1        7750        7750        7750        7750        1000             7750     7750000   581459313       73883             7870
 2/ 7/2018 10: 4:24        7750        7750        7750        7750           2             7750       15500   581474813       73885             7870
 2/ 7/2018 10: 4:29        7750        7750        7750        7750         238             7750     1844500   583319313       74123          7869.61
 2/ 7/2018 10: 4:30        7720        7720        7720        7720        1040             7720     8028800   591348113       75163          7867.54
 2/ 7/2018 10: 4:31        7720        7720        7720        7720        1040             7720     8028800   599376913       76203          7865.53
 2/ 7/2018 10: 4:33        7720        7720        7720        7720        1040             7720     8028800   607405713       77243          7863.57
 2/ 7/2018 10: 4:34        7720        7720        7720        7720        1040             7720     8028800   615434513       78283          7861.66
 2/ 7/2018 10: 4:37        7750        7750        7750        7750         770             7750     5967500   621402013       79053          7860.57
 2/ 7/2018 10: 4:40        7760        7760        7760        7760         415             7760     3220400   624622413       79468          7860.05
 2/ 7/2018 10: 4:46        7760        7760        7760        7760        1585             7760    12299600   636922013       81053          7858.09
 2/ 7/2018 10: 4:49        8490        8490        8490        8490        6247             8490    53037030   689959043       87300          7903.31
