         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0: 3         200         200         200         200      100000              200    20000000    20000000      100000              200
 2/ 7/2018 10:16:52         210         210         210         210      100000              210    21000000    41000000      200000              205
 2/ 7/2018 10:28:14         210         210         210         210      100000              210    21000000    62000000      300000          206.667
 2/ 7/2018 10:35:51         200         200         200         200      100000              200    20000000    82000000      400000              205
 2/ 7/2018 10:36:49         190         190         190         190           1              190         190    82000190      400001              205
 2/ 7/2018 10:36:53         200         200         200         200           1              200         200    82000390      400002              205
 2/ 7/2018 11: 5:20         210         210         210         210      100000              210    21000000   103000390      500002              206
 2/ 7/2018 11:19:27         200         200         200         200      100000              200    20000000   123000390      600002              205
 2/ 7/2018 11:21:14         210         210         210         210      100000              210    21000000   144000390      700002          205.714
 2/ 7/2018 11:21:17         200         200         200         200      100000              200    20000000   164000390      800002              205
 2/ 7/2018 11:21:18         210         210         210         210      100000              210    21000000   185000390      900002          205.556
 2/ 7/2018 11:21:28         200         200         200         200      100000              200    20000000   205000390     1000002              205
 2/ 7/2018 11:23: 9         210         210         210         210      100000              210    21000000   226000390     1100002          205.455
 2/ 7/2018 12:29:15         220         220         220         220      100000              220    22000000   248000390     1200002          206.667
 2/ 7/2018 12:34:48         210         210         210         210      100000              210    21000000   269000390     1300002          206.923
 2/ 7/2018 12:34:49         220         220         220         220      100000              220    22000000   291000390     1400002          207.857
 2/ 7/2018 12:35: 3         210         210         210         210      100000              210    21000000   312000390     1500002              208
 2/ 7/2018 12:35: 4         220         220         220         220      100000              220    22000000   334000390     1600002           208.75
 2/ 7/2018 12:35:11         210         210         210         210      100000              210    21000000   355000390     1700002          208.824
 2/ 7/2018 12:43:37         220         220         220         220      100000              220    22000000   377000390     1800002          209.444
 2/ 7/2018 12:57:43         210         210         210         210           1              210         210   377000600     1800003          209.444
 2/ 7/2018 12:57:45         220         220         220         220           1              220         220   377000820     1800004          209.444
 2/ 7/2018 12:57:49         200         200         200         200           1              200         200   377001020     1800005          209.444
 2/ 7/2018 14: 0: 1         220         220         220         220      100000              220    22000000   399001020     1900005              210
 2/ 7/2018 14:24:37         210         210         210         210      100000              210    21000000   420001020     2000005              210
 2/ 7/2018 14:25:18         220         220         220         220      100000              220    22000000   442001020     2100005          210.476
 2/ 7/2018 14:31:29         210         210         210         210      100000              210    21000000   463001020     2200005          210.455
 2/ 7/2018 14:40: 9         220         220         220         220      100000              220    22000000   485001020     2300005           210.87
 2/ 7/2018 16: 6:26         230         230         230         230      100000              230    23000000   508001020     2400005          211.667
 2/ 7/2018 17: 9:55         220         220         220         220      100000              220    22000000   530001020     2500005              212
 2/ 7/2018 17: 9:56         230         230         230         230      100000              230    23000000   553001020     2600005          212.692
 2/ 7/2018 17: 9:57         220         220         220         220      100000              220    22000000   575001020     2700005          212.963
 2/ 7/2018 17:11:43         230         230         230         230      100000              230    23000000   598001020     2800005          213.571
