         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0: 0         550         550         550         550          20              550       11000       11000          20              550
 2/ 7/2018 10: 0: 3         740         740         740         740       50000              740    37000000    37011000       50020          739.924
 2/ 7/2018 10: 1:28         750         750         750         750       50000              750    37500000    74511000      100020          744.961
 2/ 7/2018 10: 1:57         740         740         740         740       50000              740    37000000   111511000      150020          743.308
 2/ 7/2018 10: 4:31         730         730         730         730       50000              730    36500000   148011000      200020          739.981
 2/ 7/2018 10: 4:47         740         740         740         740       50000              740    37000000   185011000      250020          739.985
 2/ 7/2018 10: 4:48         730         730         730         730       50000              730    36500000   221511000      300020          738.321
 2/ 7/2018 10: 5:10         740         740         740         740       50000              740    37000000   258511000      350020          738.561
 2/ 7/2018 10: 5:11         730         730         730         730       50000              730    36500000   295011000      400020          737.491
 2/ 7/2018 10: 5:24         740         740         740         740       50000              740    37000000   332011000      450020          737.769
 2/ 7/2018 10: 5:25         730         730         730         730       50000              730    36500000   368511000      500020          736.993
 2/ 7/2018 10: 5:30         740         740         740         740       50000              740    37000000   405511000      550020          737.266
 2/ 7/2018 10: 5:31         730         730         730         730       50000              730    36500000   442011000      600020           736.66
 2/ 7/2018 10: 6:12         700         700         700         700         100              700       70000   442081000      600120          736.654
 2/ 7/2018 10:10:30         740         740         740         740       50000              740    37000000   479081000      650120          736.912
 2/ 7/2018 10:16: 7         730         730         730         730       50000              730    36500000   515581000      700120          736.418
 2/ 7/2018 10:18: 3         720         720         720         720       50000              720    36000000   551581000      750120          735.324
 2/ 7/2018 10:18: 4         730         730         730         730       50000              730    36500000   588081000      800120          734.991
 2/ 7/2018 10:18: 9         720         720         720         720       50000              720    36000000   624081000      850120          734.109
 2/ 7/2018 10:18:12         730         730         730         730       50000              730    36500000   660581000      900120          733.881
 2/ 7/2018 10:18:16         720         720         720         720       50000              720    36000000   696581000      950120          733.151
 2/ 7/2018 10:18:18         730         730         730         730       50000              730    36500000   733081000     1000120          732.993
 2/ 7/2018 10:18:24         720         720         720         720       50000              720    36000000   769081000     1050120          732.374
 2/ 7/2018 10:18:27         730         730         730         730       50000              730    36500000   805581000     1100120          732.266
 2/ 7/2018 10:18:28         730         730         730         730       50000              730    36500000   842081000     1150120          732.168
 2/ 7/2018 10:18:29         730         730         730         730       50000              730    36500000   878581000     1200120          732.078
 2/ 7/2018 10:18:30         730         730         730         730       50000              730    36500000   915081000     1250120          731.995
 2/ 7/2018 10:18:31         720         720         720         720       50000              720    36000000   951081000     1300120          731.533
 2/ 7/2018 10:18:32         730         730         730         730       50000              730    36500000   987581000     1350120          731.476
 2/ 7/2018 10:18:33         720         720         720         720       50000              720    36000000  1023581000     1400120          731.067
 2/ 7/2018 10:28:14         730         730         730         730       50000              730    36500000  1060081000     1450120           731.03
 2/ 7/2018 10:31:40         740         740         740         740       50000              740    37000000  1097081000     1500120          731.329
 2/ 7/2018 10:35:11         730         730         730         730       50000              730    36500000  1133581000     1550120          731.286
 2/ 7/2018 10:38:46         740         740         740         740       50000              740    37000000  1170581000     1600120          731.558
 2/ 7/2018 10:38:47         730         730         730         730       50000              730    36500000  1207081000     1650120          731.511
 2/ 7/2018 10:38:52         740         740         740         740       50000              740    37000000  1244081000     1700120          731.761
 2/ 7/2018 10:38:53         730         730         730         730       50000              730    36500000  1280581000     1750120           731.71
 2/ 7/2018 10:39: 2         740         740         740         740       50000              740    37000000  1317581000     1800120          731.941
 2/ 7/2018 10:39: 4         730         730         730         730       50000              730    36500000  1354081000     1850120          731.888
 2/ 7/2018 10:39: 5         740         740         740         740       50000              740    37000000  1391081000     1900120          732.102
 2/ 7/2018 10:39: 6         730         730         730         730       50000              730    36500000  1427581000     1950120          732.048
 2/ 7/2018 10:39: 7         730         730         730         730       50000              730    36500000  1464081000     2000120          731.997
 2/ 7/2018 10:39:11         740         740         740         740       50000              740    37000000  1501081000     2050120          732.192
 2/ 7/2018 10:39:15         730         730         730         730       50000              730    36500000  1537581000     2100120           732.14
 2/ 7/2018 10:39:22         740         740         740         740       50000              740    37000000  1574581000     2150120          732.322
 2/ 7/2018 10:39:23         730         730         730         730       50000              730    36500000  1611081000     2200120           732.27
 2/ 7/2018 10:45:34         720         720         720         720       50000              720    36000000  1647081000     2250120          731.997
 2/ 7/2018 10:46: 7         710         710         710         710       32500              710    23075000  1670156000     2282620          731.684
 2/ 7/2018 10:47:25         730         730         730         730       50000              730    36500000  1706656000     2332620          731.648
 2/ 7/2018 10:48: 5         720         720         720         720       32500              720    23400000  1730056000     2365120          731.488
 2/ 7/2018 10:48:49         740         740         740         740       50000              740    37000000  1767056000     2415120          731.664
 2/ 7/2018 10:48:55         730         730         730         730       50000              730    36500000  1803556000     2465120           731.63
 2/ 7/2018 10:48:56         740         740         740         740       50000              740    37000000  1840556000     2515120          731.796
 2/ 7/2018 10:48:57         730         730         730         730       50000              730    36500000  1877056000     2565120          731.761
 2/ 7/2018 10:48:59         740         740         740         740       50000              740    37000000  1914056000     2615120          731.919
 2/ 7/2018 10:49: 0         730         730         730         730       50000              730    36500000  1950556000     2665120          731.883
 2/ 7/2018 10:49: 1         730         730         730         730       50000              730    36500000  1987056000     2715120          731.848
 2/ 7/2018 10:49: 2         740         740         740         740       50000              740    37000000  2024056000     2765120          731.996
 2/ 7/2018 10:49:29         750         750         750         750       50000              750    37500000  2061556000     2815120          732.315
 2/ 7/2018 10:49:51         760         760         760         760       50000              760    38000000  2099556000     2865120          732.799
 2/ 7/2018 10:50:43         750         750         750         750       50000              750    37500000  2137056000     2915120          733.094
 2/ 7/2018 10:53: 2         740         740         740         740       50000              740    37000000  2174056000     2965120           733.21
 2/ 7/2018 10:54:12         750         750         750         750       50000              750    37500000  2211556000     3015120          733.489
 2/ 7/2018 10:54:37         740         740         740         740       50000              740    37000000  2248556000     3065120          733.595
 2/ 7/2018 10:54:46         750         750         750         750       50000              750    37500000  2286056000     3115120          733.858
 2/ 7/2018 10:55: 5         740         740         740         740       50000              740    37000000  2323056000     3165120          733.955
 2/ 7/2018 10:56:19         750         750         750         750       50000              750    37500000  2360556000     3215120          734.205
 2/ 7/2018 11: 1:57         740         740         740         740         500              740      370000  2360926000     3215620          734.206
 2/ 7/2018 11:10:41         760         760         760         760       50000              760    38000000  2398926000     3265620            734.6
 2/ 7/2018 11:14:10         750         750         750         750       50000              750    37500000  2436426000     3315620          734.833
 2/ 7/2018 11:17:52         760         760         760         760       50000              760    38000000  2474426000     3365620          735.207
 2/ 7/2018 11:18:40         750         750         750         750       50000              750    37500000  2511926000     3415620          735.423
 2/ 7/2018 11:33:35         740         740         740         740       50000              740    37000000  2548926000     3465620          735.489
