         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018  9:55: 1        3840        3860        3840        2610        7500          3436.67    25775000    25775000        7500          3436.67
 2/ 7/2018 10: 0: 0        3240        3240        3240        3240         500             3240     1620000    27395000        8000          3424.38
 2/ 7/2018 10: 0: 1        3230        3230        3230        3230         496             3230     1602080    28997080        8496          3413.03
 2/ 7/2018 10: 0: 2        3210        3210        3210        3210         250             3210      802500    29799580        8746          3407.22
 2/ 7/2018 10: 0: 3        3210        3220        3210        3220         250          3216.67      804166    30603746        8996          3401.93
 2/ 7/2018 10: 0:58        3230        3230        3230        3230           9             3230       29070    30632816        9005          3401.76
 2/ 7/2018 10: 1:43        3210        3210        3210        3210         100             3210      321000    30953816        9105          3399.65
 2/ 7/2018 10: 1:57        3210        3210        3210        3210         216             3210      693360    31647176        9321          3395.26
 2/ 7/2018 10: 3:20        3210        3210        3210        3210         200             3210      642000    32289176        9521          3391.36
 2/ 7/2018 10: 3:25        3220        3220        3220        3220         150             3220      483000    32772176        9671          3388.71
 2/ 7/2018 10: 5:56        3220        3220        3220        3220         500             3220     1610000    34382176       10171          3380.41
 2/ 7/2018 10: 6:37        3220        3220        3220        3220         500             3220     1610000    35992176       10671           3372.9
 2/ 7/2018 10: 7:28        3260        3260        3260        3260         500             3260     1630000    37622176       11171          3367.84
 2/ 7/2018 10: 8:24        3230        3230        3230        3230         500             3230     1615000    39237176       11671          3361.94
 2/ 7/2018 10: 9:15        3230        3230        3230        3230           4             3230       12920    39250096       11675          3361.89
 2/ 7/2018 10:19:54        3230        3230        3230        3230         491             3230     1585930    40836026       12166          3356.57
 2/ 7/2018 10:20: 6        3210        3210        3210        3210         500             3210     1605000    42441026       12666          3350.78
 2/ 7/2018 10:20:52        3220        3220        3220        3220         200             3220      644000    43085026       12866          3348.75
 2/ 7/2018 10:26:47        3220        3220        3220        3220         146             3220      470120    43555146       13012          3347.31
 2/ 7/2018 10:28:56        3200        3200        3200        3200        1000             3200     3200000    46755146       14012          3336.79
 2/ 7/2018 10:29:39        3220        3220        3220        3220         239             3220      769580    47524726       14251          3334.83
 2/ 7/2018 10:29:50        3210        3210        3210        3210         250             3210      802500    48327226       14501          3332.68
 2/ 7/2018 10:30: 2        3160        3160        3160        3160         250             3160      790000    49117226       14751          3329.76
 2/ 7/2018 10:30:15        3150        3150        3150        3150         250             3150      787500    49904726       15001          3326.76
 2/ 7/2018 10:30:33        3140        3140        3140        3140        1000             3140     3140000    53044726       16001          3315.09
 2/ 7/2018 10:30:54        3120        3120        3120        3120        1000             3120     3120000    56164726       17001          3303.61
 2/ 7/2018 10:31: 4        3220        3220        3220        3220         400             3220     1288000    57452726       17401          3301.69
 2/ 7/2018 10:31:34        3320        3320        3320        3320        1000             3320     3320000    60772726       18401          3302.69
 2/ 7/2018 10:31:57        3220        3220        3220        3220         500             3220     1610000    62382726       18901           3300.5
 2/ 7/2018 10:32:32        3230        3230        3230        3230         510             3230     1647300    64030026       19411          3298.65
 2/ 7/2018 10:33: 8        3230        3230        3230        3230         500             3230     1615000    65645026       19911          3296.92
 2/ 7/2018 10:34: 3        3240        3240        3240        3240         148             3240      479520    66124546       20059           3296.5
 2/ 7/2018 10:34: 9        3240        3240        3240        3240        1000             3240     3240000    69364546       21059          3293.82
 2/ 7/2018 10:34:13        3240        3240        3240        3240         250             3240      810000    70174546       21309          3293.19
 2/ 7/2018 10:34:24        3250        3250        3250        3250         189             3250      614250    70788796       21498          3292.81
 2/ 7/2018 10:34:33        3250        3250        3250        3250         350             3250     1137500    71926296       21848          3292.12
 2/ 7/2018 10:34:44        3150        3250        3150        3250         350          3216.67     1125833    73052129       22198          3290.93
 2/ 7/2018 10:34:51        3150        3150        3150        3150         500             3150     1575000    74627129       22698          3287.83
 2/ 7/2018 10:34:57        3250        3250        3250        3250         111             3250      360750    74987879       22809          3287.64
 2/ 7/2018 10:35: 1        3210        3210        3210        3210         250             3210      802500    75790379       23059           3286.8
 2/ 7/2018 10:35:16        3250        3250        3250        3250          89             3250      289250    76079629       23148          3286.66
 2/ 7/2018 10:35:42        3250        3250        3250        3250         125             3250      406250    76485879       23273          3286.46
 2/ 7/2018 10:36:18        3260        3260        3260        3260          86             3260      280360    76766239       23359          3286.37
 2/ 7/2018 10:36:29        3250        3250        3250        3250         200             3250      650000    77416239       23559          3286.06
 2/ 7/2018 10:36:32        3020        3020        3020        3020        1650             3020     4983000    82399239       25209          3268.64
 2/ 7/2018 10:37: 0        3250        3250        3250        3250        1000             3250     3250000    85649239       26209          3267.93
 2/ 7/2018 10:37: 6        3250        3250        3250        3250         150             3250      487500    86136739       26359          3267.83
 2/ 7/2018 10:38:11        3240        3240        3240        3240        1000             3240     3240000    89376739       27359          3266.81
