         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
 9/ 7/2018 55: 2: 1       33880       38760       33880       31960         250           34866.7     8716666     8716666         250     34866.7         731
10/ 7/2018  0: 2:55       31800       31800       31800       31800           1             31800       31800   521212884       16777     31067.1           1
10/ 7/2018  0: 2:56       31440       31440       30820       30820         500           31026.7    15513333   536726217       17277     31065.9           2
10/ 7/2018  0: 2:57       31000       31480       31000       31480         250             31320     7830000   544556217       17527     31069.6           4
10/ 7/2018  0: 2:59       31440       31440       30000       30000        1000             30480    30480000   575036217       18527     31037.7           2
10/ 7/2018  1: 2: 0       31440       31460       31420       31460          20           31446.7      628933   575665150       18547     31038.2           3
10/ 7/2018  1: 2: 1       31500       32720       27500       31420         240           30546.7     7331200   582996350       18787     31031.9           4
10/ 7/2018  1: 2: 2       31400       31500       31340       31340           2           31393.3       62786   583059136       18789     31031.9           3
10/ 7/2018  1: 2: 3       31360       31360       31360       31360         127             31360     3982720   587041856       18916     31034.1           1
10/ 7/2018  1: 2: 4       31320       31320       31320       31320           1             31320       31320   587073176       18917     31034.2           2
10/ 7/2018  1: 2: 5       31460       31460       31460       31460          31             31460      975260   588048436       18948     31034.9           1
10/ 7/2018  1: 2: 6       31500       31500       31240       31240         100           31326.7     3132666   591181102       19048     31036.4           3
10/ 7/2018  1: 2: 7       31500       31500       31460       31460         301           31473.3     9473473   600654575       19349     31043.2           2
10/ 7/2018  1: 2: 9       31360       31360       31360       31360         300             31360     9408000   610062575       19649       31048           1
10/ 7/2018  1: 2:10       31200       31200       31000       31000         100           31066.7     3106666   613169241       19749     31048.1           2
10/ 7/2018  1: 2:11       31420       31460       31340       31440          31           31413.3      973813   614143054       19780     31048.7           4
10/ 7/2018  1: 2:12       31120       31680       31120       31680         500           31493.3    15746666   629889720       20280     31059.7           4
10/ 7/2018  1: 2:13       31360       31420       31360       31420          80             31400     2512000   632401720       20360       31061           2
10/ 7/2018  1: 2:14       31400       31400       31400       31400         550             31400    17270000   649671720       20910     31069.9           1
10/ 7/2018  1: 2:16       31440       31440       31340       31340         250           31373.3     7843333   657515053       21160     31073.5           2
10/ 7/2018  1: 2:17       31400       31400       31400       31400         301             31400     9451400   666966453       21461     31078.1           1
