         Date              Open        High         Low       Close      Volume    Typical Price         V*P    Total VP     Total V            VWAP
 2/ 7/2018 10: 0: 3         500         500         500         500      100000              500    50000000    50000000      100000              500
 2/ 7/2018 10:14:14         510         510         510         510      100000              510    51000000   101000000      200000              505
 2/ 7/2018 10:14:15         500         500         500         500      100000              500    50000000   151000000      300000          503.333
 2/ 7/2018 10:14:16         510         510         510         510      100000              510    51000000   202000000      400000              505
 2/ 7/2018 10:14:18         500         500         500         500      100000              500    50000000   252000000      500000              504
 2/ 7/2018 10:14:19         510         510         510         510      100000              510    51000000   303000000      600000              505
 2/ 7/2018 10:17:28         500         500         500         500      100000              500    50000000   353000000      700000          504.286
 2/ 7/2018 10:19:22         510         510         510         510      100000              510    51000000   404000000      800000              505
 2/ 7/2018 10:27:54         510         510         510         510      100000              510    51000000   455000000      900000          505.556
 2/ 7/2018 10:31:39         500         500         500         500      100000              500    50000000   505000000     1000000              505
 2/ 7/2018 10:32:26         510         510         510         510      100000              510    51000000   556000000     1100000          505.455
 2/ 7/2018 10:41:34         500         500         500         500      100000              500    50000000   606000000     1200000              505
 2/ 7/2018 10:49:50         510         510         510         510      100000              510    51000000   657000000     1300000          505.385
 2/ 7/2018 10:56:39         520         520         520         520      100000              520    52000000   709000000     1400000          506.429
 2/ 7/2018 10:56:40         510         510         510         510      100000              510    51000000   760000000     1500000          506.667
 2/ 7/2018 10:56:42         520         520         520         520      100000              520    52000000   812000000     1600000            507.5
 2/ 7/2018 10:56:43         520         520         520         520      100000              520    52000000   864000000     1700000          508.235
 2/ 7/2018 10:56:46         510         510         510         510      100000              510    51000000   915000000     1800000          508.333
 2/ 7/2018 10:56:47         520         520         520         520      100000              520    52000000   967000000     1900000          508.947
 2/ 7/2018 10:56:48         520         520         520         520      100000              520    52000000  1019000000     2000000            509.5
 2/ 7/2018 10:56:49         510         510         510         510      100000              510    51000000  1070000000     2100000          509.524
 2/ 7/2018 10:56:51         520         520         520         520      100000              520    52000000  1122000000     2200000              510
 2/ 7/2018 10:56:52         510         510         510         510      100000              510    51000000  1173000000     2300000              510
 2/ 7/2018 10:56:53         510         510         510         510      100000              510    51000000  1224000000     2400000              510
 2/ 7/2018 10:56:54         520         520         520         520      100000              520    52000000  1276000000     2500000            510.4
 2/ 7/2018 10:56:56         510         510         510         510      100000              510    51000000  1327000000     2600000          510.385
 2/ 7/2018 10:56:57         520         520         520         520      100000              520    52000000  1379000000     2700000          510.741
 2/ 7/2018 10:56:58         510         510         510         510      100000              510    51000000  1430000000     2800000          510.714
 2/ 7/2018 10:57: 0         520         520         520         520      100000              520    52000000  1482000000     2900000          511.034
 2/ 7/2018 10:57: 3         510         510         510         510      100000              510    51000000  1533000000     3000000              511
 2/ 7/2018 10:57: 4         510         510         510         510      100000              510    51000000  1584000000     3100000          510.968
 2/ 7/2018 10:57: 5         520         520         520         520      100000              520    52000000  1636000000     3200000           511.25
 2/ 7/2018 10:57: 6         510         510         510         510      100000              510    51000000  1687000000     3300000          511.212
 2/ 7/2018 10:57: 7         520         520         520         520      100000              520    52000000  1739000000     3400000          511.471
 2/ 7/2018 10:57: 8         510         510         510         510      100000              510    51000000  1790000000     3500000          511.429
 2/ 7/2018 10:57:14         520         520         520         520      100000              520    52000000  1842000000     3600000          511.667
 2/ 7/2018 10:57:15         510         510         510         510      100000              510    51000000  1893000000     3700000          511.622
 2/ 7/2018 10:57:16         520         520         520         520      100000              520    52000000  1945000000     3800000          511.842
 2/ 7/2018 10:57:18         510         510         510         510      100000              510    51000000  1996000000     3900000          511.795
 2/ 7/2018 10:57:19         520         520         520         520      100000              520    52000000  2048000000     4000000              512
 2/ 7/2018 10:57:21         510         510         510         510      100000              510    51000000  2099000000     4100000          511.951
 2/ 7/2018 10:57:22         520         520         520         520      100000              520    52000000  2151000000     4200000          512.143
 2/ 7/2018 10:57:23         520         520         520         520      100000              520    52000000  2203000000     4300000          512.326
 2/ 7/2018 10:57:24         520         520         520         520      100000              520    52000000  2255000000     4400000            512.5
 2/ 7/2018 10:57:26         510         510         510         510      100000              510    51000000  2306000000     4500000          512.444
 2/ 7/2018 10:57:27         510         510         510         510      100000              510    51000000  2357000000     4600000          512.391
 2/ 7/2018 10:57:28         520         520         520         520      100000              520    52000000  2409000000     4700000          512.553
 2/ 7/2018 10:57:29         510         510         510         510      100000              510    51000000  2460000000     4800000            512.5
 2/ 7/2018 10:57:30         520         520         520         520      100000              520    52000000  2512000000     4900000          512.653
 2/ 7/2018 10:57:31         520         520         520         520      100000              520    52000000  2564000000     5000000            512.8
 2/ 7/2018 10:57:32         510         510         510         510      100000              510    51000000  2615000000     5100000          512.745
 2/ 7/2018 10:57:38         520         520         520         520      100000              520    52000000  2667000000     5200000          512.885
 2/ 7/2018 10:57:45         510         510         510         510      100000              510    51000000  2718000000     5300000           512.83
 2/ 7/2018 10:57:46         520         520         520         520      100000              520    52000000  2770000000     5400000          512.963
 2/ 7/2018 10:57:49         510         510         510         510      100000              510    51000000  2821000000     5500000          512.909
 2/ 7/2018 10:57:53         520         520         520         520      100000              520    52000000  2873000000     5600000          513.036
 2/ 7/2018 10:57:54         510         510         510         510      100000              510    51000000  2924000000     5700000          512.982
 2/ 7/2018 10:58:53         520         520         520         520      100000              520    52000000  2976000000     5800000          513.103
 2/ 7/2018 10:58:54         510         510         510         510      100000              510    51000000  3027000000     5900000          513.051
 2/ 7/2018 10:59:47         520         520         520         520      100000              520    52000000  3079000000     6000000          513.167
 2/ 7/2018 10:59:48         510         510         510         510      100000              510    51000000  3130000000     6100000          513.115
 2/ 7/2018 10:59:49         520         520         520         520      100000              520    52000000  3182000000     6200000          513.226
 2/ 7/2018 10:59:50         510         510         510         510      100000              510    51000000  3233000000     6300000          513.175
 2/ 7/2018 10:59:51         520         520         520         520      100000              520    52000000  3285000000     6400000          513.281
 2/ 7/2018 10:59:52         510         510         510         510      100000              510    51000000  3336000000     6500000          513.231
 2/ 7/2018 10:59:55         520         520         520         520      100000              520    52000000  3388000000     6600000          513.333
 2/ 7/2018 10:59:56         510         510         510         510      100000              510    51000000  3439000000     6700000          513.284
 2/ 7/2018 10:59:59         520         520         520         520      100000              520    52000000  3491000000     6800000          513.382
